,Pancreas_22,Pancreas_9,unassigned,Pancreas_11,Pancreas_4,Pancreas_10,Pancreas_7,Pancreas_12,Pancreas_3,Pancreas_14,Pancreas_6,Pancreas_2,Pancreas_5,Pancreas_8,Pancreas_16,Pancreas_1,Pancreas_17,Pancreas_20,Pancreas_18,Pancreas_19,Pancreas_15,Pancreas_13,Pancreas_21
Pnlip,0.242419366006057,0.390181431097612,0,0.509679053858889,0,0.68068879215297,0,0.73541633257819,0,0.715373158586814,5.31251519248139,0,0,0,0.73935986159926,1.51353744424211,0,0,1.41970591712944,0.667231457115562,0,0,0
Pnliprp1,0.13209898905369,0.315120266760931,0,0,0,0,0,0.655233516142856,0,0,4.09892155157685,0,0,0,0,1.45716174141311,0,0,0,0.93184862558407,0,0,0
Pnliprp2,0,0,0,0,0,0,0,0,0,0,1.77405878260246,0,0,0,0,0,0,0,0,0,0,0,0
Podxl,0,0,0,0,0,0,0,0,0,0,0,0.978749590689251,0,1.33218278513552,0,0,0,0,0,0,0,0,0
Postn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03899133980945,0,0
Ppia,1.77999782509188,0.498388106913135,0,0.90372640570384,1.26020253928883,0.705457371730685,0.834001553265423,0,0.903427101813219,1.11380770501134,0,1.27070634210564,0.722323817139927,1.29999572577286,1.60564465220091,0,1.28346107781139,0.451414553832575,0,0.688140049765868,0.521894985381791,0,0
Ppp1r1a,0,0.705889993354135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ppy,0,0,0,0,0,4.19964069357774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prelp,0,0,0,0.684732537993934,0,0,0,0,0.766085932140813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prkcdbp,0,0,0,0.253521725623658,0,0,0.496314099047052,0,0,0,0,0,0,0,0.802295174775685,0,0.800891601250132,0,0,0,0,0,0
Prss2,0.655887218472619,0.742545939173845,1.23782200985541,0.683041640657896,0.880127809888996,0.682539457376932,0.778684297748241,1.12832109934935,0.823476716846179,0.72410298622921,5.5136576819085,1.01079786638918,1.22751222176288,0.980969067702403,0.595340637977403,2.23506385647919,0,0.996018852500471,1.37480060171481,0.991730174075013,1.40015834812011,0,1.83603633110914
Prss23,0,0,0,0,0,0,0.596204326620827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psap,0.948698557928131,0.399989226831269,0,0.769943136250421,0,0,0.778893607274138,0,0.835012781228253,2.31147290591684,0,0,1.18275474509305,0,0,0,0.671765271493683,0,0,1.33964278741447,0.901624449892655,0,0
Psmb8,0,0,0,0,0,0,0,0,0,0.741164402119689,0,0,0,0,0,0,0,0,0,0,0,0,0
Psme1,0.356497888878284,0,0,0,0,0,0,0,0,0.474755502712458,0,0,0,0,0.595340637977403,0,0,0,0,0,0,0,0
Ptma,1.97526712061025,0.638184034964875,0,0.885548489300962,1.23589895582606,0.65988910505613,0.693666144157115,0,0.793032170125029,0.839049766881026,0,1.21626814601391,0.647879369563047,1.21878450919563,1.20742860721091,0,1.28346107781139,0,0,0.688140049765868,1.06311756551879,1.04137327748858,1.27972808022487
Ptn,0,0,0,1.2578062739697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptpn18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptprb,0,0,0,0,0,0,0,0,0,0,0,0.586097080819144,0,1.18065938742183,0.746568222429553,0,0,0,0,0,0,0,0
