,Peripheral_Blood_13,Peripheral_Blood_15,Peripheral_Blood_20,unassigned,Peripheral_Blood_8,Peripheral_Blood_7,Peripheral_Blood_1,Peripheral_Blood_9,Peripheral_Blood_3,Peripheral_Blood_2,Peripheral_Blood_14,Peripheral_Blood_10,Peripheral_Blood_6,Peripheral_Blood_4,Peripheral_Blood_19,Peripheral_Blood_5,Peripheral_Blood_11,Peripheral_Blood_12,Peripheral_Blood_16,Peripheral_Blood_17,Peripheral_Blood_18,Peripheral_Blood_21
Cnp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585052983021721,0,0,0,0,0
Cpm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crip1,0,0,1.95730041553663,0.918650702906962,1.29629299932859,0,1.19229389979083,1.23218638696072,2.31798145215037,1.22614332344506,0,0,0,0,2.52177528944735,0,1.31974302726234,2.44159849555818,0,1.22739606210654,0,0
Csf1r,0,0,0.743278377696525,0,0,0,0,1.04787770095795,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Csf3r,0,0,0,0,0,1.37790752483898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cst3,0,0,1.89982179467186,0,0,1.15246545327813,0,2.75511872343073,1.99858797081072,0,0,0.851175640596165,0,0,0,0,0,1.80475327559309,1.33540797636836,0.700329269421244,0,0
Ctla2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctsb,0,0,0.990333098848508,0,0,0,0,1.62599999095761,1.00684896058836,0,0.261950056421636,0.36496969367684,0,0,0,0,0,0.894038107137612,1.45403331859012,0,0,0
Ctsc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctss,0,0,1.90061633571825,0,0,0,0,2.02950835597935,1.91119709027161,0,0,0,0,0,0.3831770085997,0,0,0.725550996477334,1.03278257379928,0,0,0
Ctsw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cx3cr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cxcl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cxcr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cxcr5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cybb,0,0,1.24752572127959,0,0,0,0,1.29224667826601,1.18385875988181,0,0,0,1.08576895227119,0,0,1.12815485661946,0,0.415366922056239,0,0,0,0
Cyp4f18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cytip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17250647944875,0,0,0,0,0,0,0
Dapl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dgka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dok2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dusp1,0,0,0,0,0,1.98504888250978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dusp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dyrk2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ear2,0,0,0,0,0,0,0,1.06815473786397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ebf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573274331974717,0,0,0,0,0
Eef1a1,2.68238417420424,2.04237498608923,1.84661821937292,1.17335269551137,1.33540630958463,0,2.03499952601424,1.03423906750284,1.2966315071201,1.46612263158366,1.83220671408687,1.64033078036422,0,0,1.21337561100783,0,1.41113581893631,1.54779866031297,1.1456150438525,1.56696158548806,0,1.00944041929254
Eef1b2,1.31414418153031,0,0.296367105450291,0,0,0,1.33252891003075,0,0,0,1.27288054231378,1.11473687651921,0,0,1.00895052988669,0,0.910507493484738,0.797352930076003,0.304647194675958,1.0779366774912,0,0
Eef1g,0.664464384683457,0,0,0,0,0,0,0,0,0,1.12850169124985,0.445189240961696,0,0,0,0,0,0,0,0,0,0
Eno3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epsti1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ets1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F13a1,0,0,0.316753734436838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92627659760775,0,0,0,0
Fam129c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam189b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam46c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam65b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fcer1g,0,0,1.85450717039965,1.3106705943259,1.78955025166493,1.48037890449305,0,2.48328235928682,2.01323889255106,0,0,0.674181762922004,1.36317805622468,1.78070154355665,0,1.8090474377647,0,1.58132012761487,1.36802517747038,1.36723782476732,2.14014011057165,0.780938830747127
Fcer2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fcgr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fcmr,0,1.19913424069007,0,0,0,0,0,0,0,0.872814067631442,0,0,0,0,0,0,0,0,0,0,0,0
Fcrl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fcrla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fgd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fgl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
