,unassigned,Fetal-Liver_1,Fetal-Liver_3,Fetal-Liver_8,Fetal-Liver_2,Fetal-Liver_11,Fetal-Liver_10,Fetal-Liver_7,Fetal-Liver_4,Fetal-Liver_5,Fetal-Liver_9,Fetal-Liver_6
Cd63,0,0,0,0,1.98103519779715,0,0,0.557576810377828,0,0,2.84535164506089,0
Cdc20,0,0,0,0,0,0,0,0,0,0,0,0
Cdc42,0,0,0.690102911491585,0.687793632173358,0.859839448648108,0.597698833643709,0.807426768610742,0.972969215709718,1.20660179192619,0,1.13806412454876,1.41433183964283
Cdca8,0,0,0,0,0,0.769176364060987,0,0,0,0,0,0
Cdk2ap2,0,0,0,0,0.644146034574947,0,0,0,0.842790624088906,0,0,0
Cdk4,1.0108738427189,0.980529985825985,1.27477016011516,0,0.833710184129145,0,1.06720735338097,0,0,0,0,0
Cenpa,0,0,0,0,0,0,0,0,0,0,0,0
Cfp,0,0,0,0,0,0,0,0,0,0,0,2.08867302637648
Chchd10,0,0,0,0,0,0,1.16310149549713,0,0,0,0,0
Chmp2a,0,0,0,0,0,0,0,0,0,0,0,0
Cited4,0,0.779212159595902,0,0,0,0,0,0,0,0,0,0
Cks1b,0,0,0.584756575806981,0,0.537096709659256,0.893063604342811,0.393199175076483,0,0,0,0.665073919455446,0
Cks2,0,0,0,0,0,0,0,0,0,0,0,0
Cldn13,0,0,0,0,0,0,0,0,0,0.773826598380999,0,0
Clic1,0,0,1.11603281763891,0,1.08183967971412,1.43159882385722,1.14229384347396,1.18313001507272,1.46020894369073,0,1.62804687577241,1.29343921910631
Clta,0,0,0,0,0,0,0,0,0.896799195984249,0,0,1.25533283020998
Cmtm7,0,0,1.44982228419772,0,1.56996619952925,0,0.968025294090616,0,0,0,1.33229098816843,0.286912027028572
Cope,0,0,0,0,0,0,0,0,0,0,0,0
Coro1a,0,0,0.882037267963961,0,1.12319325170552,0.452789311133031,1.36589280839228,1.42596891799453,1.72525022800666,0,1.70012640647317,0
Cotl1,0,0,0,0,0,0,0,0.660174271388128,0.986031557194777,0,0.969801684137561,1.29627893472608
Cox17,0,0,0,0,0,0,0,0,0,0,0,0
Cox20,0,0.496011826800617,0,0,0,0,0,0,0,0,0,0
Cox5a,1.34265884335354,1.16449136723794,1.48949538881628,1.20297232355883,1.26446493721387,1.2968968605246,1.47422478352978,0,1.34266684070504,0,1.23732755999969,1.79886313821011
Cox5b,0.917516232539911,0.986556741064505,0.798905647087011,0.744120527710292,0.655376474774125,0.939391874056522,0.818949734373694,0,1.03071253180909,0,0,0.871196571700774
Cox7b,1.02380419541216,1.08822721783574,1.13402536080389,1.23063447632702,1.03769611575358,1.3072744385199,0.923930082015346,0,1.07653653490345,0.520907922804637,0,0.855166651109526
Cpox,0,0.836053544014146,0,0,0,0,0,0,0,1.29885997243326,0,0
Creg1,0.765235737500238,0.736342842794524,0,0,0,1.0745408897022,0,0,0,1.07322488776659,0,1.43272031913822
Crip1,0,0,0,0,0,0,1.23887599480139,0,0,0,1.2666462650305,0
Cst3,0,0,0,0,0.816555963683811,0,0.637982661547548,0,1.47673865788654,0,0,0.923727964754372
Ctsb,0,0.706528419180824,0,1.20950026088999,0,0,0,0,1.00110793927487,1.38918086382625,0,3.68972032842418
Ctsc,0,0,0,0,0,0,0,0,2.51704535323505,0,0,2.2032045430378
Ctsd,0,0,0,0,0,0,0,0,0,0,0,2.84018699492842
Ctsg,0,0,0,0,1.63933961499912,0,0,0,0,0,0,0
Ctsz,0,0,0,0,0,0,0,0,0.887260248416055,0,0,1.08025009762753
Cyb5a,0,0,0,1.81647675217781,0,0,0,0,0,0.578591012155919,0,0
Cyb5r3,0,0.552478301559215,0,0,0,0,0,0,0,0.769506625605954,0,0
Cyba,0,0,0,0,1.16527188663805,0.769176364060987,0,1.54379363825257,1.45170661401727,0,1.41642806221001,2.17042591072236
Cyc1,0.759080204643159,0.838936104936937,0,0.811458855572855,0,0,0.808116393540838,0,0.662869992414627,0,0,0
Cycs,0.916095231961538,0.877639328576192,1.03769950907573,0,0.670985254491349,0.646916801160494,1.05705920782587,0,0.872218287570493,0,0.330328992379861,0
D8Ertd738e,0,0,0,0,0,0,0,0,0,0,0,0
Dbi,0,0,0.549769093062885,2.38638678656396,0.532212256465008,0,0.61557499322958,0,1.18085027192917,0,1.48831816479133,0.639207677768612
Dctpp1,0,0,0.895538484067721,0,0,0.597698833643709,0.859260723806566,0,0,0,0,0
Dcun1d5,0,0,0,0,0,0,0,0,0,0,0,0
Ddost,0,0,0,0,0,0,0,0,0,0,0,0
Ddx39,1.10228372570717,1.18717724131788,1.00918649057743,0,0,0.646916801160494,1.11130256545624,0,0.254396291874996,0,0,0
Ddx39b,0,0,0.703943882460964,0,0,0,0.923930082015346,0,0,0,0,0
Ddx5,1.02380419541216,0.913266831244624,1.30727464135577,0.678212276640188,1.06217343878794,1.42436914663178,1.68511136695794,0,1.13199445573295,0,1.00856258383575,0.796201885764526
Dek,0,0.777520942939561,0,0,0,0,0,0,0,1.17751256953163,0,0
Dhrs11,0,0,0,0,0,0,0,0,0,0.637773783361766,0,0
Dkc1,0,0,0.530100484448282,0,0,0,0,0,0,0,0,0
Dnajc19,0,0,0,0.694050080469417,0,0,0,0,0,0,0,0
Dnajc8,0,0,0,0,0,0.597698833643709,0,0,0,0,0,0
Dpy30,0,0,0,0,0,0,0.404032515909339,0,0,0,0,0
Dut,0.579888168644974,0.712687867391693,0,0,0,0,0,0,0,0,0,0
E2f4,0,0,0,0,0,0,0,0,0,0.945661430425331,0,0
