,Thymus_7,unassigned,Thymus_1,Thymus_4,Thymus_2,Thymus_3,Thymus_5,Thymus_6,Thymus_8
Ccnd3,0.621484308756659,0.77561328603673,1.21499579711944,0,1.29597328356803,1.47378564578093,0,0.359142746807074,0.588670283498189
Ccr9,0,0,0,0.928966163141658,0,0,0,0,0
Cct5,0,0,0,0,0,0,0,0,0
Cd2,0,0,0,1.10781311755589,0,0,0.811159429629623,0,0.21214465426986
Cd247,0,0,0,0,0,0,0,0,0
Cd24a,0.0999710611573465,0,0,0,0,0,0,0.690172219175844,0
Cd27,0,0,0,0.849657563320053,0,0,0,0,0
Cd37,0,0,0,0,0,0,0,0,0
Cd3e,0,0,0,0,0,0,0,0,0
Cd4,0,0,0,0,0,0,0,0,0
Cd47,0.147261468469425,0,0,0,0,0.528234807024371,0,0,0
Cd52,1.91226706566318,0,1.13782386496046,1.46256161592379,1.16687798394146,0,2.34342916852388,0,2.2462084624648
Cd53,0,0,0,0,0,0,0,0,0
Cd74,0.572537037265126,0,0,0,0,0,0,0,0
Cd8a,0.920745111088581,1.24283270334051,1.48762557544663,1.1794967853681,2.03011709566611,1.78685995204451,0.949657089327327,0.442715972687938,0.844205977728763
Cdc20,0,0,0,0,0,0,0,0,0
Cdc37,0,0,0,0,0,0,0,0,0
Cdc42,0.967098537545084,0,0,0,0,0,0,0.474022289377906,0.78074206583854
Cdk4,0,0,0,0,0,0,0,0,0
Cdkn2d,0,0,0,0,0,0.457352000752874,0,0,0
Cenpa,0,0,0,0,0,0.666138742311654,0,0,0
Chchd2,0.684786510537488,0.962536588034391,0.860452138342804,0.843534450768215,0.454146187018131,0.97206610986708,0.764613305709062,1.10104787403269,0.236840146766306
Chrna9,0,0,0,0,0,0,0,0,0
Cks2,0,0,0,0,0,0.669221367797033,0,0,0
Clic1,1.05572691366979,0.867416496468128,1.02611959183549,0.692009325514711,0.861896025895508,1.35197783943631,0.89460135491641,0.693671264125568,0.88443737987358
Clk1,0,0,0,0,0,0,0,0,0
Clk3,0,0,0,0,0,0,0,0,0
Cmtm7,0,0,0,0,0,0,0,0.749565294760685,0
Cnbp,0.516219889776772,0.393936650403645,1.16201692878701,0.8884094447553,1.0382897814484,0.688345024930972,0.750433688511867,1.11565240663255,0.819402210611816
Cnn3,0,0,0,0,0,0,0,0,0
Coro1a,1.41331043660898,1.31385046795314,1.34680674418175,1.43417091568219,1.36623086044536,1.65201797075239,1.57701960562442,0.933029396486568,1.26854150887575
Cotl1,0.895180004575938,0,0,0,0,0,0.937129577592972,0,0.819402210611816
Cox14,0,0,0,0,0,0,0,0,0
Cox5a,0,0,0,0,0,0.571348709115496,0,0,0
Cox5b,0,0,0,0,0,0.528234807024371,0,0,0
Cox6a1,0.830525577429184,0.931670905604746,1.03588446626544,0.802087694473299,0.953199321420333,1.17178156620238,0.898988958726049,0.884736546638326,0.80110045704561
Cox6b1,0.186114202698575,0.714072267121721,0,0,0,0.80508839201732,0,0.614334693070832,0
Cox6c,0.208447220523785,0.987880755709847,0.868588527766912,0.695713604914488,0,0.950186602696501,0.663422791480329,0.771910796178863,0.811233426559688
Cox7a2,0.396205818309831,0.700212457055204,0.536454801565136,0,0,0.924271738147606,0,0,0
Cox7a2l,0.521682465008153,0,0,0,0,0,0,0.359142746807074,0
Cox7b,0,0,0,0,0,0,0,0.473424123221542,0
Cox7c,0.333375671168,0,0,0,0,0.723224146185978,0,0.702484203753653,0
Cox8a,0.512735282106139,0,0,0,0,0.729322917962091,0,0,0.376525629228329
Crip1,0.355472074501485,1.2317804031438,1.35123650659694,0.334540556178913,0.986489687789158,1.28923476316777,0.953910395467012,2.44650049196295,1.14408118121805
Cst3,1.10861986255468,0,0,0,0,0,0,0,0
Ctsd,0,0,0,0,0,0,0,0,0.81295790626564
Ctsl,0,0,0,0,0,0,0,0,0
Cyb5a,0.0999710611573465,0,0.909186590705598,0,1.1598712861863,0.807101685996567,0,0,0
Cyba,0.45517026837475,0,0,0,0,0,0.403721703238096,0,0.236840146766306
Cytip,0,0,0,0,0,0,0,0,0
D8Ertd738e,0,0,0,0,0,0,0,0,0
Dad1,0.477944062449592,0,0,0,0,0,0,0,0
Dbi,0,0,0,0,0,0,0,0,0
Ddx39b,0,0,0,0,0,0.430821202535779,0,0,0
Dek,0,0,0,0,0,0.60945823479076,0,0,0
