,unassigned,MammaryGland.Virgin_5,MammaryGland.Virgin_7,MammaryGland.Virgin_18,MammaryGland.Virgin_10,MammaryGland.Virgin_8,MammaryGland.Virgin_13,MammaryGland.Virgin_15,MammaryGland.Virgin_3,MammaryGland.Virgin_12,MammaryGland.Virgin_17,MammaryGland.Virgin_16,MammaryGland.Virgin_4,MammaryGland.Virgin_1,MammaryGland.Virgin_11,MammaryGland.Virgin_2,MammaryGland.Virgin_6,MammaryGland.Virgin_9,MammaryGland.Virgin_14
Cd79a,0,0,0,1.01642475007182,0,0,0,0,0,0,0,0,0,0,0,2.11094038240533,1.29179640332926,0,0
Cd79b,0,0,0,0.662479854444518,0,0,0,0,0,0,0,0,0,0,0,1.39429337528842,0,0,0
Cd81,0.97681762661843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd83,0,0,1.18515429824559,0,0,0.49621826012132,0,0,0,0.650258412169893,0,0,0,0,0,1.08859662227145,0,0,0
Cd8a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd8b1,0,0,0,0,0,0,0,0,0,0,0,0,0.955212649272154,0,0,0,0,0,0
Cd9,0,0,0,0,1.44753586595433,0,0,0,0,0,0.957309774371933,0,0,0,0,0,0,0,0
Cdkn1a,0,0,0.206482593434947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdkn1c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cebpd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cfp,0,0,0,0,0,0.739445744487214,1.63701189339149,0,0,0,0,0,0,0,0,0,0,0,0
Cilp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cited1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cldn3,0,0,0,0,0.754664791890053,0,0,0,0,0,1.07501251538299,0,0,0,0,0,0,0,0
Clec3b,1.13141082412545,0,0,0,0,0,0,1.48941070551873,0.950294350197855,0,0,0,0,0,0,0,0,0,0
Clu,0,0,0,0,0.723375219973741,0,0,0,0,0,0.975269245474402,0,0,0,0,0,0,0,0
Cnn2,0,0.433452201851307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646602646798072
Col15a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col18a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col1a1,2.25714655041339,0,0,0,0,0,0,1.5353799449401,2.10295849699271,0,0,0,0,0,0,0,0,0,0
Col1a2,2.94483124332493,0,0,0,0,0,0,2.40712134499828,2.89575777122081,0,0,0,0,0,0,0,0,0,0
Col3a1,3.17456701360048,0,0,0,0,0,0,2.67887836206331,3.63047988685175,0,0,0,0,0,0,0,0,0,0
Col4a1,0,0,0,0,0,0,0,0,0.793013455605375,0,0,0,0,0,0,0,0,0,0
Col4a2,0,0,0,0,0,0,0,0,0.609307827723132,0,0,0,0,0,0,0,0,0,0
Col5a2,0,0,0,0,0,0,0,0,0.852575499103123,0,0,0,0,0,0,0,0,0,0
Col6a1,0.563654929927601,0,0,0,0,0,0,0,1.0005671687001,0,0,0,0,0,0,0,0,0,0
Col6a2,1.04342029581784,0,0,0,0,0,0,0.3823880336836,0.939347694446935,0,0,0,0,0,0,0,0,0,0
Col6a3,0,0,0,0,0,0,0,0,0.496960790551456,0,0,0,0,0,0,0,0,0,0
Coro1a,0,1.49619959848457,0,0,0,1.3773148226938,0,0,0,1.23096147619168,0,1.30581836958302,1.41891086276012,1.51172381642635,1.38196627167967,1.53298029715959,1.67958320563842,1.68749944376605,1.43859611788968
Cotl1,0,1.03283244688113,0,0,0,1.17134434989331,0.877980195579293,0,0,0.350711276688795,0,0,1.08041175196643,1.09292342321331,0.909443014291326,0,0,1.19087659789669,0.792658089748514
Cpxm1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crabp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crip2,0,0,0,0,0,0,0,0,0,0,0.176004326653608,0,0,0,0,0,0,0,0
Crispld2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Csn3,0,0,0,0,0,0,0,0,0,0,1.96704571594871,0,0,0,0,0,0,0,0
Csrp2,0,0,0,0,0,0,0,0.494146709518968,0,0,0,0,0,0,0,0,0,0,0
Cst3,0.939647485982685,0,2.23760327670511,0.898263636496886,0,2.02372834255889,2.50292538581707,0.839734520878685,0.924424816225732,4.4790744239734,1.32075534242918,1.26553363775901,0,0,0,0,0,0,0
Ctla2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctsb,1.56329345756825,0,0,0.751325867194472,0.604539994247671,0.983428301274104,2.78211112308429,0.843799735511688,1.15639546048938,0,0.157870176050269,1.57467696975172,0,0,0,0,0,0,0
Ctsc,0,0,0,0,0,0,1.55769945803159,0,0,0,0,0,0,0,0,0,0,0,0
Ctsk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
