,Embryonic-Stem-Cell_1,Embryonic-Stem-Cell_3,Embryonic-Stem-Cell_2,Embryonic-Stem-Cell_4,unassigned
Uba52,0,0,0,0,0
Ubb,1.04461133828844,0.7803062494174,0.892712481651144,1.11247789583999,1.1597083265192
Ube2c,0,0.597751201137941,0.714750849407754,0.859263243189276,0
Ube2d3,0,0.490501375746697,0,0,1.1597083265192
Ubl5,0,0,0.479748834447845,0.74894314742484,0
Ubxn1,0,0,0,0,0
Uchl3,0,0,0,0,0
Uchl5,0,0,0,0,1.22223487535125
Upp1,0,0,0,0,0
Uqcc2,0,0,0,0,0
Uqcr10,1.24338953554417,1.02726744106999,1.20732198519053,1.12733230856405,1.79420585872181
Uqcr11,0,0.650178909739381,0.611446517632692,0,0
Uqcrb,0.971593524757438,0.982221559936441,1.18654612804543,0.678181660383228,0
Uqcrc1,0,0,0,0,0
Uqcrfs1,0,0,0,0,0
Uqcrh,0,0.416835874183752,0.648646170260882,0,1.22223487535125
Uqcrq,1.18124986925492,1.02269995924542,1.16395016750295,0.952711308475884,1.22223487535125
Use1,0,0,0,0,0
Usmg5,0.622729402517861,0.702245575684806,0.947698282929918,0.859768463314781,1.27869729134078
Utf1,0,0.75238469452412,0.885665398954938,0,0
Vbp1,0,0,0,0,0
Vdac1,0,0,0,0,0
Vdac2,0,0.580565512851628,0,0,1.22223487535125
Vps29,0,0,0,0,0
Ybx1,0,0.95665624289783,0.798959512692325,0.814669033667398,0
Ywhab,0,0,0,0,0
Ywhae,0,0.779934854921718,0,0,0
Zfp42,0,0.525394524489934,0,0,0
Zfp706,0,0,0,0,0
