,Embryonic-Stem-Cell_1,Embryonic-Stem-Cell_3,Embryonic-Stem-Cell_2,Embryonic-Stem-Cell_4,unassigned
Cct7,0.95187559067872,0.962344661652047,0.858135270781653,0.623293439996937,1.87426860185801
Cct8,0.756197935022879,0.87471951024336,0.737516872910414,0.67176573209954,1.27869729134078
Cdc37,0,0,0,0,0
Cdc42,0,0,0,0,0
Cdk4,0.905895278894572,0.788949475461172,0.915597393185474,0,0
Cfdp1,0,0.572738397760408,0,0,0
Cfl1,1.44039846061201,1.41732263973535,1.6233805268793,1.2569182234112,1.22223487535125
Chchd2,1.80406556088698,1.76985221762573,2.01384944850769,1.58612194112179,2.23338734094118
Chmp2a,0,0,0,0,0
Cisd1,0,0,0,0,0
Clta,0,0.552138033051916,0.492973490730447,0,1.1597083265192
Cnbp,0.976287483191483,0.683167310658641,0.716931458426545,0.799814160243861,1.22223487535125
Cnpy2,0,0,0,0,0
Cops6,0,0,0,0,0
Cops9,0,0,0,0,0
Cox5a,1.9086219891207,1.70525240071073,1.9015539817134,1.71044433567366,2.40015370475516
Cox5b,0.916113983099831,0.825580410399134,0.908936084118394,0.67176573209954,0
Cox6a1,1.1665110043522,1.09901107012141,1.2960942154235,1.21526458410461,1.87426860185801
Cox6b1,1.22888270806883,1.15298868167365,1.36446065187261,0.744382284865715,1.79420585872181
Cox6c,1.37529852004583,1.36805284061636,1.52257434508264,1.21526458410461,1.79420585872181
Cox7a2,1.28077948094456,1.21659705031993,1.38508877335588,1.2612129876973,1.22223487535125
Cox7b,1.4553243192404,1.63023671611723,1.89413497286495,1.6678427754353,1.87426860185801
Cox7c,1.15382415091102,1.27403860938412,1.49197499190162,1.12733230856405,1.79420585872181
Cox8a,0.928164143371601,0.911486243145376,1.05698119522826,1.01116843716938,0
Csrp2,0,0,0,0,0
Ctsl,0,0,0,0,1.1597083265192
Cyc1,0,0.581584697456905,0.680487556885456,0.711884937384755,0
D8Ertd738e,0,0,0,0,1.1597083265192
Dad1,0,0,0,0,0
Dbi,0,0.779934854921718,0.854089844150018,0.74894314742484,0
Dctpp1,1.21940906297039,0.995544035579542,1.0710895228189,1.22842123401084,1.1597083265192
Ddx39,0,0.589870646040938,0.709817061439129,0.796940701287514,0
Ddx39b,0,0,0,0,0
Ddx5,0,0.627219013215831,0,0,1.22223487535125
Dek,0,0,0,0,0
Dkc1,0,0,0,0,0
Dnaja1,0,0,0,0,0
Dnajc19,0,0,0,0,0
