,Ovary_3,Ovary_11,Ovary_4,Ovary_6,Ovary_10,Ovary_12,Ovary_1,Ovary_13,Ovary_5,Ovary_8,unassigned,Ovary_7,Ovary_9,Ovary_2,Ovary_14
Fau,1.83334977274569,1.7677606997706,1.58327394736421,1.7038354879986,1.60770582614375,1.97142773053309,1.67214339378564,1.61695429052594,1.57246297765214,1.78928082392361,1.10896838221837,1.86992976984637,1.72367806399741,1.82232436769206,1.87075077594587
Fcer1g,0,0,0,0,0,2.4844586998007,0,0,0,0,0,0,0,0,2.10715456000146
Fdps,0.914416448032992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fdx1,3.4860299428451,0,0,0,2.5021100642489,0,0,0,3.27828737255604,0,0,0,0,3.18178025476091,0
Fdxr,0.740835056033541,0,0,0,0.415676160091403,0,0,0,0.841783213542187,0,0,0,0,0,0
Fkbp1a,0.988422270432891,1.77053112297889,0.685882369745359,0,0.692289690441217,0,0,0,0,0,0,0,0,0,0
Fkbp5,1.54233634272242,0,0,0,1.32127786738406,0,0,0,0,0,0,0,0,0,0
Folr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fos,0.835196658901061,1.90384932355732,2.16105239733035,2.06858809196707,0.627344486191422,0.427174220615163,1.79532195117711,3.43482679219445,1.82859565073071,2.17141467125662,1.89096227066742,2.22883818314153,1.95932594734063,0,1.49247344136508
Fosb,0.706181464682131,0,0,0,0.924949993247074,0,0,1.99727582573471,0,0.681598203093963,0,0,0,0,0
Foxo1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fscn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fst,0,0,0,0,0,0,0,0,0,0,0,0,0.291273201407343,0,0
Fstl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ftl1,2.59329371362359,1.34406295235301,1.9098421357707,1.79342892456856,2.7122732114201,3.9594911418219,1.84495535388806,2.4308006139527,1.87075077594587,1.79912045159889,1.89096227066742,1.91344452784031,1.9808916495946,2.10497047092437,4.03402311522387
Fxyd1,0,0,0,0,0,0,0,0,1.34165653755887,0,0,0,0,0,0
Gadd45b,0,0,0,0,0,0.709143051913565,0,1.4787984592837,0,0,0,0,0,0,0
Gadd45g,0,0,0,0,0,0,0,0,1.27674099506253,0,0,0,0,0,0
Gapdh,2.16507255702689,1.66250560024763,0.858905735207869,2.10824992967576,1.97333852962874,1.12059258458319,1.95678237469224,1.03833673101138,1.33502020374056,1.11650869109889,1.10896838221837,1.57305477887538,2.06232210094446,1.93023585518852,0
