,Small-Intestine_9,unassigned,Small-Intestine_16,Small-Intestine_12,Small-Intestine_5,Small-Intestine_8,Small-Intestine_10,Small-Intestine_7,Small-Intestine_1,Small-Intestine_4,Small-Intestine_24,Small-Intestine_27,Small-Intestine_23,Small-Intestine_3,Small-Intestine_26,Small-Intestine_22,Small-Intestine_25,Small-Intestine_2,Small-Intestine_18,Small-Intestine_15,Small-Intestine_20,Small-Intestine_14,Small-Intestine_11,Small-Intestine_19,Small-Intestine_21,Small-Intestine_28,Small-Intestine_6,Small-Intestine_13,Small-Intestine_17
Mt2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mttp,0,0,0,0,1.03257027246904,0,0,0.575614934691101,0,0,0,0,0,0,0,0,0,0,0,0.344003583607824,0,0,0,0,0,0,0,0,0
Muc13,0,0,0,0,1.4984309039006,1.50023946264737,0,1.51296705621903,0,0,0.907995185156423,0,0.751417928258336,0.741353842090283,0,0,0,0,0,2.01014744789873,0,0,1.61405585763737,0,0,0,0,0,0
Muc2,0.443624493940617,0,0,0,0,3.26160217140596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23131658006451,0,0
Muc6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myo15b,0,0,0,0,0,0,0,0.39310345362463,0,0,0,0,0,0,0,0.693737626975748,0,0,0,1.22913105316528,0,0,1.58324426217327,0,0,0,0,0,0
Mzb1,0,0,1.85731983502642,0.879266676567993,0,0,0,0,1.53822069389602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufa4,0,0.957557018650855,1.01142078633516,0.69780718972285,1.58575694006255,0.529179324178112,0,0.886667935886492,0,0,0,0.910924918163317,0.898474018888396,1.40006214663931,0,0.853754743529491,0,0,0,0,0.840250200468675,0,0,0,0,0,0,0,0
Ndufb9,0,0.772529091029549,0.59614918380489,0,1.53478517047751,0.609631176666368,0,1.16170034571744,0,0,0.288034601611864,0,0,1.25423470801135,0,0.997490500255527,0,0,0,0,0,0,0,0,0,0,0,0,0
Neat1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nfkbia,0,0,0.533248477852712,0,0,0,0.338195001058989,0,0,0,0,1.50734187473652,0,0,0.54801342904516,0,0,0,0,0,0,0,0,0,0,1.80023487894179,0,0,0
Nkg7,0,0,0,0,0,0,0,0,0,2.24372225273685,0,0.691433808343353,0,0,0,0,0,2.14823430405749,0,0,2.36204694531369,0,0,0,0,0.833331362328251,1.46424796222549,0,0
Npm1,0,0,0,1.39570889393334,0,0,0,0,0,0,0,1.12383402068659,0,1.26719811080067,0,0,0,0,0,0,0.648838689922963,0,0,0,0.779422239077021,0.419924342722309,0,0,0
Nupr1,0.384633723459959,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14701090437287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oat,0,0,0,0,0.838143104165649,0,0,0,0,0,0,0,0,1.20814798672844,0.603256759704446,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4hb,0.178026481115222,0,0,0,1.73656573418766,1.05126188266005,0,1.33626891999258,0,0,0,0,0.751417928258336,0.404474093950608,0.603256759704446,0,0,0,0,0.674398160312318,0,0,1.18942966505424,0,0,0,0,0,0
