,unassigned,Neonatal-Rib_4,Neonatal-Rib_8,Neonatal-Rib_15,Neonatal-Rib_7,Neonatal-Rib_11,Neonatal-Rib_19,Neonatal-Rib_10,Neonatal-Rib_18,Neonatal-Rib_16,Neonatal-Rib_2,Neonatal-Rib_6,Neonatal-Rib_13,Neonatal-Rib_22,Neonatal-Rib_9,Neonatal-Rib_3,Neonatal-Rib_21,Neonatal-Rib_25,Neonatal-Rib_12,Neonatal-Rib_14,Neonatal-Rib_5,Neonatal-Rib_24,Neonatal-Rib_20,Neonatal-Rib_1,Neonatal-Rib_17,Neonatal-Rib_23
Ngp,0,0,0,0,0,0,0,0,0,0,3.44621005051099,0,0,0,0,0,0,0,0,0,0,0,0,1.11645556731678,0,0
Ninj1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nnat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844905451519781,0
Npm1,0,1.01699958563285,1.12056720378379,1.27947064913056,0.844652688739637,2.06003218803177,1.03007752838513,0,0.699056207439146,0.769519034412492,0,1.06624729977087,1.72566576196863,0.801299565257933,0.966860974175655,1.08740515662338,0.755995416340342,1.06060375535318,1.33615437672704,1.46058435186797,1.10580344582531,1.07458792012191,0,0,0,1.12324233929958
Nr4a1,0,0,0,0,0,0,0,0,0,0,0,1.50730808005777,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nr4a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nrep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nupr1,0,0,0,0,0,0,0,0,0,0.576617277702916,0,0,0,0,0,0,0,0,0,0,0.560858712667271,0,0,0,0,0
Oaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ogn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0867664817099,0,0,0,0,0,0,0,0,0,0,0
Omd,0,0.884484694758661,0,0,0,0,0,0,0,0,0,1.11712200822823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osgin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4ha2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4hb,0,1.0662379466349,1.37703356654792,0.815476265374171,0.970769532219489,0,0.978709146055913,0,0,0.962156643669218,0,0.796253012019981,0,0,0,1.27098360400343,0,0,0,0,1.21378921201939,0,0.699010885586168,0,0,0.527712170501228
Pabpc1,0.766280737734591,0.794296126562186,0.619628967331118,1.24270729401516,0.909181442308947,1.23897439082278,0.849610761174065,0.879016302996939,0.950306917577386,0.784445111429658,0.7207172044029,0.628690506428622,1.54940113445809,1.09662812232279,0.972832638319438,0,0.928015796048431,1.4015307495594,1.39510684046689,1.27620125581789,0.796663130016222,0.904516103347395,0,0,0,0.983289266581195
Pclaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcolce,0,0,0,0,0.820534326458544,0,0,0,0,1.10258313358015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcolce2,0,0,0.760680321880495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pf4,0,0,0,0,0,0,0,0,1.49642538726894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pglyrp1,0,0,0,0.277808808453019,0,0,0,0,0,0,1.01294208696092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phlda1,0,1.77886061862469,0.928184133171604,0,0,0,1.51106104485271,0,0,0.576617277702916,0.487048243666396,1.14915153117975,0,1.09662812232279,0,1.32432593004388,0,0,0,0,1.3404038187628,0,0,0,0,0
Pim1,0,0,0,0,0,0,0,0.720135572469975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pkm,0,0,0.573919186894338,0.883582182363588,0,0,0,1.25671600456792,0.726062050108,0,1.05324603354159,0,0,0,0,0,0,1.26321639400897,0,0,0.623800709038869,0.299704425668137,0,0,0,0
Plac8,0,0,0,1.71684546479775,0,0,0,1.20392348975511,0,0,0,0,1.15467530544393,0,0,0,0,0,0,0,0,0,0,0,0,0
Plagl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plaur,0,0,0,0,0,0,0,0,0,0,1.21013542692775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plin2,0,0,0,0,0,0,0,0.723345027525473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plod2,0,0,0.507355105548628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pmp22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pnrc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Postn,0,0,0,0,1.88015181428324,0,0,0,0,0,0,0,0,0.798658392028947,2.77384762696148,0,0,0,0,0,0,0,0,0,0,0
Ppa1,0,0,2.30620091457897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ppia,0,0,0.596490709258906,1.248986892405,0.144418206600711,1.32438601970907,0,0.617285326726255,0.931020120910622,0,0,0,1.29624113246015,1.2216992602632,0.80287345993114,0,0.357075947608866,1.50523863099483,1.20289487248308,0.864313933799727,0.53947007475732,1.29604367311122,0.360245371163774,0,1.34034488895301,0
Ppib,0,0,0.921655682453954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ppic,0,0,0,0,0,0,0,0,0,0.501836401729299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prdx1,0,0,0,0,0,0.43566500592953,0,0.549098053198734,0.877187033290544,0,0,0,0,0.615474900938999,0,0,0,0.984824845081313,0,0,0,0,0.360245371163774,0,0.412769604057582,0.272719953434545
Prdx2,0,0,0,0,0,1.10313826637973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823092365021918,0.527712170501228
Prdx4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prdx5,0,0,0,0.688883013933604,0,0,0,0.831899818042876,0,0,1.0464881815866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prdx6,0,0,0,0.659765305932143,0,0.879250225524162,0,0.601124514952151,0,0,1.29154158389558,0,0.468338616483131,0,0,0,0,0,0,0,0,0,0,0,0,0
Prelp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prg4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74765095271333,0
Prr13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prtn3,0,0,0,2.49050786253461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psma7,0,0,0,0.720839779330083,0,0.807084033992416,0,0,0,0,0,0,0.757487904151036,0,0,0,0,0.894312230887131,0,0,0,0,0,0,0.844905451519781,0
Ptgs2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptma,0,0,0.527110022351529,1.84103546455176,0,1.88599824199828,1.09747470864462,0.601124514952151,0.592578237410605,0.654155208314357,0,0.424809431449794,1.81631405590999,1.38420212363793,0.708488664216224,0,0.808764021773301,1.27563181588959,2.09090780945661,1.3196688895028,0.763473452378353,0,1.20394676374045,0,1.2719443581779,1.08994724383308
Ptms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636278635048302,0
Ptn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rab7,0,0,0,0,0,0,0,0,0,0,1.09262751846953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rac2,0,0,0,0.867287619421594,0,0,0,0,0,0,0.57816672242317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rbp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rcan1,0.364197911080231,2.26921968507077,1.00230599069909,0,0,0,0.852108962534289,0,0,0,0,0.971097795445207,0,0,0,1.33457390020556,0,0,0,0,1.04352545089731,0,0,0,0,0
Rcn3,0,0.71749060715738,1.04323849062478,0,0.645278745366801,0,0.896463625640228,0,0,0.820301926689377,0,0,0,0,0.794299769795168,0.842724554664912,0,0,0,0,0.969626288869047,0,0,0,0,0
Retnlg,1.56098890481502,0.665289654946218,0,0.459400287093504,0.72210645694468,0,0,0.932388647158995,0.921304439031652,0.293513306274919,4.38343880689412,0.749341929816341,0,1.26238100884239,0.806250496394436,0,1.15084770939507,0.957480595956353,0.780239806845329,0.811139123549721,0.667791236970586,0.986552378022123,0.380737624079095,2.15717619157943,1.24554643647511,0.86117664854704
Rgcc,0,0,0,0.452871758931637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rgs2,0,0,0,0,0,0,0,0,0,0,0,0,0.461601986057146,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rn7sk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rnase4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rnh1,0,0,0,0,0,0,0,1.24113737825216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl12,1.17580710742155,0.914935863032092,1.14439559839999,1.30605553790909,1.10713842017762,1.51760070815864,1.17580710742155,0.660640966534665,0.95344713862144,1.32217675968334,0,0.879899157811643,1.58005037399889,0.926394179570441,0.891491837363291,1.06074591506039,0.455945570652935,1.06060375535318,1.34521521847733,1.36508215193673,1.0743840431104,1.29513885170149,0.887853581818257,1.44977429876664,0.445698856270675,1.26889450541091
Rpl15,1.17973861806335,1.33889716172862,1.38977127711479,1.39055613503567,1.25956367036272,1.56550250154076,1.3807457107982,0.863798209799679,0.846851234260238,1.16899304158872,0,1.44443439667111,1.62306079685091,1.07834312265604,1.37593925094941,1.32850293383039,1.48912204608053,1.38894522652976,1.44519426081853,1.56279068797489,1.24795701711613,1.23981239366702,1.25750646895683,1.17287741534551,1.03380235408298,1.306497410291
Rpl22,1.19069478238184,1.17654350629478,1.20667558612317,1.35176641210102,1.10992042362987,1.78249918933899,1.00476615925715,1.21641366119494,1.28979030859238,0.881158837829722,0,1.27931640969186,1.70988938553749,1.18469219802775,1.05572733290424,1.21484340478739,1.30484346077919,1.3644129744116,1.48354269675986,1.45902937259293,1.12097634574094,1.33849231167113,1.29890053625003,1.32659046751084,0,1.12324233929958
Rpl22l1,0.586266502114959,0.991903833337085,1.18768548238832,1.17834994742656,0.998123738122006,1.22747042325255,0.977376528611701,0,0,1.24223653506778,0,0.878483682634665,1.28002051089437,1.18469219802775,0.99699079328229,1.06584008788341,0,0.969514562419931,0.841228420014789,1.26925111732801,0.939703752331838,1.14876081066454,0.833338013561694,0,0.674323577886355,0.441656083909506
Rpl23a,1.47315482554578,1.54453566175396,1.48596254808736,1.69415765707216,1.59886221902955,1.9722426020092,1.53797275840625,1.4699902433878,1.24531739126378,1.53449747296821,0,1.58944463670267,2.16660228456788,1.59225306395032,1.61323074501783,1.49001524350354,1.50491634965494,1.62050800825572,2.00345760531689,2.29528073511472,1.43089732958671,1.93590931100296,1.36484269738654,1.52076611484899,0.937852719527009,1.38497978970089
Rpl24,0,0,0,0,0,0.582238111594083,0,0,0,0,0,0,0,0,0,0,0,0.728493260400991,0,0,0,0,0.791352579904659,0,0,0
Rpl27,0.866902095881536,1.11909407688943,1.14439559839999,1.16730886506558,1.018344277483,1.722347959411,1.2785360092847,1.02859541804237,1.17364115951807,1.20495396890374,0,1.03048906245537,1.53453170087118,1.18469219802775,1.16465656070447,1.0312033598914,1.30022884006806,0.907075674537215,1.4436745325237,1.54427183830883,1.02915238993178,1.32990684753799,1.00853098782366,0,0.693491141278344,1.06678548646912
Rpl27a,1.2345855175002,1.26696993702545,1.35839023336146,1.41435445448712,1.33872982677004,1.66812758270314,1.27387555966149,1.21957919422479,1.21416060907953,1.56459703585031,0,1.3054511886377,1.65228848956556,1.10515608731742,1.38350972559447,1.2283751490982,1.48517833570388,1.28513151255947,1.53103930109475,1.7520539694079,1.13953160625346,1.47732293291623,1.03493221552713,1.38212641766016,0.765475516986027,1.20660359445382
Rpl29,0.652699194045079,0.897856938874849,0.936024012740532,1.14538539725712,0.972415468330766,1.25167010607445,0,0.723345027525473,1.16157760316576,1.21457511981036,0,0.858421194628499,1.26984976108594,1.10515608731742,0.869880256771563,0.549123550573243,0.7259208591202,0,1.24113737825216,1.36676620690942,1.02873172008033,1.3073406236976,0.274446760271138,0,0.693491141278344,0.781635881375031
Rpl39,1.78062014164343,1.5385538860141,1.64889981765744,1.94668248397945,1.75148376578693,2.1558414965646,1.59131388709188,1.51737505275674,1.53276625636951,2.02225937585831,0,1.69548949601629,2.02179449159371,1.59981060757459,1.78973094336078,1.59981308877583,1.55922788846092,1.62050800825572,2.13041078019153,2.36881777297397,1.81792779977452,1.96945996194433,1.57262382982217,2.09649594344513,1.34652038479018,1.51800990962778
Rpl9,1.1709314068933,1.2846100646226,1.22954010053953,1.3328874660352,1.29997060766361,1.71698389094103,1.30507683203625,1.31146455122087,1.42177629007725,1.019795219564,0,1.37026561361504,1.61088412454314,1.09662812232279,1.48105654213833,1.20392348975511,1.44789928825538,1.21369205184567,1.53103930109475,1.83451973702833,1.22703473592793,1.22477826928525,1.05765767535356,0,0.724780845571455,1.21552208472486
Rps10,0.895074856613337,0.99373577438029,1.08326636534338,1.21542384090787,1.15328990808778,1.39857274832855,0.585333446751018,0.945863353888559,1.00300774444527,1.05832332747714,0,1.11426164633716,1.3108192811161,0.968152606201254,1.11298623652225,0.972477011214416,1.25732555938059,1.26321639400897,1.33744077434352,1.45902937259293,0.899315381643679,0,0.471382814309437,0,0.758108496604196,1.09288920269983
Rps18,1.43732924884152,1.89629058269135,1.88064630490884,2.11674835605186,1.50785616732722,2.36365564394699,1.77206019515685,1.53103930109475,1.48707021157661,1.55027302628643,0,1.79638847218489,2.22916816469777,1.88173775048575,1.60747026773122,1.61565049558998,1.53381124323619,1.76845987000728,1.97401644674874,2.20820664005992,1.43463502485174,2.24668483232194,1.38285453260453,1.39963428898012,1.13204818668793,1.40087673291799
Rps23,1.54850267907673,1.90341307897299,1.80740169156471,2.45610614879897,1.80902371317893,2.43147886737891,1.98115490323648,1.83529333223263,1.79190508956065,1.66324857441104,0,1.82631773084331,2.47899516469847,1.68636530384292,1.92940424810897,1.60553079802184,1.64474412995222,1.99431462698313,2.15250461466355,2.15374790690404,1.52931659019693,2.40491536784435,1.78007307122067,1.52076611484899,1.13204818668793,1.51800990962778
Rps28,1.53971686162251,1.93336400263968,1.58106271593793,1.66880054150936,1.75298827409945,1.72878485791769,1.32976190759205,1.54673675012151,1.86018310304582,1.95966587988571,0,1.93263850907022,1.85461554807983,1.18968989453882,2.05017057345187,1.51737505275674,1.57626785762277,1.3433525463903,1.98013148324846,2.43272850976617,1.61388725069287,2.0978400529082,1.28382521081973,1.53797275840625,0.844905451519781,1.3625753947139
Rps6,0,0.897577847166032,0.836376587651489,1.14578524361055,0,1.26817150394015,0,0,0.735793093398425,0.537288763342169,0,0.788016064162829,1.36162254893051,0.705534369741334,0,0,1.15609885928495,1.23322587243966,1.13522240121726,1.05363354296391,0.666501819738975,0.393708283889883,0,0,0,0
Rtn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62296514453489,0
Rtn4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
