,unassigned,Neonatal-Muscle_18,Neonatal-Muscle_20,Neonatal-Muscle_19,Neonatal-Muscle_21,Neonatal-Muscle_11,Neonatal-Muscle_5,Neonatal-Muscle_12,Neonatal-Muscle_3,Neonatal-Muscle_9,Neonatal-Muscle_24,Neonatal-Muscle_23,Neonatal-Muscle_26,Neonatal-Muscle_7,Neonatal-Muscle_27,Neonatal-Muscle_15,Neonatal-Muscle_2,Neonatal-Muscle_6,Neonatal-Muscle_1,Neonatal-Muscle_16,Neonatal-Muscle_17,Neonatal-Muscle_14,Neonatal-Muscle_22,Neonatal-Muscle_8,Neonatal-Muscle_10,Neonatal-Muscle_4,Neonatal-Muscle_13,Neonatal-Muscle_25
Cd79a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24494345425101,0,0,0,0,0,0,0,0,0,0,0,0
Cd79b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06037720393053,0,0,0,0,0,0,0,0,0,0,0,0
Cd9,0,0,0,0,0,0,0,0,0,1.20342669563335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdk2ap2,0,0.385181054355104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdkn1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863393862303206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdkn1c,1.4728051802508,0,0,0,0.865438686296243,0,0,0.670965106773224,0,1.09380405478929,0,0.764199991971019,1.53064359747433,4.51286797943443,0,0,3.14252155045302,0.731633562298683,2.51781207978618,1.86142476062949,1.11365344119566,2.5853988019434,0.914988366805256,1.56407828720436,0.948146121757453,2.5269496106475,0.499863864259399,0.934536756711656
Ceacam10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cebpd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cfd,0,0,0,0,0,0,0,0,0,0,0,4.45431451325679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88873446538919,0
Cfp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,1.28462878999521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chchd10,0,0,0,0,0,0,0,0,0,0,0,2.36494235068311,1.0729778551422,0,0,1.12480246483479,0,0,0,0,0,0,0,0,0,0,3.61964974956887,0
Chil1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chil3,0,0,0,0,0,0,1.49532892700603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chodl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20517595727495,0
Cidec,0,0,0,0,0,0,0,0,0,0,0,1.31188161818733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05611362220682,0
Cilp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ckm,0,0,0,0,0,0,0,0,0,0,0,0,3.58948938006319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
