,unassigned,Embryonic-Mesenchyme_6,Embryonic-Mesenchyme_9,Embryonic-Mesenchyme_15,Embryonic-Mesenchyme_21,Embryonic-Mesenchyme_3,Embryonic-Mesenchyme_2,Embryonic-Mesenchyme_11,Embryonic-Mesenchyme_8,Embryonic-Mesenchyme_17,Embryonic-Mesenchyme_1,Embryonic-Mesenchyme_23,Embryonic-Mesenchyme_13,Embryonic-Mesenchyme_5,Embryonic-Mesenchyme_10,Embryonic-Mesenchyme_22,Embryonic-Mesenchyme_4,Embryonic-Mesenchyme_25,Embryonic-Mesenchyme_24,Embryonic-Mesenchyme_16,Embryonic-Mesenchyme_7,Embryonic-Mesenchyme_14,Embryonic-Mesenchyme_12,Embryonic-Mesenchyme_20,Embryonic-Mesenchyme_19,Embryonic-Mesenchyme_18
Dbi,0,0,0,0.646081220916259,0,0,0,2.35137173259567,0,0.636096210312205,0,0,0,0,0,0.856575971978545,0,0,0,0,0,0,0,0,0,0
Dcn,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46485766029771,0,0,0,0,0,0,1.06418616188926,0,0,0,0,0
Ddah2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddx39b,0,0,0,0,0.363709372859473,0.220467908898915,0,0,0,0.198112267238604,0,0,0,0,0,0,0,0.651405081196747,0,0,0,0,0,0,0,0
Ddx5,0,0,0,0.959795911968259,0.516463199665095,0.77311103185663,0.649871936106917,0.766097869884113,0,0.762688690250766,0,0,1.20953933841997,0,1.22335898905425,0.856575971978545,1.2754496864221,0.334835343033365,0,1.43090872199123,0.825758519451215,0.593920962569229,1.00685470011812,1.15112450625534,1.39640845731469,1.07815420326309
Dlk1,0,0,0.959500317373644,0,0,0,0,0,0,0,1.227108942537,0,0,2.04227587100071,0,0,0,0,0,0,1.31919331783201,0,0,0,0,0
Dnaja1,0,0,0,0,0.507121351102776,0,0,0,0,0.642153494084056,0,0,0,0,0,0,0,0.532301179335219,0,0.80566320079989,0,0,0,0,0.968192031808816,0
Dpysl3,0,0,0,0,0,0,0,0,0,0,0,0,0.800769286041144,0,0,0,0,0,0,0,0,0,0,0.832145330852269,0,0
Dync1i2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794587873213568,0
Dynll1,0,0,0.99007570476526,0.699981996311623,0.685063701836462,1.00407503227171,0,1.04533331748762,0,0.674447266717947,1.00715604418379,0.817688065653118,0.976728494470998,0.939343297460965,0,1.09088972078406,0.946569373779383,0.90738074587752,0.665401155328146,0.798672262148219,1.02401427857233,1.03729328495482,1.14332560620952,1.06951485951075,1.29763396662507,0.975562954396062
Dynlrb1,0,0,0,0,0.255195231300137,0,0,0.750407660270885,0,0,0,0,0.894615797306535,0,1.02279679786079,0,0.960621163922824,0,0,0,0.711575570244232,0.712639962479848,1.06839580288876,1.03503865832747,0,0
Ebf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790454367569031,0,0
Eef1a1,0,0,1.14612305666674,1.41626555700688,1.3662741480339,1.20171637101577,0.836338475964816,1.23311103739625,0.534412324495094,1.22025385222423,1.22335898905425,1.09600031736329,0,1.0432511403631,0.686901541712774,0.600442006369919,0,1.2483949634643,0,1.03529113414218,1.04503740386468,1.37397654621862,1.09261513582354,0.829945084373068,1.08796169240234,0.978403589350235
Eef1b2,0,0,0.92880338265448,1.01049279779013,1.20859867183068,1.29646590927187,0,1.03000325841943,0.534412324495094,1.11143982623146,0.848361236471619,1.02847273493599,0,0.953911542907348,0,1.02401427857233,0,1.20742509056151,0,0.951696530744706,0.982136350534047,1.38468414758453,0,0,0,0
Eef1g,0,0,1.16762132420145,0.830549382607663,1.3654861669636,1.2747698132049,0,0.724490099377976,0.565100913220848,0.952895336847311,0.974338456556927,0.61885277503977,0.82839881360998,0.974338456556927,0,0.604195281829494,0,1.30086547521256,0,0.986084108417754,0.861943908585498,1.31723101131289,0.996103567518231,0.373459737761996,0.968192031808816,0
Eef2,0,0,0,0.56904801270139,0.653940526835291,0,0,0.320124395140613,0,0.703901145731616,0,0,0,0,0,0,0,0.215731441171836,0,0,0,0.787214794349608,0,0.622575573212853,0,0
