,unassigned,Spleen_10,Spleen_8,Spleen_11,Spleen_2,Spleen_1,Spleen_5,Spleen_4,Spleen_7,Spleen_9,Spleen_6,Spleen_3
Cd74,3.15658641274425,1.31240249792311,2.50218463932413,1.55364851553858,1.99866382222923,4.25803848738661,2.39462568948116,4.83725560735291,3.25947844841204,4.02753442551294,2.34166919901826,2.30217401582276
Cd79a,1.27640689621187,0.13867179980611,1.33055061313019,0.109649927746366,0,2.0322901384543,0.509623394269756,0,0,0.26953407500061,0,0
Cd79b,1.03072884070003,0.307094620654757,0.750953761777963,0.813369891373995,0,1.39427457358168,0,0,0,0.302760472545443,0.901102238213882,0
Cd8b1,0,0,0,0,0,0,0,0,0,0,0,0
Cdc42,0,0.375445270586927,0,1.00732124862784,0,0,0.866682798049078,0.609969096803843,0,0,0,0
Cdk2ap2,0,0.235281229923095,0,0.751395140532295,0,0,0,0,0,0,1.0109641305557,0
Chchd10,0,0.494212169920578,0,0,0,0,0,0,0,0,0,0
Chchd2,0,1.46975957307676,0.723288929047586,0.572648641524162,0,0,0.523051123420433,0,0.644279569280482,0,0,0
Chil3,0,0,0,3.64678662840671,0,0,0,0,0,0,0,0
Clic1,0.804309128463428,0.381269076406243,0,0.589406336784273,0.739087384642261,0.747549144150384,0.932019759425008,0.952143035615219,0,0,1.12381780929673,1.06476903986344
Clk1,0,0.138898506692203,0,0,0,0,0,0,0,0,0,0
Clta,0,0.193874792980065,0,0.353727635608532,0,0,0,0,0,0,0,0
Cmtm7,0,0.0751200331290125,0,0.153982101472987,0,0,0,0,0,0,0,0
Cnbp,0,0.346696051738383,0,0,0,0,0.500651015842525,0,0,0,0,0
Cnn2,0,0,0,0.813369891373995,0,0,0,0,0,0,0.88227465698247,0
Cnp,0,0,0,0,0,0,0,0,0,0,0,0
Cops9,0,0.577115449084873,0,0,0,0,0,0,0,0,0,0
Coro1a,1.30311829497259,0.202978445370774,0.407825047361211,1.26087208312769,1.35481219214307,1.36822588901413,1.26957012471783,1.17617329338113,0,1.34943300671911,1.43718946883696,1.27572953289016
Cotl1,0,0.0486014305154591,0,1.25711828984025,0.913553872826051,0,0.754161800922934,0.618145210653278,0,0,1.09717866625364,0.424939946262233
Cox4i1,0.893211842939733,1.11360105133702,0.725408299972686,0,0.910496290995416,0.766171367572842,1.02289969074963,0.959136294635533,0.339087565767767,1.06455238955345,0.96292667159842,1.02927951591186
Cox5a,0,0.859884835208107,0,0.448888283277744,0,0,0,0,0.657819004166875,0,0,0
Cox5b,0,0.762716118061442,0,0.153982101472987,0,0,0,0,0,0,0,0
Cox6a1,0.644734505631497,1.24381709788136,0.950905341674315,0.288868087257448,0,0,0.827005398526644,0.653205212860762,0.293906290503041,0.656957803802006,0,0.956210286391814
Cox6b1,0,1.09811911720689,0,0.60822253237391,0,0,0.827005398526644,0.675591001222037,0.668332454176586,0,0,0.856149073054739
Cox6c,0,1.18734429566071,0.507555803116047,0.748740585880439,0,0,0.660146556812485,0.675591001222037,0,0.896659070391276,0,0
Cox7a2,0,1.00350665556197,0.353061363454568,0,0,0,0,0,0,0.430603868515685,0,0
Cox7a2l,0,0.320539416168383,0,0,0,0,0,0,0,0,0,0
