,Placenta_1,Placenta_3,Placenta_9,unassigned,Placenta_27,Placenta_6,Placenta_5,Placenta_19,Placenta_23,Placenta_15,Placenta_10,Placenta_11,Placenta_7,Placenta_22,Placenta_13,Placenta_25,Placenta_4,Placenta_2,Placenta_14,Placenta_16,Placenta_8,Placenta_26,Placenta_28,Placenta_12,Placenta_21,Placenta_17,Placenta_18,Placenta_24,Placenta_20
Dusp1,0,0.366914779516268,0.256768469013268,0,1.27101494192311,0,0,0,0,0,0,0,0,0,0,0,1.27196563496844,0,0,0,0,0,0,0,2.21591126412015,0,1.71067813058932,0,0
Dusp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ear2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emcn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emp3,0,1.1636169473245,0,0,0.722950054805064,0,0,0,0,0,0,0.750439408790002,0,0.769434019563996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erv3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453055150779516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esd,0,1.42081409501986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11635351215245,0,0,0,0,0,0
Evi2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F13a1,0,0,0,0,0.276764755007704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45351975067182,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabp3,0,0,0,0,0,1.58811004837711,0,0,0,0,0,0,1.71401181098889,0,0,0,0,0,0.417875905338713,0,0,0,0,0,0,0,0,0,0
Fabp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24783199494593,0,0,0,0,0,0,0,0,0.716549011221316,0,0,0,0,0
Fabp5,0,1.38188140439621,0,0,0,0,0,0,0,0.780980527429439,0,0,0,1.0501330367849,1.2830726133295,0,0,0,1.22266750684477,0,0,0,0,0.965337653756709,0,0,0,0,0
Fbln7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fcer1g,0,1.89601095619347,2.36251664337551,1.38943353345382,1.7780641802234,0,0,1.63377742726029,0,0,0,0,0,0,0,0,2.30599952250326,0,0,0.379010281970902,1.54650018298692,1.33080557648657,0.915125504751906,0,1.87182480411063,0,1.66610254398429,1.41989086803049,2.21682696969411
Fcgr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fcgr2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fcgr3,0,0.621752564573496,1.02256616355851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fcgr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fcgrt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919012941859218,0,0,0,0,0,0,0,0,0,0
Fcrls,0,0,1.19560354393584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fgb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18833996848472,0,0,0,0,0,0,0,0,0,0
Fgg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08687945126738,0,0,0,0,0,0,0,0,0,0
Fkbp11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
