,Fetal_Brain_12,Fetal_Brain_4,Fetal_Brain_18,Fetal_Brain_16,Fetal_Brain_17,Fetal_Brain_15,Fetal_Brain_5,Fetal_Brain_13,Fetal_Brain_8,Fetal_Brain_9,Fetal_Brain_14,Fetal_Brain_1,Fetal_Brain_10,unassigned,Fetal_Brain_2,Fetal_Brain_3,Fetal_Brain_6,Fetal_Brain_7,Fetal_Brain_11
Gm2000,0,0.959159062077075,0,0.776730689625844,0,0,0.961957770051799,0,0.820257027154587,0.895252889199226,0,0,0,0,0,0,0,0,0
Gm2694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8797,0,0,0,1.11838548765781,0,0,0.988396157169453,0,1.1123699162248,1.00661205293839,0,1.12614053313876,0,0,0,0,0,0,0
Gnas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gnb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gng2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gng3,0,0,0,0.988619332462674,0,0,0,0,0,0,0,0,0,0,0.524316563241318,0,0,0,0
Gng5,0,0,0.759220584406214,0,0.980809026902887,0.784887356728047,0,0.813378083310813,0,0,0,0,0,0,0,0,0,0,0
Gpm6a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpm6b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpx1,1.08586091310368,0,0.924936952147134,0,0,1.34481754420004,0,0,0,0,1.89911780396303,0,0,0.819980666691373,0,0,0,0,0
Grcc10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grpel1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gstm5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H1f0,0,1.07158624131186,0,0,0,0,1.11454942269011,0,1.61278135430022,0,0,0,0,0,0,0,0,0,0
H2afj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2afv,0,1.79856267220239,0,1.00046364632918,0.951631211098892,0,1.33995890685091,0.879252589313302,2.26931788184607,0.885976178743844,0,0.930900555110956,0.94293358797217,0,0,0,1.15454133321982,0.968431744455801,0
H2afx,0,0,0,0,0,0,0,0,0.770376768871439,0,0,0,0,0,0,0,0,0,0
H2afz,0,1.9096283124997,0.817457468963524,1.11293657739445,0.572196925058193,1.00218999818444,1.13118604817846,0.855265323390146,2.16543452634792,0.975820669803297,0,0.940764031875541,1.0080788361819,0,0,0,1.46416835503833,1.09158112754285,0
H3f3a,0,0,0,0,0.477841625178842,0,0,0,0,0,0,0,0,0,0.931277371788697,0.965992377886026,0.770888638297785,0.765850146675723,0.978306783488603
Hba-a1,6.72672047374566,2.00066803894878,1.71623304475049,1.90801096807506,1.67176493591277,1.68493826694885,2.02049547749668,1.98383985181314,1.83821665911211,1.82513419868163,6.74619359482417,2.07212852994645,2.19948424812845,7.20704316689816,2.05319260409405,1.98753619702331,1.95795852332609,1.97017175402457,2.07283778142854
Hba-a2,6.0912017037203,1.38682901545117,1.46798857535303,1.40532611551601,1.24179458271978,1.07562380335804,1.43362812729041,1.7051371353912,1.46808541338067,1.37308903505675,6.47620583972826,1.61519771269839,1.72250058860218,6.66917156844713,1.59964110164208,1.57557481995034,1.34114606729894,1.62477800203927,1.50439166199914
Hba-x,6.00360058648078,1.77291129180304,1.61827192612386,1.75892539871858,1.31466750101594,1.33674064422962,2.01849204486236,1.39030975197533,1.76468662124309,1.79959114343611,1.54380725024499,1.9623220244912,1.91614597414087,5.70509331616427,1.33394140816041,1.42759225013918,1.20048638472147,1.30316021372716,1.32560581736853
Hbb-bh0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hbb-bh1,1.08431236332883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hbb-bs,4.22953355140457,1.32562386286879,1.21749135595635,1.32170132064702,1.44239243755895,1.29685892196193,1.53401329589188,1.50335676638206,1.282488132322,1.26845407192771,6.98165589375661,1.3816371129667,1.8575702333211,5.47478244694072,2.22815673976331,2.07568160000943,1.9530064825584,1.98193101157941,2.23327731598865
Hbb-bt,4.67753464567637,0.641074976749285,0.731376879917437,0,0.832587211752742,0.790742372913324,0,0.957958640802298,0,0,6.39391348185915,0.878586063589483,1.1451657009554,5.61924252629671,1.42344598930338,1.30316021372716,1.08277761736554,1.21763661456679,1.41522938987269
Hes6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hexb,0,0,0,0,0,1.55448027706034,0,0,0,0,0,0,0,0,0,0,0,0,0
Higd1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hist3h2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hist3h2ba,0,0,0,1.2059278094167,0,0,0,0,0,0,0,0.970060821144645,1.01419038181744,0,1.33235278134171,1.1397019822334,0.698194185824996,0.832289320227915,1.67569287235225
Hmgb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hmgb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hmgb3,0,0.741767332973325,0,0.799439331757333,0,0,0,0,1.12224880140728,0,0,0,0.698994277861418,0,0,0,0,0,0
Hmgn2,0,2.07461346161735,0.71879996089558,0.981251622088735,0.721855779155026,0,1.27422042459741,0,2.5988549910081,0.975820669803297,0,0.933912604391057,0.737022082548263,0,0,0,1.00134465988841,0.803182891409936,0
Hmgn3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hnrnpa1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hnrnph3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hsd3b6,0.907508311420768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hsp90ab1,0,0,0,0,0,0.402860332863232,0,0,0,0,0,0,0,0,0.936184910857264,1.06807768584459,0.893210402114168,1.01549386578512,1.00746649600503
Hspa5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hspe1,0,0,0,0,0,0.528651255644527,0,0,0,0,0,0,0,0,0,0,0.772927872396887,0.847472357128457,0
Hypk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Id2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Id3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ier2,0,0,0.333648944874221,0,0,0.486878789511208,0,0,0,0,0,0,0,0,0,0,0,0,0
Igfbp2,0,0,0,0,1.39030975197533,0,0,1.05137514349041,0,0,0,0,0,0,0,0,0,0,0
Igfbpl1,0,0,0,0.960195408143905,0,0,1.11893543592903,0,0,1.1577671313927,0,0,0,0,0.598273731113371,0.97006153564117,0,0,1.1541981851585
Ina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ip6k2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isca2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itm2b,0,0,2.10095568376601,0,0,1.51587884080382,0,1.02091426762985,0,0,0,0,0,0,0,0,0,0,0
Klc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klhdc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kpna2,0,0,0,0,0,0,0,0,0.922720079269048,0,0,0,0,0,0,0,0,0,0
Lamtor2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laptm4a,0,0,0.624519548006209,0,0,0,0,1.1881250433937,0,0,0,0,0,0,0,0,0,0,0
Ldha,0,0,0.481082178406459,0,0,0.955575661714825,0,0,0,0,0,0,0,0,0,0,0,0,0
Ldhb,0,0,0,0.779962275590241,0.477841625178842,0,0.812243088597882,0,0,0.728236057083834,0,0,0,0,0,0,0,0,0
Lgals1,0,0,1.15017022330542,0,0,0,0,1.03380744300573,0,0,0,0,0,0,0,0,0,0,0
Lgmn,0,0,1.07041661499064,0,0,1.73547542341263,0,0,0,0,0,0,0,0,0,0,0,0,0
Lhx1os,0,0,0,0,0,0,0,0,0,0,0,0,0.99481275806841,0,0,0,0,0,0
Lhx2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lhx9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lsm6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lsm7,0,0.843184062824635,0,0.893514332552852,0,0,0,0,0.732243815309503,0,0,0,0,0,0,0,0,0,0
Ly6h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lypla2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyz2,0,0,1.15526643294005,0,0,0.573867008266061,0,0,0,0,0,0,0,0,0,0,0,0,0
Maf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maged1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maged2,0,0,0,0,0,0,0,0.708749771538461,0,0,0,0,0,0,0,0,0,0,0
Mageh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malat1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Map1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Map1lc3b,0.501100803135175,0,0,0.913901126137898,0,0,0.943071027380248,0,0,1.06065618905029,0,1.11128351272898,1.05234275492689,0,0.524316563241318,0.734835586765805,0,0,0.751539817327014
Mapt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986281128567726,0,0,0,0
Mdh2,0,0,0,0.84328158787258,0,0,0,0,0.642415862944444,0.92917764350782,0,0.825495165901037,0,0,0,0,0,0,0
Mdk,0,1.17029754138381,0,0,0.774980616448866,0,0.900795620969454,0.911082981508594,0.879920158286374,0,0,0,0,0,0,0,0,0,0
Mea1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Med10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Med28,0,0,0,0.84328158787258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meg3,0,0,0,0.281323842174906,0,0,0,1.0004439137393,0,0,0,1.08379720681681,0,0,1.08741435890426,0,0,0,0
Mfap2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mien1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir124-2hg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mkrn1,0,0,0,0,0,0,0,0,0,0,0.8404129736721,0,0,0,0,0,0,0,0
Mlf2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mllt11,0,0,0,1.21302613024902,0,0,0,0,0,1.24557921700231,0,1.23092241216499,1.01190876037456,0,0.906199078381662,0.863538720802644,0,0,0.846536504915786
Morf4l1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrpl23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrpl34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrpl42,0,0.551533233648882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrps12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrps14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrps18c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrps21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrps33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mt-Nd1,1.14719173314745,1.30051121172038,2.02687804532953,1.4496959879422,1.9437758743045,2.00393947279758,1.62494354034322,1.89046529133404,1.40265031567816,1.38249971655706,1.362402988269,1.35962280018484,1.53185609432165,0,2.35164907319827,2.37949651059978,2.38576077453579,2.49110789779535,2.43481930943141
mt-Rnr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mt1,0,0,0.700445312612894,0,0,0.556284012000979,0,0,0,0,0,0,0,0,0,0,0,0,0
Myl6,0,0,0.672682337365911,0,0,0,0,0.493989493088852,0,0,0,0,0,0,0,0,0,0,0
Naa35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nap1l4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndn,0,0,0,0,0,0,0,0,0,0,0,0.81508669306677,0,0,1.14084759803541,0,0,0,0
Ndufa1,0,0,0,0,0.395350667552214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufa8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufab1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufb10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufb4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufb7,0,0,0,0,0,0,0,0,0.403682005845851,0,0,0,0,0,0,0,0,0,0
Ndufs5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neurod6,0,0,0,0,0,0,0,0,0,1.22292417586464,0,0,0,0,0,1.17822007674854,0,0,0
Nhlh2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Npm1,0,1.04995063174439,0.739221281582851,0,0,0,0,0,0,0,0,0,0,0,0,0.774684642676818,0.968836525444947,1.00490110125849,0
Npy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
