,Lung_18,Lung_12,Lung_1,Lung_3,Lung_28,Lung_31,unassigned,Lung_2,Lung_14,Lung_11,Lung_19,Lung_8,Lung_6,Lung_5,Lung_24,Lung_17,Lung_10,Lung_22,Lung_25,Lung_9,Lung_16,Lung_32,Lung_7,Lung_20,Lung_15,Lung_29,Lung_26,Lung_21,Lung_4,Lung_30,Lung_23,Lung_13,Lung_27
Srgn,0,0,0,0,0.890902225601049,1.55950372832498,0,1.24754499642339,0,0,0,0.809690788100034,1.12920780747147,1.09057762830212,1.05461546298606,0,0,0.540274390959836,0,0.863603275003476,1.0633717532737,1.45164828475213,3.31199100250286,1.25150967306218,1.79847531753767,1.44775767565656,0,2.15708868085804,0,2.73823775112193,0,1.38863445170781,0
Stk17b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416221104418024,0,0,0
Sub1,0.588301103529883,0.822884875536259,0,0,0.942898697094905,0.954984465395589,0,0,0,0,0,0,1.11749849561679,1.04912123032149,1.19424396266866,0,0,1.32930599600295,0.829080080583456,1.46705657071664,0.835354058832418,1.09040218851343,0,0,1.04214437456017,1.16399318150277,0,0,0,1.35598777422844,0,0,0
Tagln2,0.839110928012359,0,0.71922683907402,1.12152276392205,0.244329138531352,1.11616379945273,0,0,1.05599842311497,1.11483244458475,0.37573270110208,0.499933411292891,0,0.969328184752432,1.22765197481004,0.845213321730065,0.493284033717461,1.3493549181788,1.186475188147,0.881148093086289,0.764635246318702,1.09470076385468,0,1.1352116314975,0.859942225807933,1.62878500054002,1.33518066143335,0,0,1.35034850526778,0,0,1.122831444657
Taldo1,0,0,0,0.667719754841235,0,0.857159699872363,0,0,0,0,0,0,0,0.887721307507417,0,0,0,0.743707004649746,0,0.708178656170302,0,0,1.05303956085848,0,0,0,0.230809918367358,0.968925793203077,0,0,0,0,0
Tceal9,0,0.581522647750212,0.852258472048066,0,0,0.405543029630114,0,0,0,0,0,0,0,0,0,0,0,0,0.97434097175693,0,0,0,0,0,0,0,0,0,0,0,0,0,0.760723967246975
Tgoln1,0,0,0.551536241972082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thbd,0,0,0,0,0,0,0,0,0,0,1.34961884934198,0,0,0,0,0,0,0,0,0,0,0,0,0.293225344960676,0,0,0,0,0,0,0,0,0
Thbs1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985766702234506,0,0,0,0,0
Thy1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754220094285226,0,0,0,0,0,1.03072882570896,0,0,0,0,0,0,0,0,0,0,0,0
Timp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985494787696848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timp3,0,0,0,0,0,0,0,0,1.34230829040571,1.2105284194237,0,0,0,0,0,0,1.4503396860639,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482030435963804,0,0
Tlr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565702666381657,0,0,0,0,0,0
Tm4sf1,0.692527787990839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48289917838847,0,0,0,0,0,0,0,0,0
Tmem100,0,0,0,0,0,0,0,0,0,0,1.20597790904239,0,0,0,0,1.42421266537232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmem176a,0.365982228109409,0.702771644298693,0,0,0,0,0,0,0,1.16886791612072,0,0.670374845476514,0,0,0,0,0,0,0,0,0,0,0,0,0.366380257369873,0.801735168579589,0,0,0,0,0,0,0.256353431615891
Tmem176b,0.687209403889287,0.736486647584614,0,0,0,0,0,0,0,1.23310888466437,0,1.14166783252065,0,0,0,0,0,0,0,0,0,0.757893317262128,0,0,0.957559600930702,1.39288785117968,0,0,0,0,0,0,0.838322634987778
Tmem50a,0,0,0,0,0.136878910759719,0,0,0,0,0,0,0,0,0,0,0,0.56502588415251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
