,unassigned,Neonatal-Skin_5,Neonatal-Skin_1,Neonatal-Skin_3,Neonatal-Skin_18,Neonatal-Skin_12,Neonatal-Skin_19,Neonatal-Skin_22,Neonatal-Skin_11,Neonatal-Skin_4,Neonatal-Skin_7,Neonatal-Skin_23,Neonatal-Skin_10,Neonatal-Skin_16,Neonatal-Skin_2,Neonatal-Skin_9,Neonatal-Skin_13,Neonatal-Skin_6,Neonatal-Skin_17,Neonatal-Skin_20,Neonatal-Skin_8,Neonatal-Skin_21,Neonatal-Skin_24,Neonatal-Skin_14,Neonatal-Skin_15
Ppia,0,0.407391755797861,0,0,0.59737464604355,1.36234435577884,0.927390667450465,0.297193746468345,0.712954665171048,0,0.534195826677642,1.71408285896487,1.5250538635363,0,0,0,0,0,1.33881449868795,0.906959800568079,1.03153003175707,0.724249141247406,0,0,0
Ppib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ppic,0,0,0.914654661578657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66580680743116,0,0,0,0,0,0,0,0
Ppp1ca,0,0,0,0,0,0,0.617024391864297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prdx1,0,0.718284904310561,0,1.00385550249934,0.597875468082579,0,1.09039451844675,0,0,0,0.585452813665721,0.994225626472735,0.95924513909438,0.953610736154055,0,0,0,0,0.933596057450757,1.15245805118405,0,0,0,0,0
Prdx2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prkcdbp,0,0,0,0,0,0,0,0,0,0,0,0.480516421250806,0,0,0,0,0.673697832546719,0,0,0,0,0,0,0,0
Psap,0,0,0,0,0,0,1.35867225353602,0,0,0,0,0.494721747184962,0,0,0,0,0,0,0,0,0,1.02270641399231,0,0,0
Psma6,0,0.519285600642287,0,0.99363311580947,0.47927465830652,0,0,0.33573460779772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psma7,0,0.77429697840969,0,0.523269350788896,0.82297309898309,0,0,1.03156735056932,0,0,0,0.533474348849714,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptgds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33112736188573,0,0,0,0,0,0
Ptma,0.997731236012252,0.577093315897918,1.10791802996862,0.719196734018051,0.486101223030336,1.57622904721541,0,0,0.79601492265596,0.644972125151079,1.06104002469959,0.798870757552627,1.87651138880355,1.30299733762414,0.969591912952732,1.88306353448379,0,0,1.02842515745045,0,1.32720621505377,0,0,1.3635056786557,0.873601459903364
Ptms,0,0.271899069319424,0,0,0.59737464604355,0,0,0,0,0,0,0.494721747184962,0.921280476115108,0,0,0,0,0,0,0.26838151741179,0.295470271554392,0,0,0,0
Ptov1,0,0,0,0,0,0,0,0,0,0,0,0.209181383353852,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabac1,0,0.559323170844148,0,0,0,0,0,0.33573460779772,0,0,0,0.271335037896955,0,0,0,0,0.708324511310247,0,0,0,0,0,0,0,0
Rack1,0.459172204587359,0.335403896432106,0.916451915263815,0.80673159883104,0,1.03918340420901,0.723509452409814,0,0.649684413040681,0.987811947742726,0.903047252093498,1.00528914742835,0.95924513909438,0,1.09046582634725,0.808335492183287,0.89650053203178,0,1.1003758340583,0.925093971750137,1.05220979772981,0.932339515745204,0,0.767176040860196,1.16621181330636
Raly,0,0,0,0,0,0,0,0,0,0,0,0.238520966121365,0,0,0,0,0,0,0,0,0,0,0,0,0
Rarres2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750351831419677,0,0,0,0,0,0,0,0
Rbm39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rcn3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72647750200028,0,0,0,0,0,0,0,0
Reep5,0,0.749177142793452,0,0.503505040291186,0.82297309898309,0,0,0,0.410240500269274,0,0,0.238520966121365,0,0,0,0,0,0,0,0,0,0,0,0,0
Retn,0,0,0,0.965974035302052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rgs2,0,0.769348171049244,0,0,0.495001082467733,0,0,0,0.955630556306187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rn7sk,0,0,0,0,0,0,0,0,0,0,0,0.271335037896955,0,0,0,0,0,0,0,0,0,0,0,0,0
Rnase4,0,0,0,0,0,0,1.04782953683865,0,0,0.966560031425189,0,0,0,0,1.31974257433805,0,1.3774841194046,0,0,0,0,0,0,0,0
Rpl10a,1.21167321758702,0.654171293742526,1.30350880126829,0.867395500792266,0.838415495841412,1.1691969351292,0.723509452409814,0,0.729282720963815,1.20313071815067,0.876380015578037,0.746180601888664,1.09559030707923,0,1.27888563341132,1.18436765670148,0.881837950630202,1.40566857727236,1.14139285824493,0.47699843951781,1.28069957915585,1.02270641399231,0.641257368303191,1.29669045762782,1.45631563024171
Rpl12,0,0.371455306204697,0.781902106011792,0.499751733559169,0.511440103502665,1.25988610598227,0.430010334332436,0,0.717283815800546,0.695475802952754,0,0.642476212568882,0.828298847324641,0.979232595708152,0.794676159459526,0,0.604464541105669,0,0.538105537302743,0,0.946930413578416,0.941132810293715,0,0,0.92616193295518
Rpl15,1.04981554973972,0.660269139663412,1.29725834712959,0.89900423168111,0.632504880448264,1.4027207821261,0.817242818282767,0,0.569713786229517,1.2291494824082,1.22871200442643,1.16311369694226,1.14005070220924,0,1.37960895244389,1.00567149065527,0.887980559652672,0,1.34370228108277,0.812574472739391,1.24062898392436,1.49402450934987,0,0.969034506639372,1.45631563024171
Rpl17,1.21167321758702,0.864273894810136,1.37255342188507,1.06047734635616,0.871973147976019,1.41759460954561,1.19996001734252,0,0.977066059435989,1.35320373749732,1.30103302692857,1.16311369694226,1.14242106379678,0.401177448995301,1.43358731561425,1.15152381127514,0.949453216120148,0,1.01455313487351,1.04466956810634,1.24923257508591,1.68317120881622,0.380015022330869,0.946581238311441,1.57812656457429
