,Bone_Marrow_Mesenchyme_9,Bone_Marrow_Mesenchyme_5,Bone_Marrow_Mesenchyme_1,Bone_Marrow_Mesenchyme_4,Bone_Marrow_Mesenchyme_6,Bone_Marrow_Mesenchyme_18,Bone_Marrow_Mesenchyme_15,Bone_Marrow_Mesenchyme_10,Bone_Marrow_Mesenchyme_14,Bone_Marrow_Mesenchyme_7,Bone_Marrow_Mesenchyme_2,Bone_Marrow_Mesenchyme_11,Bone_Marrow_Mesenchyme_19,Bone_Marrow_Mesenchyme_13,Bone_Marrow_Mesenchyme_12,Bone_Marrow_Mesenchyme_8,Bone_Marrow_Mesenchyme_17,Bone_Marrow_Mesenchyme_3,Bone_Marrow_Mesenchyme_16,unassigned
Btf3,0,0,1.26917793525905,0,0,0.839327052412977,0,0,0,0,0,0,0.811733673081807,0,0,0,0,1.13516571321802,0,0
Btg2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862082214891608,0
C1qbp,0,0,1.13607318284341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cadm1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calm2,1.35846480396394,1.80330911454067,0.790151940714681,1.235131263185,0,1.31001275515313,1.04381620574315,1.20752033413503,1.22801971011181,1.44373193933337,1.21847405531767,1.24473731635944,1.17484690838256,0.245832948885908,0,1.5127609923497,1.92610004620399,0,1.34971085389436,0
Calr,1.21259232435451,0,0,0,0,0,0,0.607389699447695,0,0,0,0,1.3275931550942,0,1.96309516348824,0,0,0,0,0
Camp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Car1,0,0,2.5935074992203,1.87977832323547,0.931609663549535,0,1.15509794424611,0,0,0,0,0,0,0,0,0,0.892446017711877,1.88158248343482,0,0
Car2,0,0,2.48963451891234,2.79636927276824,1.0176522772657,0.618434625277593,0,0,0,0,0,0,0,1.10517546811088,0,0,1.3766369689352,2.99560395991707,0,0
Car3,0,3.76506271174966,0,1.31097294058057,0.959130410290638,0,1.19188285233671,0,0.738356422497494,0,3.2837858250954,1.02126961541587,0,0.495236474404253,0,3.35586716188288,1.1359803918759,0,0,1.23729254349529
Ccl3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccnd3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08386329119801,0,0
Cct8,0,0,1.0152645220637,0,0,0,0,0,0,0,0,0,0.698132063073277,0,0,0,0,0.676671872112879,0,0
Cd200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd24a,0,0,0.885477237485737,0,0.910209127061547,0,0,0.786252965783689,0,1.80464320165345,0,0,0.667503908641043,0,0.816666776828212,0,0,1.97109296183965,0.869966696774145,0
Cd47,0,0,0.668600166655363,0,0,0.425987139436403,0,0,0,0,0,0,0.519983765333726,0,0,0,0,0.935613034302768,0,0
Cd52,0,0,0,0,1.4707171153136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd59a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd63,2.64438018803138,2.93948981188343,0,1.08468309091459,1.48338090925971,1.21797242618992,1.82912789258181,2.45402501122886,2.13960939843628,0,2.94925999732799,1.20502349127218,2.15856150954585,1.59062576230998,2.75077645614498,2.97457039398232,1.43997748252636,0,2.24432474802517,1.56346539171582
Cd63-ps,0,0.98038505764524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd79a,0,0,0,0,0,0,0,0,0,0.612044221363665,0,0,0,0,0,0,0,0,0,0
Cd79b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd9,0,0,0,0,0,1.41658022921552,0,1.61295551987005,1.3254585613191,0,0,0,0,0,0,0.52560314174757,0,0,1.85259843915242,0
Cdk4,0,0,0.967783160112599,0,0,0,0,0,0,0,0,0,0.213115892728149,0,0,0,0,0.856683564810413,0,0
Cdkn1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06483268427894,0,0,1.21812481288644,0
Cdo1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814058461708458,0,0,0,0
Cebpd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cenpa,0,0,0.723278818162211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813756723278209,0,0
Cfh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cgref1,0,1.47228744505096,0,0,0,0,0,0,0,0,1.56946409545813,0,0,0,0,1.68732038660138,0,0,0.807472819321496,0
Chad,0,0,0,0,0,0,0,2.6559847295217,0,0,0,0,0,0,0,0,0,0,3.14471794396946,0
Chchd10,0,0,0,0,0,0,0,0,0,1.47596506428768,0,0,0,0,0,0,0,0,0,0
Chil3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ckap4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ckb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cks1b,0,0,0.64224710266151,0,0,0,0,0,0,0,0,0,0.936268351099573,0,0,0,0,0,0,0
Cldn13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06535919398251,0,0
Clec11a,0,0,0,0,0,0,0,0.898034276275492,0,0,0,0,0,0,0,0,0,0,0,0
Clec4e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clic1,1.09081983192351,0,0.425552969408403,0,0,0.925778405256799,0,0,0.43686842589765,1.28071615296559,0,1.181554068457,1.29688934593364,0.375616328728033,0,0,0,0,0,0
Cmtm7,1.15611113750728,0,0,0,0,0,0,0,0,0,0,0,1.86744598346472,0,0,0,0,0,0,0
Cnbp,0,0,1.1595219633295,1.25413292505727,0,1.12847293078349,0,0.548375057842965,0,0.512085963996032,0,0,0.965188813202999,0.366867749364299,0,0,1.02052738865474,0.944137135198426,0,0
Cnmd,0,0,0,0,0,0,0,3.43886484523869,0,0,0,0,0,0,0,0,0,0,2.55440667091307,0
Cnn2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cnpy2,0,0,0,0,0,0,0,0.909657711939799,0,0,1.02294725048967,0,0,0,0,1.12503221956688,0,0,0,0
Col10a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09966604658356,0
Col11a1,0,1.83365139044384,0,0,0,0,0,2.07243547014064,0,0,1.84277768041791,0,0,0,0,1.80163637635256,0,0,1.9798423704173,0
