,Fetal_Intestine_10,Fetal_Intestine_7,Fetal_Intestine_15,unassigned,Fetal_Intestine_18,Fetal_Intestine_17,Fetal_Intestine_3,Fetal_Intestine_12,Fetal_Intestine_8,Fetal_Intestine_9,Fetal_Intestine_11,Fetal_Intestine_14,Fetal_Intestine_1,Fetal_Intestine_20,Fetal_Intestine_2,Fetal_Intestine_16,Fetal_Intestine_4,Fetal_Intestine_6,Fetal_Intestine_13,Fetal_Intestine_5,Fetal_Intestine_19
Rpl7,1.00913898754107,1.51067044649552,1.07003366155427,0,1.54048236371463,1.68971768959837,1.35839894680921,1.28678571878868,1.23049557061365,1.11021971431578,1.28931201072608,1.34104362910875,1.50871037351178,1.20524575852447,1.32715790199583,1.36917544767192,1.46929603720663,1.67703283774581,1.3210213140276,1.28099734613789,1.28381414483733
Rpl8,1.04751175169977,1.77195005582793,1.08827286448386,0,1.66167451332135,1.6879647101774,1.61160840770968,1.72688150998791,1.62423375684969,1.29708205989029,1.37444502697728,1.57894975161593,1.67703283774581,1.25016709853495,1.71621618897571,1.48409210218836,1.82593542404906,1.56316093143246,1.5683850424498,1.69064192847517,1.66616521880841
Rpl9,0.581213167038021,1.09541094142989,0.73622579185598,0,1.00534736877238,1.16877338928012,0.949925135827282,1.03584461408654,0.951963867504716,0.770663742166113,1.07879583085107,0.915961390944265,1.02556082883587,0.781700167721963,1.08502030112431,1.17792016052193,1.04834635726707,1.00913898754107,0.935899398253259,0.943527440814,1.1009460230034
Rplp0,1.2003965328212,1.80843120638745,1.460330556707,0,2.16351867013617,1.86428763814303,1.54059648531108,1.57070446658979,1.78844480455012,1.32783972747234,1.38187467810839,1.46937878845319,1.67475689664657,1.07545234047528,1.63709350095295,1.77278273119612,1.80104493980646,1.49440860671139,1.4970676741337,1.54156156269506,1.13306280871644
Rplp1,1.32537644377666,1.91188307388521,1.49069068266421,0,1.94509970936635,2.04989914377451,1.64760691634153,1.70019458387004,1.9073032710792,1.57051829312133,1.59054496441124,1.50081343937482,1.80708312072641,1.21109595667703,1.72525601122425,2.11249059616558,1.89386421321296,1.7048905925275,1.73134967337521,1.83309118677861,1.54900299024344
Rplp2,0.973937025046645,1.72616706549981,0.966848401730854,0,1.53489991749069,1.54704667661883,1.32034395839005,1.4864252239682,1.49440860671139,1.23400414468982,1.29710443869523,1.23712604361358,1.30429804801002,0.953231270154762,1.31226879880109,1.5905549106335,1.32068319398146,1.20875599281083,1.21895144834849,1.27562158755978,1.12508703190118
Rps10,0.58672739333689,1.05099897398764,0,0,0.56889898973806,1.18438640368715,0.877456745853455,0.925037020062173,0.798085977001235,0.69525407588184,0.6966865032257,0.866255744363635,0.921021814827956,0,0.850944273147235,0.937220966373797,0.753783988346795,0.768465369778076,0.76758961093919,0.851012331343128,1.06136862186398
Rps11,1.23517838856564,1.94174776594392,1.2034507668295,0,1.64884344809914,2.05100259471391,1.67665542390797,1.85810839760167,1.87300464275199,1.76382986348752,1.47350483136828,1.68565565748848,1.73134967337521,1.12834189746661,1.70431817764105,2.06339521313575,1.8710598213035,1.74492664880691,1.61683864793562,1.70253343660944,1.87087086987945
Rps12,0.840024733766298,1.50452490820045,0.859977291253501,0,1.26802408183266,1.55010763411493,1.20707673382093,1.29512916399401,1.35159694756902,1.1416331449764,1.19819035302481,1.19367998706226,1.24705255910611,0.782191677301639,1.25611883724382,1.29838912046741,1.31294316300738,1.17076218085636,1.14312819619473,1.2653256844367,1.19402833481794
Rps13,0.981497277898095,1.75571447788571,1.12795416031239,0,1.55238432122457,2.00091652242105,1.37604022497716,1.70844640416596,1.5270129889437,1.23989916166192,1.28099734613789,1.36310188545515,1.44934209063113,1.44163035076896,1.49721839412046,1.56218565362788,1.66966121567051,1.33334892067138,1.26780521974955,1.36965626747326,1.29538882435469
