,Trophoblast-Stem-Cell_4,Trophoblast-Stem-Cell_2,unassigned,Trophoblast-Stem-Cell_1,Trophoblast-Stem-Cell_3,Trophoblast-Stem-Cell_5
Atp5o,0.766631489130285,0.787295340637989,0.661350711238542,0.904898633245438,0.761797738990626,0
Atp6v0b,0.429548271634365,0,0,0,0,0
Atp6v1e1,0.182556320311243,0,0,0,0,0
Atp6v1f,0.836650842777344,0.660675430140928,0,0,0,0
Atp6v1g1,0,0,0,0,0,0
Atpif1,0.815094584313132,0.792234436583592,0.845121979132911,0.957772196218119,1.0799808179311,1.37379046520457
Atxn10,0.986615544457649,0.619277060197407,0,0.627071668595782,0,1.1114269780797
B2m,0.777175924137906,0.580732632524888,0,0,1.3595735669398,0
Banf1,0.456252447146858,0.851503682671671,0.85387799261151,0.688818580594103,0.67956375745597,1.10126705672415
Bax,0.401859141974501,0,0,0,0,0
Bcas2,0.191024581215902,0,0,0,0,0
Bex3,1.84985812952636,2.27577389419075,1.91663182084149,1.82704290431433,1.03310552573358,2.09400967325363
Bgn,0,0,0,0,0.683132291107348,0
Birc5,0.170107803639288,0.743206952032733,0,0,0,0
Bola2,0.397213080188413,0.443184348007328,0,0,0,0
Brk1,0,0,0,0,0,0
Bsg,0.949469216127466,0.508566360994647,0,0,0.641622262065447,0
Btf3,0.733547615267851,0.884894613245317,0,0.711631413965832,0.827045487350399,1.37379046520457
Bud31,0.425631626648804,0,0,0,0,0
Bzw1,0,0,0,0,0,0
C1qbp,0.470976343509437,0.691346961743364,0,0,0.375180493376341,0
Calm1,1.41997830498181,0.880083223314529,0.919179780829655,0.668181538013358,1.27743226427493,1.10126705672415
Calm2,0.827585527028946,0.944738980001158,0,0,0.833403120884049,0
Calr,0.574249940398786,0,0,0,0.760306881581286,0
Capzb,0.530011908600347,0,0,0,0.568706007929012,0
Ccdc124,0,0,0,0,0,0
Ccnb1,0,0,0,0,0,0
Ccng1,0,0,0,0,0,0
Cct2,0.0900566678078231,0.507627912606459,0,0,0,0
Cct3,0.429503419008972,0.506135497135768,0,0,0,0
Cct4,0.542334563721056,0.534226573451448,0,0,0.477545594665919,1.00033844250059
Cct5,0.517175544387888,0.693102060539863,0.823153898122177,0.652478454300868,0.541535939337624,0
Cct6a,0.170107803639288,0.50623053874583,0,0,0,0
Cct7,0.462404843311459,0.664850149122423,0,0,0.500349964577606,0
Cct8,0.822013688926371,0.791195095557677,0,0,0.620682398877577,0
Cd63,1.74421687279159,1.07648016856203,1.37306028231585,1.25201404278257,1.6525200157117,1.71846494771733
Cd9,0.609269661781215,0,0,0,0,0
Cdc20,0,0,0,0,0,0
Cdc37,0,0,0,0,0,0
Cdc42,0.643519601670358,0.460331923637766,0,0,0.753775127699158,0
Cdk1,0,0,0,0,0,0
Cdk4,0.453686411516988,0.551917278979736,0,0,0.64769050646653,0
Cenpa,0,0,0,0,0,0
Cfdp1,0.611693437221646,0,0,0,0,0
