,unassigned
Tubb5,0.985321614833801
Txn1,0
Ubc,0
Ube2a,0
Ube2b,0
Ube2c,0
Ube2d3,0
Ube2l6,0
Ubl5,0
Uchl3,0
Ucp2,0
Uqcc2,0
Uqcr10,0.781969828786056
Uqcr11,0
Uqcrb,1.1793277235582
Uqcrq,0
Urod,0
Vamp3,0
Vamp8,0
Vbp1,0
Vcp,0
Vdac3,0
Vim,0
Vps29,0
Wnt6,0
Xist,0
Ybx1,0
Ywhab,0
Ywhae,0
Zcrb1,0
Zfas1,0
