,unassigned,Testis_8,Testis_5,Testis_14,Testis_11,Testis_17,Testis_3,Testis_6,Testis_10,Testis_15,Testis_16,Testis_7,Testis_13,Testis_12,Testis_9,Testis_19,Testis_18,Testis_4,Testis_1,Testis_2
Dnaaf1,1.18214197600055,1.77603494812666,0.957358117402143,0.743073394036152,1.64702480917291,1.22175041724528,1.15622459326575,0.989455829858786,1.0492906850628,1.13265726750665,1.04715346640353,1.14764667842925,0.996869698985243,1.41084037960484,1.06763189826777,1.08787790266729,1.4825086332809,1.53656677035966,1.44331460060529,1.13206624433862
Dnajb1,0,1.27806372314003,0.258159954469559,0.686206835320132,1.10182812879545,0.76323370890279,0.5413128479653,0,0,0,0.507836991726258,0,0,0,0,0,0,0.853794522941577,0,0
Dnajb8,0,0,1.36952501738816,1.79464081737518,0,0.614546622189326,0,1.53599988376232,1.95512261118299,0,0.673728095781693,1.06710973936722,0,0,0.850683567127475,0.82784278519759,0,0,0,0
Dnajc5b,0,0,0.996417077995611,1.46488320705475,0.356433131230982,0.938948988726792,0,0.971519267851241,0,0,0,0,0,0,0,0,0,0,0,0.833746914610063
Dusp13,0,0,0.619633861252642,0,0.484337912637453,0.986822905362703,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727114433062605
Dynll2,1.48041117370316,0,2.12122147984071,2.57150977646512,0.890105931974328,1.97130531287229,0.951769956836164,2.06779762706169,1.0436539654215,1.07446890774094,1.42901636945964,1.5394112980208,1.2382066077611,1.43780392637363,1.42418434417065,1.43486178480279,1.25964597276065,0,1.45170838077088,1.87945554152431
Eef1d,0,0,0.508070430686634,0.84938067098616,0,0.400973772106667,0,0,0.87471290423199,0,0,0,0,0,0,0,0,0,0,0
Efcab10,0.808865732549791,0.846222065540226,1.23040914265064,0,1.19922231812396,1.22847956780461,1.01321951453991,0.803753020321913,0.574122306295402,0.807690933362911,1.03968376399654,1.21959137147988,0.846787663235547,1.23075751931641,0.985017762790994,0.98435564731986,0,1.22656013223285,1.10640741285171,1.42998702910686
Efcab9,0,0,0.694080790251377,0,0.870048810081207,1.34781730268871,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16368532371427
Efhd1,0,0.900414117153651,0,0,0.797273160731277,0.269392151711651,0.687153850179321,0,0,0,0,0,0,0,0,0,0,0.844373031286658,0,0
Eid3,0.731636788673494,1.74755114143812,0.72841774027572,0,1.60839661474492,1.30479704852565,1.19424189405612,0.633868550528785,0.797166281027442,0.977567514615975,0.8195989249599,1.1546829345751,0.79151488747964,1.19391141919418,0.853137615046982,1.07605970539873,1.29079404160239,1.54743919209489,1.19512463366893,1.17763030779993
Eif1b,0,0.86741025583333,0.538969904735503,0.379166941122502,0,0,1.10725062267306,0,0,0,0,0,0,0,0.775349864971194,0,0,0.953628517131304,0,0
Eif2s2,0,1.22063001169299,0,0,0.922819564446199,0.593400696072306,0.954658452845374,0,0,0,0,0,0,0,0.811225882969768,0.851336558550774,0,0.961749800882892,0,0
Eif4e,0,0,1.13860469274732,1.47658252440465,0,0,0,1.09444674589424,1.32693085507779,0,0,0,0,0,0,0,0,0,0,0
Eif4h,0,0,0,1.10275906637086,0,0,0,0.610384231743515,0.55311010604594,0,0,0,0,0,0,0,0,0,0,0
Fabp3,0,0,0,0,0,0,0,0,0,0,0,0,2.00058933688783,0,0,0,0,0,0,0
Fam166a,0,0,0.723819454482565,0.984135147534787,0,0.445729201876067,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam170b,0,0,0,0,0.534518251209278,0.718380641758708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam183b,0,0,0.565257302403431,0,0.333470709651385,0.804043464572232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775080264544967
Fam187b,0,0,0.831717396274255,1.24070728674945,0,0.181207567426099,0,0.804478321221479,0,0,0,0,0,0,0,0,0,0,0,0
Fam205c,0,0,0.705260434448793,1.20559425653288,0,0.879501144497985,0,0.507910044507335,0,0,0,0,0,0,0,0,0,0,0,0
Fam209,0,0,0.838156085194345,0,0.801435885420331,1.70133986326339,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40942664446985
Fam216a,0,0.870709974733259,0,0,0.710258411852517,0,0.771325913808401,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam221b,0,0,0.688104342128543,0.597572043340058,0.280678280184191,0.983402730246059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.654466025098281
Fam229a,1.86145212852326,0,2.53021939849452,2.67579359028921,1.10275906637086,2.18640332338576,1.29903698694156,2.18364249928639,1.21546080620288,1.47936485947161,1.83558925874401,2.04641450619729,1.6326529155357,1.94032215117855,1.80147919706125,1.97381239022633,1.57687045632003,1.00601541126663,1.78337237944334,2.49858643100365
Fam24a,0,0,0.612375446742009,0,0.911015668926577,1.19125869296342,0,0,0,0,0,0.871075195595788,0,0.604473800670978,0,0,0,0,0,1.36530310667852
Fam71d,0,0,0.713505665694625,1.3490290271432,0,0.593957648631169,0,0.78339162862723,0,0,0,0,0,0,0,0,0,0,0,0
