,unassigned,Uterus_19,Uterus_8,Uterus_5,Uterus_3,Uterus_7,Uterus_6,Uterus_11,Uterus_13,Uterus_9,Uterus_18,Uterus_12,Uterus_1,Uterus_16,Uterus_10,Uterus_17,Uterus_4,Uterus_14,Uterus_2,Uterus_15
Nkg7,0,0,0,0,0,0,0,0,0,2.02786365119574,0,0,0,0,0,0,0,0,0,0
Npc2,0,0.690896135029548,0,0,0.532068946039844,0,1.25589297972804,0,0,0,0,1.70845307518484,0,0,1.29330598241397,0,1.03134815338699,0,1.50838066899314,0
Nppc,0,0,0,0,0.77119279535946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nr2f2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nr4a1,0,0,0,0.532175778334628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nrep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nupr1,0,0,0.388175428917178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ogn,0,0,0,1.22223678132493,1.42536623260781,0,0,1.06689370226184,0,0,0.682926287078118,0,1.32397953449779,0,0,0,0,0,0,0
Olfml3,0,0,0,0.983592967651654,0.481112252933495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osr2,0,0,0,0.413024381366882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2ry14,0,0,0,0,1.3014016083876,0,0,0,0,0,0,0,1.2319112414672,0,0,0,0,0,0,0
Pabpc1,0,0.690896135029548,1.14537922582246,1.28089557785826,1.22113413617359,0,0,1.14649738087748,1.06598558365524,1.60859296458473,0.945432724992825,1.14642800373581,1.18754592540842,0.33174930883714,1.0218549977648,0.667391527834608,0,0,0,0
Pamr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcp4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87145971374608,0,0,0,0,0,0
Pdlim1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244400563469477,0,0
Pdlim3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49969877293345,0,0,0,0,0,0
Pf4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
