,unassigned,Muscle_9,Muscle_7,Muscle_2,Muscle_12,Muscle_3,Muscle_5,Muscle_1,Muscle_13,Muscle_4,Muscle_6,Muscle_8,Muscle_11,Muscle_15,Muscle_10,Muscle_14,Muscle_16,Muscle_17
Myl1,0,0,0,0,0,0,0,0,0,0,0,5.0128803599106,0,1.36453700942893,0,0.546489135173093,0,0
Myl2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10643855924228,0,0,0,0
Myl3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46318953768352,0,0,0,0
Myl4,0,0,0,0,0,0,0.176395845132736,0,0,0,0,0,0,0,0,0,0,0
Mylpf,0,0,0,0,0,0,0,0,0,0,0,4.72925401033107,0,0,0,0,0,0
Myoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myot,0,0,0,0,0,0,0,0,0,0,0,1.29165332275797,0,1.46103794378817,0,0,0,0
Myoz1,0,0,0,0,0,0,0,0,0,0,0,1.83630528693424,0,0,0,0,0,0
Myoz2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31616949924124,0,0,0,0
Mzb1,0,0,0,0,0,0,0.78118201749205,0,0,0,0,0,0,0,0,0,0,0
Nbl1,0,0,0,0,0,0,0,0,0,0,0,0,0.829103021493618,0,0,0,0,0
Nfkbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774599031653037
Nfkbiz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ngp,1.10548732964942,0.288689658727152,1.02300308738732,6.34280518426496,0.49041417341782,0,0.605677639528641,0.885811295922032,1.13347063426846,5.12274959436519,1.28667085424101,1.17012682495068,0.914995162762933,0,1.27401151212752,0,1.13142926561179,2.43077573831124
Nid1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nkg7,0,0,1.51159063908337,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19291062323426,0
Npm1,0,2.00049949794666,0.474651110272037,0,0,0,0,0,0,0,0,0,0,0,0,1.38603041203901,1.27973273116865,0
Nr4a1,0,0,0,0,0,0,0,0,0,0,1.00815931267782,0,0,0,0,0,0,0
Nrp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ogn,0,0,0,0,0,0,0,0,0,0,0,0,1.30317603116507,0,0,0,0,0
Osm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pafah1b3,0,0,0,0,0,0,0.88496290327348,0,0,0,0,0,0,0,0,0,0,0
Pcolce,0,0,0,0,0,0,0,0,0,0,0,0,1.69589886074632,0,0,0,0,0
Pcolce2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pdgfrl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pdlim3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pdlim4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pdzk1ip1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pf4,0,0,0,0,1.59675844715848,0,0,0,0,0,0,0,0,0,0,0,0,0
Pgam2,0,0,0,0,0,0,0,0,0,0,0,2.38904609466914,0,1.7890432157354,0,0,0,0
Pglyrp1,0,0,1.00400018016874,1.55793287931677,0,0,0,0,0,1.54400841558204,0,0,0,0,0,0,0,0
Pi16,0,0,0,0,0,0,0,0,0,0,0,0,1.05181484706362,0,0,0,0,0
Pirb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
