,Bone-Marrow_17,Bone-Marrow_1,unassigned,Bone-Marrow_10,Bone-Marrow_6,Bone-Marrow_13,Bone-Marrow_5,Bone-Marrow_4,Bone-Marrow_9,Bone-Marrow_8,Bone-Marrow_2,Bone-Marrow_7,Bone-Marrow_3,Bone-Marrow_11,Bone-Marrow_12,Bone-Marrow_16,Bone-Marrow_15,Bone-Marrow_14,Bone-Marrow_c-kit_8,Bone-Marrow_c-kit_10,Bone-Marrow_c-kit_3,Bone-Marrow_c-kit_16,Bone-Marrow_c-kit_6,Bone-Marrow_c-kit_12,Bone-Marrow_c-kit_5,Bone-Marrow_c-kit_9,Bone-Marrow_c-kit_19,Bone-Marrow_c-kit_11,Bone-Marrow_c-kit_1,Bone-Marrow_c-kit_7,Bone-Marrow_c-kit_17,Bone-Marrow_c-kit_2,Bone-Marrow_c-kit_15,Bone-Marrow_c-kit_18,Bone-Marrow_c-kit_14,Bone-Marrow_c-kit_13,Bone-Marrow_c-kit_4
Rasgrp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retnlg,1.2163364885416,2.041257650814,2.61201561338204,1.93821120612067,2.65434365685184,2.78169400638037,2.09807200020651,1.65394402215508,1.78832665092703,2.07490741634882,4.37692256596335,2.42031753856556,5.71393527985652,3.20176896229574,2.78186459634163,2.32737964854571,2.55944368841405,2.97172370450107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29587701079054,0,0
Rgs1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rgs2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744598117282453,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhd,0,0,0,0,0,0,0,0,0.908342197308372,0,0,0,0,0,0,0,0,0,0,0,0,0.699974411788369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rnase12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rnase6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-338A5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl10,2.35353521739674,0,0,1.24947909522414,0,1.74687190497627,2.20025002550182,2.17174175139167,2.25551487512408,2.38337206584077,0,1.77739408830178,0,1.45938835441681,1.762895250626,0.733908947881349,2.34342332171548,1.97699890902126,1.07657241111246,2.42386676531197,2.14578769643433,2.39590263936835,1.37782836660361,2.36796294352006,2.53291057606146,2.4004235506039,2.10848540973211,2.13268792035807,2.41223606001313,2.49171514725655,1.69102249230044,1.77456611320135,2.21034159164155,2.23900912217711,1.23820772131029,2.14264263051871,0
Rpl11,2.14341237646338,0,0,1.15144606039268,0,1.84893940319729,1.94108850385721,2.14264031902145,2.4548118420017,2.47864580276381,0,1.9225623675607,0,1.3681837512925,1.60138600811085,0.708428453186098,1.69851076109949,1.68033044974451,1.10485837958425,2.68493746971227,2.41642025644457,2.65306722192857,1.39423195910346,2.13146952045018,2.53851619153823,2.60011107204581,1.82054835623031,2.54169039639405,1.83868532164902,2.45197026818712,1.69674705506871,1.7892811614153,2.02691444025958,2.24776551803064,1.04715285652538,2.24855060630952,1.11440723546385
Rpl12,1.44309289294165,0,0,0,0,0.607500629591562,0.883303211343151,1.18370248043987,1.47641562853481,1.56205000558308,0,0.265627422150415,0,0,0,0,0,0,0,1.88971065164953,1.54801270838947,1.77846891416433,0.597368094321727,1.30840743193835,1.62613123590867,1.66537394864097,0.572148802177953,1.64720782317464,1.06705816497496,1.67520040263376,0.992508583231963,0,1.03010952119707,1.8248859814549,0,1.3416274784536,0
Rpl14,2.41585591048404,0,0,1.27912316248663,0,1.75368181456589,1.89807672449022,2.21206034394386,2.73502278377332,2.59340237541639,0,1.82705115729953,0,1.51409591137067,1.52477156868752,0.875137212454602,1.83275602069136,1.67369817442877,0.969794565200366,2.88892843983745,2.29866537165831,2.7526978893289,1.38361299556567,2.2943891080195,2.53775185029778,2.61821635846734,1.85307743178027,2.65027371208736,2.23325558241994,2.44682017631468,1.6620350855766,2.21582123501515,2.02521766790584,2.42000516468196,1.18526749007985,2.14155363349619,0.938439796175122
Rpl15,1.34611364203432,0,0,0,0,0,1.14049860441721,1.21358702625462,1.45664350823943,1.52949402521689,0,1.16487876392989,0,0,0,0,1.04591343916476,0,0,1.40992630987194,0.922367976680366,1.46268976126011,0.616488667950611,0.932937160509534,1.32909162318847,1.40653124673697,0.520779023097747,1.45088519128953,0,1.36447210204562,0,0,1.00065256324989,0.959607572150184,0,1.24193514362962,0
Rpl17,1.60967145377728,0,0,0,0,1.08665627160494,1.32403155329589,1.48144281458157,1.76801032776513,1.69972797676755,0,1.30069341431413,0,0,1.04312362275988,0,1.28241959459249,0,0.702743504850933,2.10778741470953,1.70039265041061,1.99679776473193,0.986037598380681,1.63432752411866,1.84396715152653,1.93775187019055,1.20886989188081,1.92982721738809,1.46183771041957,1.83868532164902,1.12172446596493,0,1.59393793557598,1.84774294859142,0,1.55103709932925,0
Rpl18,1.92922275135687,0,0,1.06019197374892,0,1.5706086078207,1.69887424573362,1.87803375617968,2.0997300912209,2.12848991133788,0,1.68199949056101,0,1.03069372533345,1.45330369644773,0.82556416188083,1.60148462792771,1.3132216236331,0.881608435905928,2.34291862793581,1.92340530995389,2.28688092598856,1.13618065655023,1.81657263818543,2.14022616752812,2.12851060498666,1.84072582589553,2.18417696587946,1.63352463146161,2.08247188502255,1.33936120070369,1.60891112338622,1.75827500476172,2.03416360852233,0,1.88743096807401,0
Rpl19,1.77159525363208,0,0,0.688435251954373,0,1.35347935101381,1.41333909658103,1.37621102086047,1.6085454366455,1.53561291270167,0,1.56989050614196,0,0,1.23306328812436,0,0,0.894049735142716,0.609646785416393,1.80671851263223,1.51409591137067,1.85754936707277,0.941331539366579,1.54127012214212,1.77247381617599,1.71339497356965,1.45694787725671,1.73093478404535,1.35659088005511,1.6622303313443,0.963661913192694,1.43478560603293,1.57060717018663,1.43265134645787,0,1.53220727264325,0
Rpl22,1.11369800440739,0,0,0,0,0,0.671060876612229,0.783157600421311,1.30934955266421,1.12976777478939,0,0,0,0,0,0,0,0,0,1.87777103654933,1.5931973163295,1.76992898381709,0.561507296532235,1.26322313554658,1.60739987469379,1.61031723959586,1.07020998865119,1.59430852924073,0,1.54940400361122,0.947861843789444,0,1.36606015834882,1.42664602503057,0,1.29854866801893,0
Rpl23,1.86319664582236,0,0,1.03657398365214,0,1.53266015547758,1.54109702407664,1.62400470067427,1.99820231554477,1.80281051762243,0,1.52544717253889,0,0.707020502730687,1.2912167167926,0,1.30403798979189,1.15737566750242,0.897107287229327,2.38075576358409,2.01834322349829,2.24632243841127,1.18919905846142,2.00640967213598,2.13268810186884,2.28406320685206,1.74276699662406,2.3046844774262,1.7892811614153,2.12582854570268,1.54316766314408,1.68618224407829,1.82855907541467,1.94432697320415,0.941820108927276,1.85342504522726,0
Rpl23a,1.74619049304466,0,0,0.850634177388145,0,1.40774029354909,1.43419646826151,1.43626304020845,1.69802194469677,1.63823260686041,0,1.53834962622933,0,0,1.28096798576209,0,1.12932639374545,0,0.688945142764678,2.11526074580962,1.807698498068,1.90910316097158,1.07721300825104,1.76276287688654,1.93362780217485,2.00087571278765,1.65414501245224,1.97579726483657,1.33604346595918,1.97339901521884,0.957069689760355,0,1.70101036573841,1.71395395837326,0,1.62697099718424,0
Rpl24,0.386765591655785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl26,2.05697784763755,0,0,1.06894692631143,0,1.64934232958815,1.80476213060407,1.93267607092622,2.38303351440795,2.2111224251644,0,1.80769909782336,0,1.32800977728415,1.59542144829238,0.357454735658255,1.55329820249553,1.61957820841734,0.920977500903611,2.57874958260608,2.25551478620054,2.50655956613364,1.23776800588262,2.08914621403572,2.36004143940828,2.45980271970775,1.83259440313256,2.43800647591493,1.73022344574508,2.27825615207267,1.71963913539964,1.64376373048826,2.13728983737728,2.03480722643956,0.983914797127241,1.97100745774535,0
Rpl27,1.24851978825081,0,0,0,0,0,0,0.976799450445712,1.13189881201892,1.09680910297209,0,0,0,0,0,0,0,0,0.567636888594732,1.95445133721239,1.6622303313443,1.85443400424741,0.844009646431252,1.42360572120043,1.65484933134658,1.68283309113765,1.2187580436783,1.71613246690027,0,1.74276699662406,0.884188784842896,0,1.34213736946152,1.35920903280122,0,1.39010495575069,0
Rpl27a,1.27979462796685,0,0,0,0,1.01065031082423,1.00065256324989,1.04284422808863,1.34392854866431,1.37728872193169,0,1.09815272840737,0,0,0,0,0,0,0,1.76959646802422,1.33201365996776,1.72679193938021,0.6703361877686,1.3335236147521,1.6244552744657,1.65656188308618,1.37459729849073,1.52477156868752,0,1.54968259113927,0.8199866619709,0,1.33050918036945,1.37091281434955,0,1.27499291957933,0
Rpl28,1.4274090324305,0,0,0,0,0.320196367312937,1.29878085944235,1.33218485371847,1.49677717608487,1.48429020238685,0,1.32907345054838,0,0,0,0,1.02095250480899,0,0.826604868601793,1.92227710335203,1.76042773661503,1.87059876103435,1.01856861544205,1.64138964257315,1.86719998686094,1.80892520453908,1.25299437724608,1.83775951129698,1.60891112338622,1.83887061042779,1.09914419258722,1.58803409059498,1.39423195910346,1.6729076481574,0,1.64880375343229,0
Rpl3,2.04979416139398,0,0,1.08107340296198,0,1.58729986074874,1.7482053339356,1.8746194542009,2.23456734607228,2.21896699560823,0,1.7005845783097,0,1.20723834307058,1.2912167167926,0,1.28241959459249,1.41906686502352,0.682876782751233,2.33574164916375,1.94051226105318,2.23618302738634,1.01346257404982,1.81459455240975,2.15281625905336,2.31909682550367,1.62729361356887,2.21346886541117,1.57060717018663,2.04060832770787,0.96181017363141,1.75919688109656,1.62497048625877,1.78641224779109,0,1.73356353400985,0
Rpl30,1.69443632718993,0,0,0.93127616285275,0,1.63587861916101,1.51808012696194,1.58717713665469,1.81855804391346,1.75368181456589,0,1.56917527506585,0,0.964163516626526,1.29688097607717,0,1.28302456524367,1.46676326775195,0.756905864820199,2.06712734466192,1.82956602274453,2.00788902765069,1.02739233463028,1.81843382209651,1.971953968099,2.05763156559706,1.64933547605639,2.01410096058896,1.63823260686041,1.99850945077896,1.44309794777252,1.44308514038521,1.80476213060407,1.79217556024111,0,1.75185205570652,0
Rpl31,1.66525565593188,0,0,1.00230430527632,0,1.17594238855809,1.39756328084139,1.55851774271284,1.87729158784154,1.64297068019849,0,1.47297224135931,0,0.836730180453049,0,0,1.284709793713,1.62574404825616,0.853393128357028,2.20956141316373,1.93134539679017,2.18418476870124,1.19488279224524,1.79779354716017,2.01301377887066,2.0449322928001,1.6836685313775,2.01092682454109,1.70401100209387,1.99522799915025,1.4277739643326,1.65093521204044,1.60891112338622,2.0223814282661,0.857567459609513,1.6512033634247,0
Rpl32,2.96728893030666,1.25564465791519,1.73378668479939,1.91553951132325,1.31762275028451,2.61397394324161,2.73651909855601,2.79755523301212,3.01042523061283,3.06359333194033,1.27682945886231,2.67551032113818,1.36606015834882,2.02648993823513,2.15799640192702,1.45827768182822,2.16994993978708,1.97579726483657,1.72402697266773,3.38398061185277,3.18781081508937,3.26606629173876,2.20110827694029,3.08891844430071,3.33440622254387,3.44560280456656,2.99826087611869,3.40976448242233,3.20176896229574,3.27517401530784,2.3626452621141,2.93306523985308,2.87509003803112,3.132662365382,1.75185419109637,3.0150846538811,1.62962449596814
Rpl34,1.8265538406959,0,0,0.966203307266913,0,1.34345977861395,1.41676975563763,1.52781362884451,1.77834088054654,1.6825542015874,0,1.4955908420686,0,0.851420574536378,1.30068669016585,1.1148105148494,1.12128185122094,1.30933732660783,0.924228711098676,2.16144427883681,1.8891194151087,2.12725694255821,1.15999014443698,1.79795751419238,2.03802437959239,2.04449951410849,1.73557446281836,2.05680042345543,1.69887424573362,2.08410123236516,1.48938661039693,1.26411791153061,1.80476213060407,1.85671696931155,0.865038023792634,1.72823547601643,0
Rpl35,1.51454274693054,0,0,0.787827037960131,0,1.22670866929053,1.34111758744567,1.28166236685769,1.6937737177494,1.5466241441477,0,1.29192738552579,0,0.966203307266913,0.968252069294517,0,0.438073207470003,0,0.716287830923487,2.00192126924256,1.45088519128953,1.93024303071466,0.993289216839401,1.57147136984306,1.76388885135202,1.84174864526801,1.2187580436783,1.80281051762243,1.74457556460208,1.84592867659974,0.957111430438585,1.58803409059498,1.40992630987194,1.56598501367509,0,1.56347051096259,0
Rpl35a,1.43185754146274,0,0,0,0,1.10633779968331,1.22966541671071,1.23627577792012,1.37972533432258,1.42717048125768,0,1.2154430202092,0,0,0,0,0,0,0.792893909324983,1.75139528394283,1.55359436248988,1.74427390334974,1.01856861544205,1.4345254039519,1.75173784609092,1.6878623829756,1.52208728207128,1.6853431045012,1.43067415314106,1.76940955107401,1.03155007905283,0,1.48429020238685,1.57348390857388,0,1.482240585815,0
Rpl36,1.68600754125107,0,0,0,0,1.62577007467088,1.39091768921733,1.48556074358774,1.88547181440177,1.79698410154798,0,1.58072150233046,0,0.804279733924012,1.30355665244379,0.357454735658255,1.23350207406943,1.2187580436783,0.866651736934622,2.4819635577988,1.947453179821,2.37288929193603,1.09814210458381,1.79713106282097,2.22574607329292,2.38063135214553,1.73557446281836,2.32150786755036,1.76475098349585,2.16659093060895,1.43390542287582,1.71091408945634,1.73022344574508,1.9236046346413,0.856990651568336,1.80534875845314,0
Rpl36a,1.53782139213167,0,0,0,0,0.810687609068246,1.15812139360748,1.37674953140073,1.64020323331766,1.59616434428779,0,1.21606346740823,0,0,0,0,0,0,0.479414337520438,2.12611331801402,1.8543229392049,2.13904171381977,0.972376753677834,1.64455847628335,1.987890003588,2.10444473323214,1.58766669568142,1.9996917700758,1.61042550591028,2.03750850136052,1.07657599499271,0,1.31713062007898,1.78864362663729,0,1.67577823621685,0
Rpl36al,1.41884983452338,0,0,0,0,0,0.768524646382178,1.05112913320555,0.869526111362207,0.762199276352704,0,0,0,0,0,0,0,0,0,1.39202055982568,1.24511432695177,1.28328842396109,0.592633495000822,1.02047786137069,1.32900833218093,1.11269040089092,0,1.06392568246117,0,1.41676975563763,0,0,0.759076369900229,1.21732524340492,0,0.908543312762243,0
Rpl37,1.87478598716948,0,0,1.02430520717964,0,1.75689435364384,1.61651458698625,1.78450499648715,2.06917886313907,1.92340530995389,0,1.70143878717602,0,1.33000849483997,1.59989027141686,1.11077040878114,1.4413497431163,1.53972198539586,1.15551576892096,2.60967057706654,2.24382799968832,2.55260164103031,1.44090116291139,2.21060194228846,2.44356012154876,2.53536775581086,2.0866417021669,2.44058109549599,2.28928276529812,2.428753559389,1.60101650022136,1.77881060778473,2.13240107404284,2.27725799527918,1.27362873481133,2.00294794898392,1.0561787286837
Rpl37a,1.9510950864427,0,0,1.13332106512959,0,1.67702341171003,1.5101344238153,1.72889157223835,1.84098128964083,1.75276640026076,0,1.54282980777481,0,1.21626998523351,1.44967920430553,0.34181468299089,1.54876580082725,1.50488743474687,1.14777241598548,2.60266714544702,2.41031086153122,2.53219389652756,1.60138600811085,2.32151071668073,2.35437445394406,2.43346768799703,2.10848540973211,2.46263705660891,1.84482225935232,2.50720157383469,1.71421654230048,1.72844795375143,2.1511394161662,2.35684695817825,1.19894924223233,2.06078498883996,1.0978086421299
Rpl38,1.78279627657596,0,0,0,0,1.18488443197499,1.0994785057863,1.26726827104498,1.56965384949234,1.45573095208111,0,1.27508528482706,0,0,0,0,1.16374998738895,0,0.936994701775541,2.41900398802185,2.08755076781693,2.27609169947462,1.27111811011595,2.12753852519511,2.21831076200806,2.21229498788926,1.65253838680807,2.32826164812795,1.78545747664793,2.28959146311041,1.57564688639423,1.51079341554294,1.75827500476172,2.22875035366875,0.822048114315241,1.82455371582249,0
Rpl39,1.50041359135451,0,0,0,0,1.1220487332113,1.37567251032022,1.37513490440548,1.65535757043209,1.64933547605639,0,1.52075413101399,0,0,0,0,1.25992430620117,0,0.769802637771882,2.35849176650918,2.18341851341172,2.23967676818356,1.15292245843228,2.18129860698293,2.29538520143025,2.3676117169125,1.73557446281836,2.36153678404663,1.71438906802077,2.31683739872456,1.50201926425652,0,1.85515433291078,2.26168117369629,0.250515871054381,2.00947454844144,0
