,Liver_15,Liver_16,unassigned,Liver_6,Liver_1,Liver_2,Liver_19,Liver_9,Liver_7,Liver_3,Liver_5,Liver_14,Liver_10,Liver_4,Liver_13,Liver_17,Liver_12,Liver_8,Liver_20,Liver_11,Liver_18
Hnrnph1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hpd,0,1.11789351070751,0,0,0,0,0,2.01279228543303,0,0,0,0,0,0,0,0,0,1.66103581141342,0,0,0
Hpgd,0,0,0,0,0,0.836213506413819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hsp90aa1,0,0,0,0,1.13733687920424,0,0.522192142382414,0,0,0,0,0.292430250867115,0.743064993821357,0,0.909420552317295,0.804132383020872,0,0,0,1.3969718571325,0
Hsp90ab1,0.610872670111965,0.622182182395947,1.04540029499871,0.681723495786055,1.16149981297035,0.807757297098072,0.7080613740771,1.05448552778497,0,1.00747212823716,1.25204157959699,0.797841635245641,1.02685496483297,0.949676805562799,0.918726047870884,1.15076350421613,1.29713404328079,0.707255446218535,0,1.3969718571325,0
Hsp90b1,1.53442020654395,0.15995485232088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720992431506187,0,0,0,0,0
Hspa1a,0.405866996240706,0.151402645589002,1.6199536682023,1.44171333297781,2.40575529741566,1.19326508156164,0,0.734879257782102,0.924224970732041,1.02253177774914,1.10452422597021,1.4143996604102,1.45408060462683,1.66444190231886,1.21406246894473,0,1.44528379710664,0,0.447937493271083,1.10250777480547,1.30457445264881
Hspa1b,0.871727191557892,0,1.7618509380077,1.74259348653901,2.68835651180076,1.22881969746774,0,0.733142492212913,1.02858050914685,1.09800098750816,1.20285400898222,1.4259000256416,1.85979032127484,1.91209976756737,1.34969233775231,0,1.83678752447251,0,0,0,2.1109709568272
Hspa5,1.21878919195197,0.410096442515634,0.88426682894343,0.900572725854566,1.18559189105459,1.0384747883392,0,0,0.768598276523457,1.00651453653286,0.827237833559468,0.840313104506638,1.16686867318882,0,0.900958487870692,0,0.705649190963256,0,0,0,0.399953759013002
Hspb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33921910384702,0,0,0,0.77051138843201,0
Hspe1,0,0.626174257749254,0,0,0,0,0.522192142382414,0.833386099851283,0,0,0,0,0,0,0,0.986520321312056,0,1.23262640166381,0,1.04810866568729,0
Hsph1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Icam1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Id1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Id2,0.500726748045969,0.622182182395947,1.40534215506016,1.24625825712155,1.1219816866285,2.24074755875251,0,0.91185104115253,1.32768101381555,1.31040250951192,1.14545354987415,0.825869531855068,1.16686867318882,1.41896202678299,1.05453879221287,0,1.05356959172161,0,0,1.34201166251957,1.39831776246492
Id3,0,0.151402645589002,1.35356169591117,1.16262834166181,1.30427032499155,2.02158336234757,0,0.512380163671347,0.72585381470197,0,0.761978269755482,0.760847206873552,1.16324029706284,1.33669357102469,0.851825161419507,0.683414402237421,1.00812322616192,0,0,0,1.25094873396807
Ier2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981337152636445,0
Ier3,0,0,0.947103131365959,1.1213647295662,1.41041644578326,0.956363222619927,0.719961538536003,0,0.584587121459295,0,0,1.05076340582047,0,1.02858050914685,0,0.244702890446772,0,0,0.869196136828735,0,1.2787489624858
Ier5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifi204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifi207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifi27l2a,0,0,0,0,0,0,0,0,0.734009825577802,0,0,0,0,0,0,0.98146588608653,0,0,0.869196136828735,0,0
Ifi30,0,0,0,0,0,0.842787605341828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifit1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifit3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifitm2,0,0.502413403529328,1.09352839689378,1.15370703370274,1.28867962796584,0.665279709940712,0,0.6377116096517,0.845968879197056,0.736662653668718,0,1.00524048205147,0.768725918889853,1.31149093131119,0.768023081491254,1.13042234136402,0.941274340098456,0,0.447937493271083,0,1.23405696432693
Ifngr1,0,0,0,0,0,0,0,0,0,0,0,0,0.911361195648875,0,0,0,0,0,0,0,0
Ifrd1,0,0.406574539494705,0.996983594172358,1.13385676871048,1.01952519299971,1.11963801206925,1.1677073636712,0,1.09551054848852,0.793491191952862,0.573334457059768,0,0.751133037063726,1.13679978098058,0,0,0.647646939334212,0,0,0,0
Igf1,0,0.951017029772154,0,0,0,0.501019747096789,0,0.392954036791938,0,0,0,0,0,0,0,0,0,1.23008582714943,0,0,0
Igfbp4,0,0.793976954405646,0,0,0.754095992705329,0,0,0.387635481675875,0,0,0,0,0,0,0,0,0,0,0,0,0
Igfbp7,0.547271600383825,0.157914503360783,1.48903882511067,1.50076844487167,2.78826607497494,0.652394868086774,0.344251358552082,0.691136537291028,0.89849742056571,0.677035788757884,0.798357405799091,1.43030991107863,1.33825442953661,1.60961542827831,1.20105162249893,2.00739985660512,1.29855462884608,0,0.73932497141425,1.27850451700063,2.00712143925961
Igha,5.8612428625441,0,0.443473532039493,0.837413909139309,0,0,0,0,0,0,0,0.860716785738621,0,1.40872063080598,0,0.392214921692342,1.04540029499871,0,0.793811652330534,0,0
Ighg2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ighm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93947506090398,0,1.35511782932283,0,0,0,0
Igkc,6.56556963363659,0.309317148949786,1.34737528570446,1.40706418856939,1.2513872473308,0.69676025360227,0.719961538536003,0.831139530870516,1.16431137464902,0.964670067826556,1.02858050914685,1.31426556211827,1.24880478828637,2.09115947431324,1.19985551913448,1.34151631980563,2.46803259762717,0.866813314683873,0.894247029549706,1.07602120507518,1.38041841182631
Iigp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il18bp,0,0,0,0,0,0.552719270835921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il1a,0,0,0,0,1.0485616895897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il1b,0,0,0,0,0,0.870185562975986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il1r2,0,0,0,0.867799786224015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il1rn,0,0,0,0.881202204233691,0,0,1.19564690401113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il6st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irf8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19594608643299,0,0,0,0,0,0
Irgm1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isg15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isy1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jak1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jchain,4.58529853945731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun,0,0,1.04450074713084,1.06143414790281,1.46128530758131,0.777286017306728,0,0,0,0,0,0.845397083127069,1.11784732111435,1.17456238981556,0.601226557188948,0,0,0,0,0.821728799314582,1.2209730077282
Junb,0,0,1.16998298158884,1.12726434944551,1.45702185354368,1.0869755380299,0,0,0.907130886725062,0.641829026824039,1.13465777091749,0.70356840571246,1.22683230243247,1.10756344556952,0.84859186105554,0,0.78617472856159,0,0,0,1.34934190745488
Jund,0.79784206976094,0,1.02858050914685,0.891000374949578,1.28658474262601,0.979761169414604,0,0,0.649333511682457,0.496073388695602,0.59290286737014,0.999616341214086,1.1277567724538,1.10858042026306,1.13341747903127,0,1.03032440646578,0,0,0,0.592502826334842
Kdr,0,0,0,0,1.12302665808626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klf2,0,0,0.998208677293661,0.883063826904736,1.24290098930667,0.802244382796403,0,0,0,0,0.578905380964474,0,1.082286283001,1.12093875480685,0.664787613985715,0,1.0472042497217,0,0,0,0
Klf6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamp1,0,0.183974507479795,0,0,0,1.02879935988472,0.848883300478413,0,0.953750558906579,0,0,0,0,0,0,0,0,0,0.445338608454745,0,0
Lamp2,0,0.157914503360783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laptm4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36615080844449,0,0,0,0,0
Laptm5,0,0,0,0.670044948917618,0,0.797071108041832,0,0,0.874205718951144,0.867585369145763,0.827237833559468,0,0.218274380713794,0,1.03018100129473,0,0,0,0.447937493271083,0,0
Lcp1,0,0,0,0,0,0,0,0,0,0.673920125077917,0,0,0,0,0,0,0,0,0.927692397028447,0,0
Ldha,0,0.775290781236361,0,0,0,0,0,0.91185104115253,0,0,0,0,0,0,0,0,0,1.14654502677564,1.28036713687113,0,0
Lgals1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1867729623894,0,0,0,0,0,0
Lgals3,0,0,0.679066726734633,0.647847605974592,0,0.906126110704753,1.68420661609618,0,1.84391306577558,1.41596970328341,0,0,0,0,0,0,0,0,0.894247029549706,0,0
Lgals9,0,0.41714700371359,0,0,0,0,0,0.746826016831582,0,0,0,0,0,0,0,0,0,1.28172344494217,0,0,0
Lgmn,0,0,1.01484757929879,0.326195980041017,0.787429959117736,1.55896845244114,0,0,0.924224970732041,0,0,0,0,1.09352839689378,0,0,0.831139530870516,0,0,0,0
Lilr4b,0,0,0,1.20348480397818,0,0,0,0,0.71171135772307,0,0,0,0,0,0,0,0,0,1.43835297190632,0,0
Lilrb4a,0,0,0,0.974683212813234,0,0.743023015764345,0,0,0.751352145149184,0,0,0,0,0,0,0,0,0,1.15914331501146,0,0
