,unassigned,Bladder_9,Bladder_4,Bladder_1,Bladder_12,Bladder_3,Bladder_5,Bladder_2,Bladder_7,Bladder_8,Bladder_13,Bladder_6,Bladder_11,Bladder_14,Bladder_10,Bladder_15,Bladder_16
Dynll1,0,0.300522140182754,0,1.10178771440665,0,0,1.43580550722158,1.21315401846197,1.65407293823123,0.973455453076974,0,0,0,1.42883453698051,0,0,1.22586331513017
Ecm1,0,0.301819443590276,0,1.84020668734361,0,0,1.75549549057072,2.32747653777677,0,0,0,0,0,0,0,0,1.22586331513017
Eef1b2,1.55992331409851,2.26165287699051,2.15312220763052,1.18440186547191,1.44279551735642,1.94635018296927,1.08054067296928,1.5466265583965,0,1.79193922612616,1.31305193202918,2.1986844839136,0,1.25633215149371,1.41187738146897,1.69796400664446,0
Efemp1,0,0,0,0,0,0,1.04198698217817,1.78852956177537,0,0,0,0,0,0,0,0,0
Egfl7,0,0,0,0,0,0,0,0,0,1.81521161801416,0,0,0,2.42239972389805,0,0,0
Egr1,0,0,0,1.18532173073456,0,0,1.67320752732028,1.65501815248042,1.8807732078045,1.00924403851528,0,0,0,0,0,0,2.33094163320402
Ehd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eln,0,0,0,1.56269612795914,0,0,0,0,2.20344811280931,0,0,0,0,0,0,0,0
Emcn,0,0,0,0,0,0,0,0,0,1.59993407202202,0,0,0,1.46377169460231,0,0,0
Emilin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emp1,0,0,0,1.17393067087569,0,0,0,0,0,0,0,0,0,0,0,0,0
Emp3,0,0,0,1.23432695867634,0,0,1.26260338861709,1.33458838035016,0,1.13057614897721,1.14408226240605,0,0.927758114653604,0,0,0,1.01088757703281
Eng,0,0,0,0,0,0,0,0,0,1.35764417791264,0,0,0,1.25633215149371,0,0,0
Enpp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entpd2,0,0,0,1.14237610964517,0,0,0,0,0,0,0,0,0,0,0,0,0
Esam,0,0,0,0,0,0,0,0,0,1.99428809674429,0,0,0,2.25234759141668,0,0,0
Fabp4,0,0.719857188458579,0.457813869066701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabp5,0,1.28192090586136,1.00967070743077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fbln1,0.551719881084837,0.353816549440823,0.434522258306934,3.80214499668752,0,0,1.82068684088144,3.86626219449049,0,0,0,0,0,0,0,0,0
Fbln2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fbln5,0,0,0,1.26839655370482,0,0,1.19953910332439,1.30115539385928,0,0,0,0,0,0,0,0,0
Fbn1,0,0,0,0.642629238079234,0,0,0,0,0,0,0,0,0,0,0,0,0
Fcer1g,0,0,0,0,1.9980917082869,0,0,0,0,0,2.55316080206295,0,2.90812314421208,0,0,0.611944854058273,0
Fcgrt,0,0,0,0.595220455504675,0,0,0,0,0,0,0,0,1.1571622096198,0,0,0,0
Fgfr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fgl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fhl1,0,0,0,0,0,0,0.890236226820851,0,1.59334694379302,0,0,0,0,0,0,0,0
Fkbp10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fkbp7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fkbp9,0,0,0,0.795552588249278,0,0,0,0,0,0,0,0,0,0,0,0,0
Flna,0,0,0,0,0,0,0,0,1.92476104728472,0,0,0,0,0,0,0,1.79700914951126
Fmo2,0,0,0,1.06631590629114,0,0,0,0,0,0,0,0,0,0,0,0,0
Fmo5,0,2.87325999224798,2.7236237598359,0,0,1.13792779861256,0,0,0,0,0,2.32059236022766,0,0,2.73228596717065,0,0
Fn1,0,0,0,1.18119416917557,0,0,1.42959520329806,0,0,0,0,0,0,0,0,0,0
Fos,1.79473908656753,0.75799575448677,0.777544931069373,1.97445640252351,1.99772218017355,3.52401209447173,2.24896744592259,2.41123340164169,4.29039238202611,3.48045296540137,3.05515008576047,0,2.09015710877683,1.84606995099508,0,1.9294246941384,4.43014897483079
Fosb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44207188670626
Foxq1,0,1.10545157400614,0.898361545256163,0,0,1.68418839165094,0,0,0,0,0,0,0,0,0.994883600091055,0,0
Fstl1,0,0,0,1.84622530254577,0,0,2.04246497732009,1.58642196424474,0,0,0,0,0,0,0,0,0
Fstl3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
