,unassigned,Fetal_Kidney_1,Fetal_Kidney_7,Kidney_1,Kidney_8,Kidney_6,Kidney_20,Kidney_4,Kidney_3,Kidney_10,Kidney_2,Kidney_11,Kidney_7,Kidney_23,Kidney_17,Kidney_9,Kidney_5,Kidney_26,Kidney_21,Kidney_18,Kidney_14,Kidney_12,Kidney_16,Kidney_22,Kidney_13,Kidney_24,Kidney_19,Kidney_28,Kidney_25,Fetal_Kidney_2,Kidney_15,Fetal_Kidney_5,Kidney_27,Kidney_29,Fetal_Kidney_3
Hmox1,0,0,0,0,0,0,1.35644069716869,1.07981686485897,0,0,0,0,0,1.15650676213488,0,0,0,0,2.87127149084354,0,0,0,0,0,2.11663658902565,0,0,0,2.6120790016056,1.16108355651821,0,0,0,0,0
Hpd,0,0.2735281017448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764482633670386
Hsd11b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5628786879178,0,0,0,1.68169642275949,0,0,0,0,0,0,0,0,0,0
Hsp25-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hsp90aa1,0,0,0,0,0,0,0,2.32784167167173,0,1.49330020207664,0,0,0.746253518617757,0.825624651391614,0.793635635056379,0,0.977379071867796,1.10532940858543,1.52030596226578,1.36971190088194,0,1.40571616813573,1.24006869963561,0,0.317093265121645,1.0338824719828,0.69026445351609,1.5927453787537,1.16520103781279,1.0169847692034,2.79076952093015,0.782391548273937,1.72945709624787,0,1.05876114880559
Hsp90ab1,0.584826425666309,1.58516168526189,0,0,0,0,0,1.58516168526189,0,1.21400513851021,0,0,0.987584622960104,1.29593782803077,0.389670996703522,0.495580569576216,1.21987732628228,0.592222874063664,0.806574652703444,0.789016292966053,1.0848203020991,1.21400513851021,1.17601636862128,0.861417446387458,1.04386319655355,1.31581769034385,1.3988295183616,1.38875524802889,0.971332679980814,0,1.66059302813973,0.782391548273937,1.51175294328977,1.23124997591432,0.708349673845115
Hspa1a,0,2.21121316834508,0,0,0,0,0,1.15268633275568,0,2.37487630684864,0,0,0,0.684286748100645,1.17304578914396,0,1.32880549094738,0,0,0.629024051810693,0,2.41719752915582,0.752103141185694,0,0,2.44116224083053,1.10544569542902,2.20160204726312,0.859862409551727,0,3.15272164941899,0,1.04687619253495,0,1.05876114880559
Hspa1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2535511188571,0,0.347578326191202,0,0,0,0,0
Hspa5,0,0,0,0,0,0,0,0.527720846291567,0,0,0,0,0,0,0,0,0,0,1.14606410912104,0.915387513514548,1.34943336928824,0,0,0.896029809261218,1.19829664353732,0,0,1.05590205364582,0,0,0,0,1.1097049214856,0,0.764482633670386
Hspa8,1.4093567720209,1.58516168526189,1.36970598548404,1.46811431846416,1.07898764942617,1.32401992309137,1.9970604205573,2.96853640901835,0.909761531212451,2.06631661535668,1.05433318130626,1.2535511188571,1.39634474975278,1.78884524447478,1.42114466591705,1.03231135177177,1.5104791573562,1.5994468924047,2.44656947948933,1.42653016631373,1.40789809331274,1.95829666864314,1.54127096526083,1.91978231108099,1.01633440767949,2.68761317650717,2.05961195228008,2.64797576805568,2.27578291003202,1.549876977844,2.79795517261811,0,2.2288219382371,1.3272207083791,2.07582516650247
Hspb1,0.183791541323891,0,0,0,0,0,0.528363832260364,0.719421531437324,0,1.49164694419823,0.473616527739631,0,0.912092533250475,2.67038775631659,2.12225911553179,0,1.72219119107902,0.773961833464669,1.42862086439943,1.64468346250002,0,3.33106156138953,1.54127096526083,1.01450616300202,0.831387270343597,1.05981017341842,1.14705732551825,2.74863528268215,1.42412498393378,0.347578326191202,4.54140135124583,1.02705124990406,1.57022964881672,1.12125323446839,0
Hspd1,0,0,0,0,0,0,0,0.831135096929783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.782391548273937,0,0,0
Hspe1,0.93548420853018,1.29943318807911,0,1.33741233637265,1.35009875486582,0.925739094486699,0,1.98523754105686,0,1.17009099046927,0,1.00085718809742,0,0.94251648567012,1.06482325143015,0.797162316777596,1.07491234422321,1.49495745141177,1.02555860566747,0,0,1.00943275450078,1.32210736221149,0,0,1.2876877130187,1.01311680534576,0,0,0.347578326191202,1.42263313955914,1.07486147434639,1.0890270636492,0,0.764482633670386
Hsph1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792580842630944,0,0.782391548273937,0,0,0
Iah1,0,0.875812240080924,0,0.918871465201684,1.01087690411886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,1.02705124990406,0,0,0.708349673845115
Icam1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,1.11058438782208,0,0
Id1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Id2,0,0.701576287497586,0,0,0,0,0,0.878913255906626,0,0,0,0,0,0,1.04223065928357,0,0.99275860928524,0,0,0,1.20662018608013,0,1.11058438782208,1.18704567495971,0,1.14642149825774,0,0,0.695491541034202,1.35811597192876,0,1.02705124990406,0,1.30330139293421,0.764482633670386
Id3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25411964750165,0,0,0,0,0,0,0,0.808849394489762,0,0,0,0,1.2535511188571,0,1.14015916882215,0,0.782391548273937,0,0,0
Idh1,0,0,1.36970598548404,0.860910039152516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Ier2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593191096326292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708349673845115
Ier3,0,0,0,0,0,0,0,0,0.865068485722992,0,0,0,0,0,0,0.685585832838234,0,0,0,1.56634924862065,2.05438553649339,0,0,0,1.20719878366804,0,0,0,1.19829570246213,0,1.75621836032609,0.782391548273937,1.79007986533201,0,0.764482633670386
Ifi27,0,0,1.36970598548404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665079036619075,0,0,0,0,0,0,0,0,0,0,0,0
Ifi27l2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifi30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30330139293421,0,0,0,0,0,0,0,0,0,0,0
Ifitm2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifitm3,0,1.58516168526189,0,0,0,0,2.58398056973308,0,0,0,0,0,0,0,0,0,0,0,2.0801516500549,0,0,1.51345514548371,0,1.72489564139727,0,0,0,2.02170491184482,0,0.792580842630944,2.59508116028833,0,1.04687619253495,1.06832778822024,0.708349673845115
Ifrd1,0,0,0,0,0,0,1.24489820697543,0,0,0,0,0,0,0.878913255906626,0,0,0,0,1.64610612568884,1.8747115952476,1.2323450385599,0,0,1.26502678373694,1.91083656426511,0,0,1.30206793758762,2.31465274737079,0,0,0,1.89552108033798,1.23124997591432,0
Igfbp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23454137090883,0,0.347578326191202,0,0,0,0,0
Igfbp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igfbp6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50162667600741,0,0,0,0,0,0,0,0,1.2535511188571,0,0,0,0,0,0,0
Igfbp7,1.44768892504423,0,0,0.774174967576821,2.30979976240387,2.43845246331085,0,1.81645794916192,2.67760817017447,0,1.85436721529232,2.2989143939175,0.632248773450681,1.49054698210518,2.25236030007485,2.19130118989763,0,0,1.28187066848236,2.66850178574644,1.91978231108099,1.11767312486923,3.80602811643822,0,1.59592997905947,0,0,2.83213404983859,2.29758996692261,0.757296135213056,2.26364427049429,3.2176709461005,3.96755419672222,0,1.05876114880559
Igha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ighm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igkc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7058915965915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708349673845115
Iglc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12723289492019
Il1b,0,0,0,0,0,0,1.13053739517767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31091750419624,0,0,0,0,0,0,0,0,0,1.20872045745984,0
Inmt,0,0.875812240080924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isg15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itm2b,1.34545576908906,0.2735281017448,0,0,1.02110766430986,1.33627164693062,1.34999574658862,1.16764061805649,2.18085411242064,1.57952576082569,1.6753662819702,1.48671096488351,2.99911957011405,1.85973521858408,1.96133302663066,2.26933719625764,2.61612132409305,0.90918070232029,1.79462326504968,2.18950276264212,2.16221580487471,1.49164694419823,1.79131640529301,1.09241715263554,2.29099777569421,1.06188655689994,1.30834118652663,1.90400361452647,1.48099699836022,1.91837969173127,1.66059302813973,1.28685715703844,2.06975522629178,0.896593418251052,0
Ivns1abp,0,0,0,0,0,0,0,0.738218552266292,0,0,0.811386134255859,0,0,0,0,0,0.828610273028082,0,0,0,1.87194771706321,0,1.23015697407916,0,1.98529756098601,0,0,0,1.19829570246213,0,0,0,0,0,0
Jchain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun,0,0,0,0,0,0,0,1.11323158274177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.782391548273937,0,0,1.1303097871753,0,0,0,0
Junb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15656029359215,1.31325958644669,0,0,0,0,0,0,0,0,0,0.708117989940533,0.782391548273937,0,0,0
Jund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kap,1.40644266607752,2.21121316834508,2.05947916407687,0.865593975378429,5.96780393475494,0.58600670802432,1.19016619162001,0.878913255906626,0.684286748100645,1.29471918426586,0.178228452493673,1.10185495546344,0.601054022729032,0,0,0,0.696551734779822,0.90918070232029,0.918566899924587,0,0.867169140172534,0.790140792792323,0,1.11146531759435,0.743201036401507,0.424316482196603,1.23554148992951,1.32593841018543,0.906865026314243,0.347578326191202,1.1303097871753,0,0.842634029658898,1.32210736221149,1.4728323075155
Kcnj1,0,0,0,0,0,0,0,0,0.93456159449158,0,0,0,0,0,0,0.618749819244337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.782391548273937,0,0,0
Kcnk1,0,0,1.36970598548404,0,1.48327684928091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keg1,0,1.58516168526189,0,1.57115445282208,1.91257328052133,1.01963294402535,0,1.25582852506613,0,0,0,1.2467712204535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764482633670386
Khk,0,0,1.36970598548404,1.13998635840232,1.16261063020818,0,0,0.474609741021135,0,0,0,0.742788174708941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Klf2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708349673845115
Klf6,0,0.2735281017448,0,0,0,0,0,0.694822092289036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klk1,1.56838480776912,2.68839692380926,0,1.31451580202567,1.01377814292142,1.22689027231571,1.4274528913259,1.22418202854377,2.38046811991945,1.78270075534134,3.00654660122347,1.18401608173724,1.84241041898237,0.94251648567012,1.37383928756667,6.28931840091385,1.512181361619,0.956269968813764,1.57579285396275,1.11466009435594,2.4901183162243,2.04094462039741,1.38781279738624,1.26502678373694,1.90689422943398,1.19342215534948,1.98616213328729,1.95602647841511,1.830628702251,0.898764032480346,1.5628786879178,2.43991010238777,1.24006869963561,1.57115385570285,4.01761102834556
Kng2,0,0,0,0,0,0,0,0,1.44614322636185,0,1.53773301101867,0,0,0,0,1.10882691477824,0,0,0,0,0,0,0,0,0,0,0,0,0.841642675348359,0,0,0,0,0,0
Krt18,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28880711843814,0,0,0,0,0,1.31231918623718,0,0,0,0,1.55021475291122,0,0,0,0,0.792580842630944,0,0,0,0,0
Krt7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54127096526083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krt8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25657599235558,0,0,0,0,0,1.84791382256428,0,0,0,0,1.97230471375449,0,0,0,1.43012631496715,1.16108355651821,0,0,0,0,0
Laptm4a,0,0,0,0,0,0,0,0,0,0,0,0,0.65602949304734,0,0,0,0,0,1.13397560141595,0.582391051990069,0,0,0.804764287776761,0,0.599610365963457,0,0,1.28986894296236,0,0,1.18200540398261,0.782391548273937,0.842634029658898,0,0
Laptm4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.782391548273937,0,0,0
Laptm5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993825736951795,0,0.753496838986695,0,0,0,0,0,0,0,0,0
Lcn2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ldha,0,0.503369562345662,1.36970598548404,1.07588996195778,0.812516495204536,0,0,0.698858607284949,0,0,0,0,0,0,0.909761531212451,0,0,0,0,1.27191681005089,0.62950132521107,0,0,0,1.31871495887023,0.933483230420314,0,0,0,0,0,0,0,0,1.05876114880559
Lgals3,0,0,0,0,0,0,2.42267966100026,0,0,0,0,0,0,1.88088191521431,0,0,0,0,0,0.951782743214172,1.36559930287646,0,0,1.52548865458844,3.08367947000219,0.320177990448781,0,0,0.922736653552139,1.16108355651821,0,0,1.57022964881672,1.2323450385599,0
Lilr4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32210736221149,0
Lilrb4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06832778822024,0
Litaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1797167187788,0,0,0,0.993825736951795,0,0,0,0,0,0,0,0,0.748582169754848,1.57115385570285,0.764482633670386
Lpl,0,0,0,0,0,0,0,0,0,0,0.988276057506048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lsm6,0,0,2.05947916407687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14606410912104,0,0,0,0,0,0,0,0,1.23454137090883,0,0,0,0,0,0,0
Ly6a,1.12576238158029,2.21121316834508,0,0,0,0,0,0,1.88019122571493,0,2.68407701268896,0.999442633947349,0,0,0,1.58516168526189,0,0.592222874063664,1.87194771706321,0,0.964723623608871,1.5628786879178,0.509620621668852,0,0,0,0.601940781971409,1.61205875163187,1.84373010913064,1.14015916882215,2.32670408123,2.59451462873783,0,0,0.708349673845115
Ly6c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.061075902227,0,0,1.38922699006546,0,0,0,0,0,0,0,0,1.89364775722957,0,0,0,0.764482633670386
Ly6c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ly6d,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62241313069042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
