,Blood,Vascular,Neurons,Oligos,Immune,Excluded,Astrocytes,Ependymal
ENSMUSG00000026385,0,0,0,1.75931257340413,0,1.38400345158097,2.27100599064313,5.45082955739433
ENSMUSG00000026421,0,0,0,1.29259304825618,0,1.06209984818467,0,0
ENSMUSG00000026424,0,0,0,0,0,0,2.74514765439981,0
ENSMUSG00000026442,0,0,0,1.29795546368475,0,0.971793168709606,0,0
ENSMUSG00000026473,0,1.17409951035667,0,1.47221545205816,2.16196752371001,1.7908336478685,2.41409765449289,0
ENSMUSG00000026566,0,0,0,0,0,0,0,0
ENSMUSG00000026576,0,0,2.91141510459653,0,0,0,0,0
ENSMUSG00000026657,0,0,0,0,0,0,0,0
ENSMUSG00000026678,0,2.59666899642708,0,0,0,0,0,0
ENSMUSG00000026728,0,0,0,0,0,0,0,1.15708492794748
ENSMUSG00000026787,0,0,0,0,0,0,0,0
ENSMUSG00000026797,0,0,1.58034515531175,0,0,0,0,0
ENSMUSG00000026814,0,0.901075141991421,0,0,0,0,0,0
ENSMUSG00000026825,0,0,1.17192665895829,0,0,0,0,0
ENSMUSG00000026830,0,0,0,1.72555112847845,0,1.23032980551773,0,0
ENSMUSG00000026833,0,0,1.51831746143743,0,0,0,0,0
ENSMUSG00000026879,0,0,0,1.61110527194554,0,1.11412664862409,0,0
ENSMUSG00000026888,0,0,0,1.54265321254679,0,1.12418642177196,0,0
ENSMUSG00000026921,0,1.95988963448995,0,0,0,0,0,0
ENSMUSG00000026939,0,0,0,0,0,0,0,0
ENSMUSG00000027199,0,0,0,1.7936430517219,2.05454338369883,1.29415220029877,0,0
ENSMUSG00000027239,0,0,0,0,0,0,0,0
ENSMUSG00000027273,0,0,2.06014992475943,0,0,0,0,0
ENSMUSG00000027375,0,0,0,3.74862977003518,0,3.18801389015875,0,0
ENSMUSG00000027419,0,0,0.59533342996293,0,0,0,0,0
ENSMUSG00000027435,0,0,0,0,0,0,0,0
ENSMUSG00000027438,0,0,1.28310253344137,0,0,0,0,0
ENSMUSG00000027447,0,2.3252258121791,1.02294757292037,0,7.67176270865382,2.32856198024452,5.19038038212021,2.09885871546328
ENSMUSG00000027500,0,0,1.83925543471423,0,0,0,0,0
ENSMUSG00000027523,0,1.9818856092723,2.42734598770747,0.961881406440614,1.16724789220766,1.34585490724102,0,1.82529128133313
ENSMUSG00000027562,0,0,0,2.08614920729728,0,1.63985481249872,0,0
ENSMUSG00000027570,0,0,0,0,0,0,0,0
ENSMUSG00000027581,0,0,1.77294022408717,0,0,0,0,0
ENSMUSG00000027800,0,0,0,0,0,0,0,1.56982585972305
ENSMUSG00000027858,0,0,0,2.74745750791177,0,2.32824069231321,0,0
ENSMUSG00000028128,0,0,0,0,0,0,0,0
ENSMUSG00000028399,0,0,0,1.37581585349705,0,1.23468566209475,0,0
ENSMUSG00000028412,0,0,0,1.10981150248981,0,0.815735596996461,0,0
ENSMUSG00000028517,0,0,0,0,0,0.353855247711072,2.67141364336073,0
ENSMUSG00000028581,0,0,0,0,1.50030201531763,0,0,0
ENSMUSG00000028645,0,1.44045775990625,0,0,0,0,0,0.647121014817623
ENSMUSG00000028654,0,0,0,0,0,0,0,0
ENSMUSG00000028655,0,0,0,0,0,0,0,0
ENSMUSG00000028832,0,0,0,0,0,0,0,0
