,Oligos,Neurons,Excluded,Vascular,Blood,Astrocytes,Immune,Ependymal
ENSMUSG00000024661,5.53054990719479,2.74256064903738,4.25547940877582,2.93641950448573,2.77329742828172,3.01737668266951,3.09446026314545,3.69932129334956
ENSMUSG00000024663,0,0,0,0,0,0,0,0
ENSMUSG00000024672,0,0,0,0,0,0,0,0
ENSMUSG00000024725,0,0,0,0,0,0,0,0
ENSMUSG00000024985,0,0,0,0,0,0,0,0
ENSMUSG00000025203,2.11716710136637,0,1.89677499066171,0,0,1.85763734313828,0,1.23505057589168
ENSMUSG00000025232,0,0,0,0,0,0,0.733601417851984,0
ENSMUSG00000025283,0,0,0,0,0,0,0,0
ENSMUSG00000025326,0,1.27093158507656,0.656648905897335,0,0,0,0,0
ENSMUSG00000025351,0,0,0,0,0,0,0,0
ENSMUSG00000025492,0,0,0,0,0,0,0,0
ENSMUSG00000025503,0,0,0,0,0,0,0,0
ENSMUSG00000025537,0,0,0,0,0,0,0,0
ENSMUSG00000025780,0,0,0,0,0,0,0,0
ENSMUSG00000025794,1.04865086569905,1.51402620235663,1.40829661543469,1.71203507439162,0,0,1.55739550586604,1.56142087115317
ENSMUSG00000025867,0,0,0,0,0,0,0,0
ENSMUSG00000025889,0,1.27862545467754,0,0,0,0,0,0
ENSMUSG00000025993,0,0,0,0,0,0,0,0
ENSMUSG00000026109,1.28439822196324,0,0.577102184709145,0,0,0,0,0
ENSMUSG00000026126,0,0,0,0,0,0,0,0
ENSMUSG00000026193,0,0,0,0,0,0,0,0
ENSMUSG00000026238,1.79108613492307,0,1.08231833170183,2.26384003121312,0,0,0,1.61903112477727
ENSMUSG00000026249,0,0,0,0,0,1.19602482459963,0,0
ENSMUSG00000026344,0,0,0,0,0,0,0,0
ENSMUSG00000026358,0,0,0,0,0,0,0,0
ENSMUSG00000026385,0.764763021599209,0,0.477549982016915,0,0,2.04955213653222,0,4.76132969287523
ENSMUSG00000026421,0,0,0,0,0,0,0,0
ENSMUSG00000026424,0,0,0,0,0,1.21722767120522,0,0
ENSMUSG00000026442,0,0,0.424854757327526,0,0,0,0,0
ENSMUSG00000026473,0,0,0.835061655128238,0,0,2.41323108278876,1.65486021862163,0
ENSMUSG00000026566,0,0,0,0,0,0,0,0
ENSMUSG00000026576,0,1.71132820379215,0.869302887246212,0,0,0,0,0
ENSMUSG00000026628,0,0,0,0,0,0,0,0
ENSMUSG00000026678,0,0,0,1.18704441323013,0,0,0,0
