,Excluded,Vascular,Immune,Oligos,Blood,Neurons,Astrocytes,Ependymal
ENSMUSG00000026238,1.30883451832839,2.52360310328838,1.2863889014533,2.27397956080985,0,0.419155515625605,0,1.92577328691474
ENSMUSG00000026249,0,0,0,0,0,0,1.78022447780761,0.323742291808448
ENSMUSG00000026385,1.06465805328455,0,0,2.25874651621394,0,0,1.91975655477938,6.14434556951453
ENSMUSG00000026421,0,0,0,1.67487514095315,0,0,1.26889768097552,0
ENSMUSG00000026424,0,0,0,0,0,0,3.21541986179243,1.51722746890457
ENSMUSG00000026473,2.37409816217053,1.42678657637098,2.4925002312267,2.1087110449534,0,0,4.09240404230653,0.833812977459721
ENSMUSG00000026566,0,0.848104490968533,0,0,0,0,0,0
ENSMUSG00000026576,2.23646560560205,0,0,0,0,2.76747449928462,1.25151469170678,0.871186783429201
ENSMUSG00000026678,0,2.3129371353725,0,0,0,0,0,0
ENSMUSG00000026701,0.651346714052081,0,0,0,0,0,2.95680648989197,1.44602721912134
ENSMUSG00000026728,0,0,0,0,0,0,0,1.63996371487589
ENSMUSG00000026764,0,0,0,0,0,1.30608859624252,0,0
ENSMUSG00000026787,0,0,0,0,0,0,0,0
ENSMUSG00000026797,0.507860668482203,0,0,0,0,1.48533528031978,0,0
ENSMUSG00000026814,0,1.08704415346519,0,0,0,0,0,0
ENSMUSG00000026825,0,0,0,0,0,1.21273849481012,0,0
ENSMUSG00000026830,0,0,0,1.85379748861005,0,0,0,0
ENSMUSG00000026833,1.36461759625506,0,0,0,0,2.13683670572943,0,0
ENSMUSG00000026879,0,0,0,1.98698055181967,0,0,0,2.15807856636676
ENSMUSG00000026888,0,0,0,1.08704415346519,0,0,0,0
ENSMUSG00000026921,0,2.00129980543919,0,0,0,0,0,0
ENSMUSG00000027199,0.695891504825331,0,2.02046657352818,2.09891090329668,0,0,0,0
ENSMUSG00000027221,0.487260426084096,0,0,0,0,0.773474746971281,0,0
ENSMUSG00000027239,0,0,0,0,0,0,0,0.323742291808448
ENSMUSG00000027270,0,0,0,0,0,0,0,0
ENSMUSG00000027273,2.25874651621394,0,0,0,0,2.76935501601928,0,0.655455447821145
ENSMUSG00000027350,0,0,0,0,0,1.07363515930162,0,0
ENSMUSG00000027375,0,0,0,3.43279748423967,0,0,0,0
ENSMUSG00000027419,0,0,0,0,0,1.0804799698911,0,0
