,Blood,Immune,Neurons,Vascular,Excluded,Oligos,Astrocytes,Ependymal
ENSMUSG00000024661,1.74955463328328,2.4426596125762,1.71545119151883,2.2734402983837,3.39793224565731,4.64593806584919,1.58105535433511,3.213277527881
ENSMUSG00000024736,0,0,0,0,0,0,0,0
ENSMUSG00000024750,0,0,0,0,0,0,0,0
ENSMUSG00000024856,0,0,0,0,0,0,0,0
ENSMUSG00000024953,0,0,0,0,0.403555926141648,0,0,0.343189798834218
ENSMUSG00000025085,0,0,0,0,0.158216873957637,0,0,0.297603861245823
ENSMUSG00000025203,0,0,0,0,1.26277173172594,1.30823803304041,1.27851711096182,1.22822849753736
ENSMUSG00000025326,0,0,0,0,0.245339052184011,0,0,0
ENSMUSG00000025351,0,0.796358389530522,0,0,0,0,0.822963894063683,0.636500443931412
ENSMUSG00000025393,0,0,0,0,0.342480147125514,0,0,0.992009968236583
ENSMUSG00000025428,0,0,0,0,0.158216873957637,0,0,0.353071257517814
ENSMUSG00000025511,0,0,0,0,0,0,0,0
ENSMUSG00000025576,0,0,0,0,0,0,0,0
ENSMUSG00000025582,0,0,0,0,0,0,0,0
ENSMUSG00000025739,0,0,0,0,0,0,0,0
ENSMUSG00000025867,0,0,0,0,0,0,0,0
ENSMUSG00000025889,0,0,0,0,0,0,0,0
ENSMUSG00000026158,0,0,0,0,0,0,0,0
ENSMUSG00000026163,0,0,0,0,0,0,0,0
ENSMUSG00000026202,0,0,0,0,0,0,0,0
ENSMUSG00000026238,0,0,0,1.43058979582114,0.245339052184011,1.05953133159511,0,1.30332995050704
ENSMUSG00000026249,0,0,0,0,0,0,0,0.836891853799113
ENSMUSG00000026347,0,0,0,0,0,0,0,0
ENSMUSG00000026349,0,0,0,0,0,0,0,0
ENSMUSG00000026385,0,0,0,0,0,1.45143898415109,2.60765093733575,4.40886752918114
ENSMUSG00000026424,0,0,0,0,0,0,2.04269051539808,0.728238202704034
ENSMUSG00000026452,0,0,0,0,0,0,0,0
ENSMUSG00000026458,0,0,0,0,0,0,0,0
ENSMUSG00000026473,0,0.923030354400118,0,0,0.13304998664851,0.245260744822994,0.716769277438134,0
ENSMUSG00000026500,0,0,0,0,0,0,0,0
ENSMUSG00000026576,0,0,0,0,0,0,0,0
ENSMUSG00000026678,0,0,0,0,0,0,0,0
ENSMUSG00000026688,0,0,0,0,0,0,0,0
ENSMUSG00000026764,0,0,0,0,0,0,0,0
ENSMUSG00000026797,0,0,0,0,0,0,0,0
ENSMUSG00000026825,0,0,0,0,0,0,0,0
ENSMUSG00000026833,0,0,0,0,0,0,0,0
ENSMUSG00000026860,0,0,0,0,0,0,0,0
ENSMUSG00000026915,0,0,0,0,0,0,0,0
ENSMUSG00000026921,0,0,0,0.922856738072805,0,0,0,0
ENSMUSG00000027168,0,0,0,0,0,0,0,0
ENSMUSG00000027239,0,0,0,0,0,0,0.573018721610281,0
ENSMUSG00000027273,0,0,1.49637904139972,0,0.616938756183232,0,0,0
ENSMUSG00000027282,0,0,0,0,0,0,0,0
ENSMUSG00000027350,0,0,0,0,0,0,0,0
ENSMUSG00000027375,0,0,0,0,0,1.97084950889222,0,0
ENSMUSG00000027438,0,0,0,0,0,0,0,0
ENSMUSG00000027447,0,5.92590130855274,0,1.3709507019367,0.13304998664851,0,2.17207500220409,1.15322979143608
ENSMUSG00000027489,0,0,0,0,0,0,0,0
ENSMUSG00000027500,0,0,1.25451744947197,0,0,0,0,0
ENSMUSG00000027562,0,0,0,0,0,0.741237436320322,0,0
ENSMUSG00000027581,0,0,0,0,0.342480147125514,0,0,0
ENSMUSG00000027620,0,0.694834678630167,0,0.629497918032539,0,0.538629930064826,0.608449385688165,0.728238202704034
ENSMUSG00000027634,0,0,0,0,0,0,0,0
ENSMUSG00000027637,0,0,0,0,0.287896798217959,0,0,0
ENSMUSG00000027673,0,0,0,0,0,0,0,0
ENSMUSG00000027797,0,0,0,0,0,0,0,0
ENSMUSG00000028081,0,1.48543383425509,0,1.37203611271644,0.564495954409856,0.795023846386097,0,0
ENSMUSG00000028161,0,0,1.01159614004769,0,0.493112349279639,0,0,0
ENSMUSG00000028207,0,0,0,0,0,0,0,0
ENSMUSG00000028222,0,0,0,0,0,0,0,0
ENSMUSG00000028234,0,1.00257379596594,0,0.98266524563249,0,0.435313702245373,0,0.601372739355025
ENSMUSG00000028367,0,0,0,0,0,0,0,0.41104801475721
