,Oligos,Excluded,Neurons,Vascular,Astrocytes,Ependymal,Immune,Blood
ENSMUSG00000022122,0,0,0,0,0,0,0,0
ENSMUSG00000022132,0,0,0,0,0,0,0,0
ENSMUSG00000022425,1.17184423084041,0,0,0,0,0,0,0
ENSMUSG00000022436,0,0,0,0,0,0,0,0
ENSMUSG00000022490,0,0,0,0,0,0,0,0
ENSMUSG00000022548,0.909638049851194,0,0,0,0,0,0,0
ENSMUSG00000022577,0,0,0,0,0,0,0,0
ENSMUSG00000022587,0,0,0,1.47882581474763,0,0,1.20192817090685,0
ENSMUSG00000022658,0,0,0,0,0,0,0,0
ENSMUSG00000022665,0,0,0,0,0,0,0,0
ENSMUSG00000022708,0.505617610856392,1.2042867330832,0,0.82170209173697,1.61020798336283,1.99024461287278,0,0
ENSMUSG00000022799,0,0,0,0.405105503370816,0,0,0,0
ENSMUSG00000023175,0.610364287000741,1.01953241964214,1.07341685251066,5.36656995482764,1.30413797097923,0.474843480028152,1.1450265392044,0
ENSMUSG00000023236,0,0.220213001431722,1.3625542407082,0,0,0,0,0
ENSMUSG00000023367,0,0,0,0,0,0,0.642354425040155,0
ENSMUSG00000023391,0,0,0,0,0,0,0,0
ENSMUSG00000023800,0,0,0,0,0,0,0,0
ENSMUSG00000023913,0,0,0,0,0,0,0,0
ENSMUSG00000023992,0,0,0,0,0,0,2.10816939051719,0
ENSMUSG00000024048,0,0,0,1.5680977613414,0,0,0,0
ENSMUSG00000024109,0,0.674714316303952,0,0,0,0,0,0
ENSMUSG00000024140,0,0,0,1.1739875168235,0,0,0,0
ENSMUSG00000024268,0,0,1.19519790802814,0,0,0,0,0
ENSMUSG00000024397,0,0,0,0,0,0,1.7690101861676,0
ENSMUSG00000024403,0,0,0,0,0,0,0,0
ENSMUSG00000024411,0,0.586792377404881,0,0,0,0,0,0
ENSMUSG00000024501,0,0,0,0,0,0,0,0
ENSMUSG00000024617,0,0,0,0,0,0,0,0
ENSMUSG00000024621,0,0,0,0,0,0,2.15374209187004,0
ENSMUSG00000024873,0,0,0,0,0,0,0,0
ENSMUSG00000025203,2.04359699105022,1.78147254093172,0,0,2.15153432910641,1.81960971703934,0,0
ENSMUSG00000025221,0,0,0,0,0,0,0,0
ENSMUSG00000025232,0,0,0,0,0,0,1.45450655369375,0
ENSMUSG00000025283,0,0,0,0,0.931107056156341,0,1.07382761202739,0
ENSMUSG00000025326,0,0.661072707976447,1.17746727096809,0,0,0,0,0
ENSMUSG00000025351,0.457969890970212,0.689997988160583,0,0,1.65109366378225,0.99771545808559,1.13018647812519,0
ENSMUSG00000025372,0,0,0,0,0,0,0,0
