,Vascular,Blood,Neurons,Excluded,Oligos,Astrocytes,Ependymal,Immune
ENSMUSG00000022122,0,0,0,0,0,0,0,0
ENSMUSG00000022132,0,0,0,0,0,0.955924796363582,0,0
ENSMUSG00000022425,0,0,0,0.410273739485331,1.35836401204108,0,0,0
ENSMUSG00000022472,0,0,0,0.40534364796257,0.962797886021532,0,0,0
ENSMUSG00000022489,0,0,0,0,0,0,0,0
ENSMUSG00000022490,0,0,0,0,0,0,0,0
ENSMUSG00000022548,0,0,0,0,0,0,0,0
ENSMUSG00000022577,0,0,1.66582747301787,0.697566613498408,0,0,0.734890412733046,0
ENSMUSG00000022587,1.37815982663305,0,0,0,0,0,0,0
ENSMUSG00000022658,0,0,0,0,0,0,0,0
ENSMUSG00000022708,1.01875640761989,0,0.520271478089667,1.01887440425183,0,1.64373364585724,2.52081476502435,0
ENSMUSG00000022747,0,0,0,0,0,0,0,0
ENSMUSG00000022799,0,0,0,0,0,0,0,0
ENSMUSG00000022817,0,0,0,0,0,0,0,0
ENSMUSG00000022840,0,0,0,0,0,0,0,0
ENSMUSG00000023175,5.55198351267819,0,0.840903097185582,0.765187278082965,0,0,0.602111458661053,0.944894565349087
ENSMUSG00000023236,0,0,1.21326542068364,0.518352277505501,0,0,0,0
ENSMUSG00000023367,0,0,0,0,0,0,0,0
ENSMUSG00000023868,0,0,0.427662916316654,0,0,0,0,0
ENSMUSG00000023913,0,0,0,0,0,0,0,0
ENSMUSG00000023992,0,0,0,0,0,0,0,1.63008480700308
ENSMUSG00000024048,1.72031421666358,0,0,0,0,0,0,0
ENSMUSG00000024109,0,0,0,0,0,0,0,0
ENSMUSG00000024140,1.31113738837414,0,0,0,0,0,0,0
ENSMUSG00000024268,0,0,1.20578140185296,0.640150800889511,0,0,0,0
ENSMUSG00000024395,0,0,0,0,0,0,0,0
ENSMUSG00000024397,0,0,0,0,0,0,0,1.9052617240129
ENSMUSG00000024403,0,0,0.954686054194269,0,0,0,0,0
ENSMUSG00000024411,0,0,0,0,0,1.05637153141503,0.880452720129037,0
ENSMUSG00000024524,0,0,0.682561206718075,0,0,0,0,0
ENSMUSG00000024620,0,0,0,0,0,0,0,0
ENSMUSG00000024621,0,0,0,0,0,0,0,2.05636646591517
ENSMUSG00000024661,3.0682377073438,2.16391165873046,2.91807919573434,4.29788478140496,6.0466056191769,3.67252314384775,4.00808645608489,3.41468391937983
ENSMUSG00000024725,0,0,0,0,0,0,0,0
ENSMUSG00000024873,0,0,0.888707472278501,0,0,0,0,0
ENSMUSG00000025085,1.38965540404389,0,0,0,0,0,0.722468805849227,0
