,Excluded,Vascular,Oligos,Neurons,Immune,Astrocytes,Blood
ENSMUSG00000022285,0.952626192723273,0,0,1.24947367846412,0,0,0
ENSMUSG00000022421,0,0,0,1.31218605186484,0,0,0
ENSMUSG00000022425,0.507405625740744,0,2.47196899960468,0,0,0,0
ENSMUSG00000022454,0.868189458028158,0,0,1.40031636669365,0,0,0
ENSMUSG00000022490,0.646979410294587,0,0,1.27366043469404,0,0,0
ENSMUSG00000022548,0,0,1.9114569491175,0,0,0,0
ENSMUSG00000022577,0.789809745824391,0,0,1.71759321666109,0,0,0
ENSMUSG00000022587,0.972163733211,2.43184272941896,0,0.872866624398238,1.62122596611688,0,0
ENSMUSG00000022594,0,0,0,0.820558044585303,0,0,0
ENSMUSG00000022658,1.30141146414132,0,0,1.51251203688214,0,1.74740111571607,0
ENSMUSG00000022708,0,1.31855935553828,0,0,0,1.80926236398453,0
ENSMUSG00000022799,0,1.46873968357156,0,0,0,0,0
ENSMUSG00000022892,1.76628570604212,1.17729253375689,1.87423241392113,2.00732080031036,0,0,0
ENSMUSG00000023046,0,0,0,0,0,0,0
ENSMUSG00000023175,1.96205330220708,6.46758751545195,1.04504063245797,1.92903799326222,1.80340512609701,1.83957028387617,2.09034438035305
ENSMUSG00000023236,1.74836122919658,0,0,2.81088899561864,0,0,0
ENSMUSG00000023367,0,0,0,0,0,0,0
ENSMUSG00000023913,0,0,0,0,0,2.3662599664396,0
ENSMUSG00000023992,0,0,0,0,2.00294778874862,0,0
ENSMUSG00000024048,0,2.51665071866873,0,0,0,0,0
ENSMUSG00000024109,1.78749471209013,0,0,2.21582699518969,0,1.68564323421108,0
ENSMUSG00000024140,0,1.87360659231385,0,0,0,0,0
ENSMUSG00000024268,1.19588590530888,0,0,1.81307591508997,0,0,0
ENSMUSG00000024395,0,0,0,0,0,0,0
ENSMUSG00000024397,0,0,0,0,2.44765466769346,0,0
ENSMUSG00000024403,0.973898045557808,0,0,1.87414327996813,0,0,0
ENSMUSG00000024411,0,0,0,0,0,1.45867061091001,0
ENSMUSG00000024608,2.95342294594383,4.1548458688282,2.93909870246685,2.69933989895511,4.16659755782891,2.52991538314746,1.73976188851708
ENSMUSG00000024617,1.06414256551598,0,0,1.63089222451057,0,0,0
ENSMUSG00000024620,0,0,0,0,0,0,0
ENSMUSG00000024621,0,0,0,0,2.58450193336364,0,0
ENSMUSG00000024725,0,1.06230947381204,0,0,0,0,0
ENSMUSG00000024990,0,0,0,0,0,0,0
ENSMUSG00000025203,1.27903916541919,0,2.77912447546069,0,0,1.90650998653766,0
ENSMUSG00000025283,0,0,0,0,1.45353236898118,1.39283282085651,0
ENSMUSG00000025326,1.47202019731842,0,0,1.85369701598961,0,0,0
ENSMUSG00000025351,0.524175943244262,0,1.15877680346257,0,0,2.62178232393942,0
ENSMUSG00000025468,0.456918829365505,0,0,1.28253423636752,0,0,0
ENSMUSG00000025492,0,2.10777693216147,0,0,0,0,0
ENSMUSG00000025503,0,0,2.16427702867009,0,0,0,0
ENSMUSG00000025537,0,0,0,0,0,0,0
ENSMUSG00000025739,0.646979410294587,0,0,1.43744398248733,0,0,0
ENSMUSG00000025855,0.757280768367697,0,0,1.33722224269631,0,0,0
ENSMUSG00000025867,0,0,0,1.1079070165709,0,0,0
ENSMUSG00000025889,1.81238118001395,0,0,2.69074256106884,0,0,1.39439048685042
ENSMUSG00000026109,0,0,2.17859022920506,0,0,0,0
ENSMUSG00000026193,0,1.53717157714477,0,0,0,0,0
ENSMUSG00000026223,1.6888964131256,0,0,1.79290942831617,1.53500923296579,1.85993226803001,0
ENSMUSG00000026249,0,0,0,0,0,1.91590911270578,0
ENSMUSG00000026344,0,0,0,0,0,0,0
ENSMUSG00000026385,1.06319028009657,0.635352597873721,2.67331335055586,0,0,2.58115662003404,0
ENSMUSG00000026421,0,0,1.85260291273713,0,0,1.38532496283938,0
ENSMUSG00000026424,0,0,0,0,0,3.41669151334403,0
ENSMUSG00000026473,1.78039134441379,1.4596380042155,1.95624971284303,0,2.28438382739503,4.40647665571414,0
ENSMUSG00000026566,0,1.45363883490659,0,0,0,0,0
ENSMUSG00000026576,2.51617133263809,0,0,3.07830219552139,0,1.61150319819347,0
ENSMUSG00000026678,0,2.96231350259371,0,0,0,0,0
ENSMUSG00000026688,0,0,0,0.698452156540209,0,0,0
ENSMUSG00000026701,0.418560086612132,0,0,0,0,3.02527318015609,0
ENSMUSG00000026764,1.17113970273702,0,0,1.629684024696,0,0,0
ENSMUSG00000026787,0,0,0,0,0,0,0
ENSMUSG00000026797,1.49634558207807,0,0,1.74766764995409,0,0,0
ENSMUSG00000026814,0,1.5964280678359,0,0,0,0,0
ENSMUSG00000026825,0.921727476297315,0,0,1.34625820374617,0,0,0
ENSMUSG00000026830,0,0,2.22999556948784,0,0,0,0
