,Oligos,Excluded,Neurons,Immune,Blood,Vascular,Astrocytes,Ependymal
ENSMUSG00000031447,1.64639348004728,1.32418653106874,0,1.33480873096205,0,0,1.45159587069402,0
ENSMUSG00000031502,0,0,0,0,0,0.880808357760875,0,0
ENSMUSG00000031517,0,0.807397643786093,1.1322828753754,0,0,0,0,0
ENSMUSG00000031610,0,0,0,0,0,0,0,0
ENSMUSG00000031633,1.34271952001611,1.52213195763425,2.11494686755381,0,0,0.94486962298887,0,0.617349128391724
ENSMUSG00000031760,0,0.751435989931943,1.22854911551103,0,0,0,2.08265034967318,2.85639499348303
ENSMUSG00000031762,0,0,0,0,0,0,2.17643077951119,0
ENSMUSG00000031765,0.895216017498649,1.52166235277639,0,0,0,0,4.03075919183537,2.71422665134288
ENSMUSG00000031775,1.08072543914608,0,0,0,0,0,0,0
ENSMUSG00000031799,0,0,0,0,0,0,0,0
ENSMUSG00000031818,1.43501443228013,1.6856792623128,2.02742719063606,1.48728552943772,0,1.62199116393784,0,1.15380284735038
ENSMUSG00000031840,0,0.545096521051942,1.18119442101912,0,0,0,0,0
ENSMUSG00000031980,0,0,0,0,0,0,1.62941647440106,0
ENSMUSG00000031983,0,0,0,0,0,0,0,0
ENSMUSG00000032011,0,0,0,0,0,0,0,0
ENSMUSG00000032060,3.04894900371798,1.68147413045238,0,0,0,0,0,0
ENSMUSG00000032118,1.64926151581333,0.908364720222778,0,0,0,0,0,0
ENSMUSG00000032281,0,0,0,0,0,0,0,0
ENSMUSG00000032359,0,0,0,0,0,0,0,0
ENSMUSG00000032434,0,0,0,0,0,0,0,0
ENSMUSG00000032436,0,0,0,0,0,0,0,0
ENSMUSG00000032503,0,0,0,0,0,0,0,0
ENSMUSG00000032517,2.84964738453437,2.09587791917517,0,0,0,0,0,0
ENSMUSG00000032532,0,0,0,0,0,0,0,0
ENSMUSG00000032554,1.82627728068365,0.560095867603748,0,1.51395332679243,0,0,0,0
ENSMUSG00000032667,0,0,0,0,0,0,0,0
ENSMUSG00000032698,0,0,0,0,0,0,0,0
ENSMUSG00000032766,0,0,0,0,0,1.96597603547036,0,0
ENSMUSG00000032854,1.98740059700934,1.24819924651333,0,0,0,0,0,0
ENSMUSG00000032966,1.71990423620301,1.28947105021789,1.22199846577217,0,0,1.24239511656481,0,0
ENSMUSG00000033006,0,0,0,0,0,0,0,0
ENSMUSG00000033061,0,0,0.915977307401782,0,0,0,0,0
ENSMUSG00000033192,0,0,0,0,0,0,0,0
ENSMUSG00000033208,0,0,0,0,0,0,0,0
ENSMUSG00000033220,0,0,0,0,0,0,0,0
ENSMUSG00000033400,0,0,0,0,0,0,0,0
ENSMUSG00000033579,0.858988264756023,0,0,0,0,0,0,0
ENSMUSG00000033585,0,0.430654767285723,1.14570823533954,0,0,0,0,0
ENSMUSG00000033653,0,0,0,0,0,0,0,0
ENSMUSG00000033981,0,0.885776913101896,1.18489850074241,0,0,0,0,0
ENSMUSG00000034000,0,0,0,0,0,0,0,0
ENSMUSG00000034353,0,0,0,0,0,0,0,0
ENSMUSG00000034891,0,0.414819293199314,1.34594283062705,0,0,0,0,0
ENSMUSG00000035093,0,0,0,0,0,0,0,0
ENSMUSG00000035104,0,0,0,0,0,0,0,0
ENSMUSG00000035352,0,0,0,0,0,0,0,0
ENSMUSG00000035385,0,0,0,0,0,0,0,0
ENSMUSG00000035640,0,0.39502774765202,1.07873043500206,0,0,0,0,0
ENSMUSG00000035686,0,0,0,0,0,0,0,0
ENSMUSG00000035783,0,0,0,0,0,0,0,0
ENSMUSG00000035805,0,0,0,0,0,0,1.49554310721569,1.56690895108966
ENSMUSG00000035864,0,0,0.781337194876953,0,0,0,0,0
ENSMUSG00000035885,1.41872981920541,1.78552539070163,2.34522252012483,0,0,1.66866835434041,1.97748817028935,1.42328313277111
ENSMUSG00000036256,0,0,0,0,0,2.01292109839117,0,0
ENSMUSG00000036353,0,0,0,2.90605595786052,0,0,0,0
ENSMUSG00000036402,0.801069731461373,0,0,0,0,0,0,0
ENSMUSG00000036438,0,1.53673867460238,2.77200093302394,1.84023249534838,0,1.37636294740385,0,1.41812689551133
ENSMUSG00000036503,0,0,0,0,0,0,0,0
ENSMUSG00000036564,0,0.755928847529372,1.49728346095846,0,0,0,0,0
ENSMUSG00000036570,0,0,0,0,0,0,0,0
