,Oligos,Excluded,Neurons,Astrocytes,Blood,Vascular,Immune,Ependymal
ENSMUSG00000025085,0,0,0,0,0,1.34965159602281,0,0
ENSMUSG00000025203,2.43856806270299,2.07279560854287,0,1.89823560736389,0,0,0,2.12817754157176
ENSMUSG00000025232,0,0,0,0,0,0,1.736877107749,0
ENSMUSG00000025283,0,0,0,1.15385359240053,0,0,1.27359092592253,0
ENSMUSG00000025351,0,0.487447680717891,0,2.08136165134929,0,0,0,1.42351164451788
ENSMUSG00000025372,0,1.08073316934766,1.77591260052227,0,0,0,0,0
ENSMUSG00000025468,0,0.445029579305763,1.48530357251977,0,0,0,0,0
ENSMUSG00000025492,0,0,0,0,0,1.89045448410069,0,1.54599700238732
ENSMUSG00000025503,1.74149196362464,0.803890731824789,0,0,0,0,0,0
ENSMUSG00000025537,0,0,0,0,0,0,0,0
ENSMUSG00000025867,0,0.686205152043685,1.37227310741635,0,0,0,0,0
ENSMUSG00000025889,0,0.80788025263151,1.98710930540507,0,0.765859443869806,0,0,0
ENSMUSG00000026109,2.06103450044679,1.06535484092565,0,0,0,0,0,0
ENSMUSG00000026185,0,0,0,0,0,0,0,0
ENSMUSG00000026223,0,1.57263414206784,2.04633242383937,1.67390925535502,0,0,1.48871329261618,3.21571618752287
ENSMUSG00000026238,2.2438394211086,1.54300720208893,0.674600666458488,0,0,2.53492246958352,1.31357934675644,2.32113374790089
ENSMUSG00000026249,0,0.740851937722835,0,1.64499311133594,0,0,0,1.33155571392191
ENSMUSG00000026259,0,0.651337807081768,1.17266302952919,0,0,0,0,0
ENSMUSG00000026358,0,0,0,0,0,0,0,0
ENSMUSG00000026385,2.42337434762549,1.77210299931451,0,2.84513557348212,0,0,0,6.05643440389434
ENSMUSG00000026421,1.68729336161688,1.11266835937505,0,1.35961963035055,0,0,0,0
ENSMUSG00000026424,0,0,0,2.56626266810775,0,0,0,1.04579552324507
ENSMUSG00000026442,0.801396464553347,0.231680857638545,0,0,0,0,0,0
ENSMUSG00000026473,1.22964516123693,1.70083387014867,0,3.45480278156994,0,1.11876248993788,2.08378299554494,0
ENSMUSG00000026566,0,0,0,0,0,0.706029454390809,0,0
ENSMUSG00000026576,0,1.13072518284529,2.1775723916535,0,0,0,0,0
ENSMUSG00000026678,0,0,0,0,0,2.25907339362198,0,0
ENSMUSG00000026701,0,0.747162180492513,0,2.92143853471202,0,0,0,2.1885409036242
ENSMUSG00000026728,0,0,0,0,0,0.724715009090025,0,1.5178069701638
ENSMUSG00000026814,0,0,0,0,0,1.38983022501184,0,0
ENSMUSG00000026830,1.89709419331243,0.790953689718769,0,0,0,0,0,0
ENSMUSG00000026879,2.33598819297629,1.3440379871077,0,0,0,0,0,0.956000399624608
ENSMUSG00000026888,1.01150567984656,0,0,0,0,0,0,0
ENSMUSG00000026921,0,0,0,0,0,2.12029810096599,0,0
ENSMUSG00000026939,0,0,0,0,0,0,0,0
ENSMUSG00000027199,1.91054877209299,0.687953102725378,0,0,0,0,2.20286507461454,0
ENSMUSG00000027210,0,0.797183937345571,1.5635330864238,0,0,0,0,0
ENSMUSG00000027221,0,0.671290988764437,0.978891981750887,0,0,0,0,0
ENSMUSG00000027239,0,0,0,0,0,0,0,0
ENSMUSG00000027273,0,0.733825558911547,1.79027008356363,0,0,0,0,0
ENSMUSG00000027375,4.11027208267204,2.78877359881828,0,0,0,0,0,0
ENSMUSG00000027447,1.0249873444976,3.96772056862559,0.851585781768138,6.58543118764019,0,2.85759948473445,8.12964184381266,2.2390871448762
ENSMUSG00000027500,0,0,0,0,0,0,0,0
ENSMUSG00000027523,1.46327264267996,1.1622651618361,0,1.37167648812395,0,2.5985914370354,1.64075029896754,1.84452203306291
ENSMUSG00000027562,2.60035120843228,1.50650370021915,0,1.22325714336106,0,0,0,0
ENSMUSG00000027574,0,0,0,1.403726289421,0,0,0,0.584796542935918
ENSMUSG00000027581,0,0,1.47629338560378,0,0,0,0,0
ENSMUSG00000027800,0,0,0,0,0,1.49526527255739,0,2.02047286134135
ENSMUSG00000027848,0,0,0,0,0,0,0.923825030518726,0
ENSMUSG00000027858,2.01834955433292,1.08529816880577,0,0,0,0,0,0
ENSMUSG00000028081,1.20052955800326,1.32072662149094,0.788542742810394,0,0,1.86406948680789,2.57053166157577,0.735938668625782
ENSMUSG00000028128,0,0,0,1.21104953888738,0,0,0,0
ENSMUSG00000028161,0.668493326560341,2.32893864307283,3.15462246400408,0,0,0,0,0
ENSMUSG00000028194,0,0,0,1.22983497494204,0,0,0,0
ENSMUSG00000028222,0,0,0,0,0,0,0,0
ENSMUSG00000028266,0,0.454731296986905,0.910212138975699,0,0,0,0,1.19200661662897
ENSMUSG00000028445,0,0,0,1.5740751972338,0,0,0,0
ENSMUSG00000028517,0,0.80657447862972,0,3.09004827737675,0,0,0,0
ENSMUSG00000028581,0,0,0,0,0,0,1.82573063583368,0
ENSMUSG00000028645,0,0,0,0,0,1.47130462882423,0,1.18353295961326
ENSMUSG00000028691,0.816254902574468,0.591397115109982,0,0,0,0.488167950846515,0,0
ENSMUSG00000028785,0,0.849729330086743,2.07173752395461,0,0,0,0,0
ENSMUSG00000028833,0,0.794483836656069,1.45337631244027,0,0,0,0,0
ENSMUSG00000029126,0,0.602930950103343,1.54275671846318,0,0,0,0,0
ENSMUSG00000029309,0,0.737937338466561,0,3.17744490241459,0,1.84681538669315,0,1.68434659400943
ENSMUSG00000029343,0,0,0,0,0,0,0,0
ENSMUSG00000029359,0,0,1.05618657834372,0,0,0,0,0
ENSMUSG00000029471,0,0.436880495162959,1.04064237155297,0,0,0,0,0
ENSMUSG00000029484,0,0,0,0,0,0.980790576486811,0,0
ENSMUSG00000029570,0,0,0,0,0,0,0,0
ENSMUSG00000029622,1.13197520122068,0.21734115511228,0,0,0,1.59728687468968,1.92556941230943,0
ENSMUSG00000029648,0,0,0,0,0,2.39840938079247,0,0
ENSMUSG00000029723,2.19735232297474,1.68960033293076,0,2.46180479671243,0,0,0,0.233608643592932
ENSMUSG00000029761,0,0,0,0,0,0.746276810207305,0,0
ENSMUSG00000029810,0,0,0,0,0,0,1.28593592432149,0
ENSMUSG00000029819,0,0,0,0,0,0,0,0
ENSMUSG00000029838,2.67197458677187,2.37648034820915,0,3.45805593314654,0,1.93984481417426,0,0
ENSMUSG00000029919,0,0,0,0,0,0,1.19659065526692,0
ENSMUSG00000030067,0,1.04258824562888,1.49443415223568,0,0,0,0,0
ENSMUSG00000030209,0,1.2865482940453,1.99486321195319,0,0,0,0,0
ENSMUSG00000030235,0,0,0,0,0,1.42475582315107,0,0
ENSMUSG00000030237,0,0,0,0,0,1.43270244158833,0,0
ENSMUSG00000030246,0,1.17199541289429,1.37839368147176,2.38917929851092,0,0,0,1.14671618062262
ENSMUSG00000030272,0,0,0,0,0,0,1.78415584500701,0
