,Neurons,Excluded,Vascular,Immune,Oligos,Ependymal,Astrocytes,Blood
ENSMUSG00000026235,0,0,0,0,0,0,0,0
ENSMUSG00000026249,0,0.750782363426655,0,0,0,1.49254204868808,2.7838651568265,0
ENSMUSG00000026347,0,0,0,0,0,0,0,0
ENSMUSG00000026385,0,0.999751961349073,0,0,1.13735656189939,4.50263124467925,2.42574565612862,0
ENSMUSG00000026424,0,0.749424138086936,0,0,0,1.40939816584049,3.35457863678355,0
ENSMUSG00000026442,0.665173902666395,1.35730709418944,0,0,1.40978854943826,0,0,0
ENSMUSG00000026473,0,2.27714625151078,1.03799581686645,1.97850257661265,2.03652067590053,0,2.55782753230099,0
ENSMUSG00000026566,0,0,1.03794590647074,0,0,0,0,0
ENSMUSG00000026576,3.60911706550235,0,0,0,0,0,0,0
ENSMUSG00000026657,0,0,0,0,0,0,0,0
ENSMUSG00000026678,0,0,3.64277685175467,0,0,0,0,0
ENSMUSG00000026728,0,0,0.94831139919789,0,0,0,0,0
ENSMUSG00000026787,0,0,0,0,0,0,0,0
ENSMUSG00000026797,2.18339778038985,0,0,0,0,0,0,0
ENSMUSG00000026814,0,0,1.88437709341583,0,0,0,0,0
ENSMUSG00000026825,1.46165961438591,0,0,0,0,0,0,0
ENSMUSG00000026830,0,2.21414109038535,0,0,2.60091291619298,0,0,0
ENSMUSG00000026879,0,1.26874622091342,0,0,1.48474377824984,0,0,0
ENSMUSG00000026888,0,1.18647829823843,0,0,1.54591045864243,0,0,0
ENSMUSG00000026921,0,0,2.43438162728518,0,0,0,0,0
ENSMUSG00000026939,0,0,0,0,0,0,0,0
ENSMUSG00000027111,0,0,0,0,0,0,0,0
ENSMUSG00000027199,0,1.87054475095949,0,1.87273621629519,2.27484124140594,0,0,0
ENSMUSG00000027239,0,0,0,0,0,0,0,0
ENSMUSG00000027273,3.22142076471995,0,0,0,0,0,0,0
ENSMUSG00000027346,0,0,1.71066180154852,0,0,0,0,0
ENSMUSG00000027375,0,3.51387875476405,0,0,3.97316714725552,0,0,0
ENSMUSG00000027435,0,0,1.50965375299289,0,0,0,0,0
ENSMUSG00000027438,2.06369082112194,0,0,0,0,0,0,0
ENSMUSG00000027447,0.808541150017388,1.78658950049847,2.28524197005765,7.16850883107399,0,1.74077183245049,5.38085999465858,0
ENSMUSG00000027500,2.13909259520227,0,0,0,0,0,0,0
ENSMUSG00000027562,0,1.79435268000777,0,0,1.94815164858521,0,0,0
ENSMUSG00000027570,0,0,0,0,0,0,0,0
ENSMUSG00000027581,2.01668660520871,0,0,0,0,0,0,0
ENSMUSG00000027692,0,0,0,0,0,0,0,0
ENSMUSG00000027712,0,0,0,0,0,1.6851421505744,0,0
ENSMUSG00000027797,0.899177290281183,0,0,0,0,0,0,0
ENSMUSG00000027800,0,0,0,0,0,2.24324018542959,0,0
ENSMUSG00000027858,0,2.9747875683346,0,0,3.31268713408978,0,0,0
ENSMUSG00000027894,1.30851318868185,0,0,0,0,0,0,0
ENSMUSG00000028128,0,0,0,0,0,0,1.36164069337133,0
ENSMUSG00000028328,0,0,0,0,0,0,0,0
ENSMUSG00000028399,0.604120252827289,1.94369465836057,0,0,2.12872665973612,0,0,0
ENSMUSG00000028445,0.409081511237856,0,0,0,0,0,2.21338601809875,0
ENSMUSG00000028517,0,0.737826251240181,0,0,0,0,2.5231521300906,0
ENSMUSG00000028546,1.33835240309725,0,0,0,0,0,0,0
ENSMUSG00000028633,0,0,0,0,0,0,0,0
ENSMUSG00000028645,0,0,1.85608459087657,0,0,1.4196245402167,0,0
ENSMUSG00000028655,0,0,0,0,0,0,0,0
ENSMUSG00000028698,0,0,0,0,0,0,0,0
ENSMUSG00000028780,0,0,1.02524665651693,0,0,0,0,0
ENSMUSG00000029086,0,0,0.994352982907166,0,0,0,0,0
ENSMUSG00000029108,0.460596852348424,0,0,0,0,0,0,0
ENSMUSG00000029126,1.78710489933273,0,0,0,0,0,0,0
ENSMUSG00000029212,0,0,0,0,0,0,0,0
ENSMUSG00000029223,1.61990231138853,0,0,0,0,0,0,0
ENSMUSG00000029309,0.413415254130391,1.42300261939454,1.57724133445931,0,0,2.02696744616788,4.27326468072317,0
ENSMUSG00000029333,0,0,0,0,0,0,0,0
ENSMUSG00000029484,0,0,0.379452189617628,0,0,0,0,0
ENSMUSG00000029516,1.12929789746446,0,0,0,0,0,0,0
ENSMUSG00000029570,0,0,0,0,0,0,0,0
ENSMUSG00000029622,0,0.94987947343335,1.68571930392117,2.41537646459092,1.17101503201413,0,0,0
ENSMUSG00000029632,1.08690046341802,0,0.936946327819561,0,0,0,0,0
ENSMUSG00000029648,0,0,3.33103536134534,0,0,0,0,0
ENSMUSG00000029723,0,1.49508739361359,0,0,1.73490156136331,1.18163342145694,2.23796725882068,0
ENSMUSG00000029761,0,0,1.44220467028567,0,0,1.23852710116086,0,0
ENSMUSG00000029778,0,0,0,0,0,0,0,0
ENSMUSG00000029810,0,0,0,1.58287751555679,0,0,0,0
ENSMUSG00000030029,0,0,0,0,0,0,1.09734652966159,0
ENSMUSG00000030122,1.15668778654006,0.414661858809058,1.3792764632036,0,0,0,0,0
ENSMUSG00000030235,0,0,1.74778123458288,0,0,0,0,0
ENSMUSG00000030237,0,0,2.52142435252321,0,0,0,0,0
ENSMUSG00000030246,0.615529133518695,0,0,0,0,0,1.54901806297191,0
ENSMUSG00000030287,0,0,0,0,0,0,0,0
ENSMUSG00000030302,1.22340541752008,0,0,0,0,0,0,0
ENSMUSG00000030307,0,0.999185740759965,0,0,0,0,3.78028683269694,0
ENSMUSG00000030310,0,0.947592589460113,0,0,0,0,2.70860482914622,0
ENSMUSG00000030317,0,0,0,0,0,0,1.51946117563736,0
ENSMUSG00000030342,0,0,0,0,0,0.953374099597271,0,0
ENSMUSG00000030413,0,0,1.83038119485836,0,0,0,0,0
ENSMUSG00000030428,0,1.136615218149,0,0,0,0,2.82554445624,0
ENSMUSG00000030495,0,0,0,0,0,0,2.45094559997804,0
ENSMUSG00000030579,0,0,0,3.65967803788275,0,0,0,0
ENSMUSG00000030683,0.772553525010415,1.24567551294883,0,0,1.28205800286228,0,0,0
ENSMUSG00000030685,0,1.26370424557632,0,0,1.71544911563861,0,0,0
ENSMUSG00000030695,1.70486839043276,0.492580785502741,0,0,0,1.18163342145694,0,0
ENSMUSG00000030729,1.49099739755392,0,0,0,0,0,0,0
ENSMUSG00000030844,0,0,0,2.51797777819679,0,0,0,0
ENSMUSG00000031144,2.68621503315486,0,0,0,0,0,0,0
ENSMUSG00000031239,0,0,2.94994624403369,0,0,0,0,0
ENSMUSG00000031342,0.508983891796987,2.99799697220565,0,0,3.09757306079556,2.34405392950779,2.13834693354809,0
ENSMUSG00000031425,3.39500362165698,8.36875893859085,3.2930725877036,2.83598403407941,8.78014898199619,3.43372099420634,3.09379471719594,2.13413514390152
ENSMUSG00000031502,0,0,1.91266431115609,0,0,0,0,0
ENSMUSG00000031503,0,0,2.1450797288265,0,0,0,0,0
ENSMUSG00000031517,2.02831329563226,0,0,0,0,0,1.63062832241652,0
ENSMUSG00000031523,0,0,1.22203716589207,0,0,0,0,0
ENSMUSG00000031610,0,0,0,0,0,0,0,0
ENSMUSG00000031626,0,0,0.749321350313716,0,0,0,0,0
ENSMUSG00000031760,2.09820843394524,0.821607576168048,0,0,0,4.06362621192513,3.37254482921212,0
ENSMUSG00000031762,0,0.682506628937571,0,0,0,1.62955630574509,3.42311973123151,0
ENSMUSG00000031765,0,2.08762524351566,1.41606763145492,0.917301693417017,0.996739803174291,3.60591326269038,5.12660102673868,0
ENSMUSG00000031785,0,0,0,0,0,0,1.92246688091188,0
ENSMUSG00000031799,0,0,1.61497262577031,0,0,0,0,0
