,delta,alpha,gamma,ductal,acinar,beta,unclassified endocrine,co-expression,MHC class II,PSC,endothelial,epsilon,mast,unclassified
LITAF,0.820156731320301,0,0.360697605803508,7.21748045342453,4.71388746378779,0,0,0.644840464412814,7.69097862723633,6.97476840176877,0,0,7.63791347763924,3.43446288272657
LOC728392,5.83848807099936,3.51897960227647,5.60970334074807,0,0,4.86600198795218,0,5.39614051819376,0,0,0,0,0,0.42988980658814
LOXL4,0,7.84069268435918,0,0,0,0,0,3.32456362392971,0.514512363888487,0,0.288679888891724,0.659739816903006,0.971446652885509,0.217669779702545
LRP10,4.15999814220221,5.11806828246624,4.41199811361167,6.80995036525028,5.95635605280031,5.04551670329165,0,5.26471381053887,5.52559508026318,5.91156623964588,5.11434477943897,2.49884990932135,0,2.83644639035728
LSS,1.19232334232926,4.63712016266246,3.94838138280746,4.01181127396259,4.06434387995377,4.39817319501213,0,4.9591619075458,3.4746441946788,2.22676519268856,0,4.51350539803458,0,0
LTBR,4.47134822196125,4.50851580044503,4.9438131970112,5.48278599427572,5.75250371179676,4.64649498846926,0,4.81084497676901,5.60951696985389,6.1985822176475,0,5.47524142649546,0,1.78760175584611
LY6E,0,0.93244634634838,0,5.79150589152405,0.57134562029673,0,0,3.34831111862919,0,5.79813095906152,3.0737514460222,0,0,4.65503111533167
MAFB,5.53208682732631,7.76999651792996,0,0,0,7.60922914628194,0,7.6745972510326,4.6725677020593,3.88264580355266,0,0,0,0.384656577935218
MAL2,4.88963570263669,2.83590533953188,2.38021186280612,6.34098711029409,5.27137432990712,4.14907687826919,0,4.37544189670298,0,0,0,2.55401849187087,0,0
MAP1A,3.80802504924578,1.06968359480485,3.91762608209048,0,0,5.03029062564884,0,4.37003140477066,0,5.84405142436554,0,0,0,6.10415551268482
MAP1B,8.12816793226624,6.48739468402045,7.87245338574839,0.275697926393546,0,7.96130681597003,2.0868437274398,7.80483262718309,0,7.17547400840829,5.56286444956832,7.49659802254571,0,10.4370524270121
MARCKSL1,0,0,3.36070544171859,6.40295514199067,5.41143380482159,0,0,0,2.48502906900018,4.74052062732943,5.46639995295368,4.73269824080854,0,0
MAST1,0,0,0,0,0,0,0,2.11285145856089,0,0,0,0,0,0
MAT2A,4.55470602120067,3.24641779107875,3.57299354676559,6.03192054147519,5.22802427053693,4.74689904417241,0,4.60075591506384,5.35231866996804,5.40359678570976,2.07413951745301,1.45385628893919,6.18150078195012,2.90300389431044
MCL1,3.12595402862088,2.77859003358688,2.30815496690055,6.02558211997035,4.99402172968724,3.60298287284037,0,3.65440355391344,4.90101001895332,5.92278413351648,4.86746102927472,2.36706196590254,0,3.64207545746378
MEG3,0,0,0,0,4.28152226367019,7.30265770175177,0,6.07442992645975,0,4.38083265401404,0,4.35689815860567,0,0
MFSD5,0,0,0,4.61497169110371,3.93524746579297,0,0,2.67316493063808,4.79500965158858,5.10643289789103,0,0.659739816903006,0,0
MIR7-3HG,6.32089725649012,5.62097600725896,5.55028452276939,0,0,5.8290980986009,0,6.13621318011598,0,0,0,0,0,0
MLEC,4.82154529024476,4.36302595793502,4.32890426781896,6.10075094037267,6.42970501836442,3.7433360814912,0,4.62764033851838,5.34023439185827,5.15928761792554,6.14717753671354,4.89187943933529,0,2.52335126861253
MLLT11,0,4.42560184975803,2.34264028117205,0,0,4.07940870257646,0,4.55392886087445,0,2.76156034962042,0,0,0,2.60330919563345
MLXIPL,5.19726183701238,5.10898848588943,5.56521527633158,0,1.0156317906386,6.269451010787,0,6.30130702188228,0,0,0,4.89187943933529,0,0
MMP7,0,0,0,8.84127333084886,0,0,0,0,0,0,0.618889483767685,0,0,0
MSN,0,0,0,5.72598257407167,3.85952326253557,0,0,2.31805141041034,6.77509753969322,6.73071371216117,7.63000006171195,0,7.4211870391488,4.04895686599176
MT2A,2.82629540623806,0,1.20712462076908,3.44827625611732,6.50776527243877,3.02574580648437,0,3.99454677447091,4.77296920581698,5.62825620167249,0,5.09143249372999,0,6.75960830768837
MTUS1,4.31054094706239,0,1.97256887007665,4.97917475175498,6.21002835956966,0,0,3.02825224677577,0,2.73992084946391,0,2.85565924845005,0,0
MUC1,0,0,0,5.427512083124,7.81497766067271,0,0,0,0,0,0,0,0,0
MUC13,0,5.49144257233891,0.359687602395035,4.97937488337439,1.012728913019,0,0,1.93022884675646,0,0,0,4.36850358215637,0,0
MVP,4.49167483094866,3.98024507698652,2.78688829213596,6.69030657271868,6.38590929594183,3.27341278070355,0,4.37875359218355,4.76832705800508,5.89420735530603,5.32005904812643,2.84862367574139,0,7.329179311684
MYD88,0,0,0,4.97226619459798,4.00844509506697,0,0,0,5.69363226485253,4.07508793007962,1.68357984616054,0,0,0
MYO1C,0,2.08053043029939,0,5.48275004767971,5.14401598223023,0,0,2.8676610125449,0,4.94117092040986,0,0,0,2.23571690510533
MYRF,0.863885337114954,2.43124891324976,4.2913498541755,5.45574179600567,4.1121116425572,0,0,1.87420120476823,0,0,0,5.25620952003723,0,0
NCALD,3.04155104652089,4.01569229141784,4.11747078849051,0,0,3.65293313928288,0,4.32357970906676,0,0,0,3.51619830537069,0,0
NDN,3.80576012216022,3.52954367222204,2.39060315419319,2.65139120779184,2.73873794754211,4.90245904284868,0,4.67248208449687,0,5.5511516538848,0,0,0,0
NEAT1,4.38960406045674,4.35506562976982,4.61165086922462,5.8642991274077,6.0533564913945,0.699471656105361,0,4.66387792722812,4.40825042140571,4.30968753449636,4.65991345366963,6.16953930761024,0,3.43832497162383
NEURL1,4.59582600752031,5.36304582537815,6.11455878357502,1.97237808484012,0,4.88312384418479,0,5.31678782466219,0,0,0,2.71562427256182,0,0.217669779702545
NEUROD1,7.12817804314468,6.97421673441061,7.30675542456125,0,0,7.4507958729741,0,7.26462810982544,0,0,0,7.04445072514684,0,0.634192118358588
NFKBIA,1.7539360484316,2.24941676351295,4.23120410835487,6.09163084998746,5.34571335025786,4.16855974161746,0,4.60158811677525,7.55657810317608,5.14713760791151,7.47677503298177,1.73083154463424,6.95877032572508,3.30070951526478
NFKBIZ,0,0,0,5.71439828233964,5.69922165937072,0,0,0,3.26142590362114,0,0,0,0,2.73501093167686
NINJ1,0,0,0,5.48970655336599,4.47641039152499,0,0,1.93584331935921,6.60832996314345,4.46536521322543,0,0,0,2.86572606309415
NPNT,0,4.89058415887651,4.88030947517463,5.32534419878503,0,0,0,1.2708330256168,0,0,0,0,0,0
NPTX2,5.12487513103815,0,0,0,0.52767686613005,7.99940487937945,0,7.28508905880615,0,0,0,0,0,0
NRP1,0,1.30225855619187,0.4771602305853,6.01342290838911,0,0,0,2.52499824949774,5.61853065662413,7.09417825019231,8.3538424313566,0,0,4.03585537256259
NUPR1,0,0,0,4.36724072175761,6.55124146197206,0,0,0,3.00012964993679,7.45667040945725,0,0,0,6.14661421524575
ODC1,4.66821508590687,3.15777879391763,1.12168051293357,5.92363565355573,4.53175299507395,4.26427115574386,0,4.62221693692852,2.22612777209431,0.41860457659684,0.855329068457327,3.28334291751679,0,0
P2RX4,1.65779757740598,4.93009439440009,0.940104264151246,5.44908933463479,5.06849387915993,2.64265870632637,0,4.74905938906425,3.4746441946788,4.13516695569964,0,0,0,4.77018998870689
PACSIN2,1.00008897241653,2.17767071381096,1.63760948090183,5.67961322798704,6.25321076960739,2.12413052929111,0,3.2551580426641,4.62219397308577,3.69276008412299,0,0,0,0.384656577935218
