,NP,TH,NF,PEP
Tomm34,5.51219527584686,5.37587351985015,6.88056309177008,0
Trap1,0,0.377545804127753,6.52772720789343,0
Trib2,3.31633403357513,6.61920756746624,5.39838457648068,0
Trim35,2.87646783270635,0,4.8977728657496,0
Tspan31,5.1904963426054,5.38031386588772,6.38470605612181,0
Tspan5,6.85024935828633,0,0,0
Tspan8,5.51925882275776,0,7.11540785541406,0
Tssc4,0,2.98611963618422,5.74872956650074,0
Ttc1,6.13200096576069,6.47305628923328,7.87252098459166,2.80516861380134
Ttc9,6.00447892017455,3.07508760321096,5.84847271707275,0
Tuba4a,0,0,9.54949590755575,7.33851355532181
Tulp4,5.43289261429288,0,5.82002574772674,0
Txndc9,5.40575415922747,4.81444788285685,5.74098151200394,0
U2af1,6.73998307907973,7.0244748279521,6.98891186495402,0
U2af1l4,4.21839371107679,3.80694266457776,5.72137265947682,0
Ubash3b,6.34221692983321,6.11422124874658,6.29349923796157,4.0765590951316
Ube2o,0,0,6.61360531806338,0
Ubr3,3.35263142218884,5.31574735281814,6.76897825034455,2.65303708059408
Ubr4,5.58634442140406,5.73009646559547,6.9273038981527,0
Ufd1l,6.44246251733423,6.115387046162,6.71177020386319,5.86918048389952
Ufsp2,4.89622340289522,5.58080877863789,6.7273759385949,0
Usp5,5.97374901831106,6.69278983497265,7.5470487505718,2.92611331103744
Utrn,6.72082566608984,0,6.95291593227631,0
Vamp1,6.17260752175225,6.46370418807559,10.5513237480148,4.92964899318668
Vamp4,6.29377510018206,5.71064115129168,5.97615739075988,0
Vapb,8.12437983616298,7.18169891109611,9.13041611795997,5.62208111245931
Vdac2,7.76672765886312,8.19293386982052,8.529157216609,6.68580001974489
Vim,0,2.79422869377118,0,3.5854433189362
Vps41,7.3625575559359,6.7235585614721,8.2340030663556,5.35906428214179
Vta1,5.99052380220464,6.25502856981873,7.04625094027534,0
Wars,0.300709471650097,0,5.68032435684402,0
Wdr12,0.515550988625371,0,6.39910271802698,0
Wsb2,6.5470487505718,3.56657164062676,6.38266725274504,4.44916515681218
Yars,0,0,5.99095486039699,0
Zcchc9,0,0,4.52763338729093,0
Zdhhc18,5.48249337256897,0,5.16514819347611,0
Zdhhc2,6.41662021402778,7.98282249399278,6.26813492392489,0
Zdhhc8,0,0,5.01033228328482,0
Zfp207,3.02486927393595,0,6.00375962936133,0
Zmat3,4.20679948664706,4.49198133018967,6.25821738953602,0
Zmiz1,0,5.72077095534291,4.64125699872677,0
