,NP,TH,NF,PEP
Alcam,0,7.91193121230905,6.32428857590001,0
Aldoc,4.21614440785049,0,7.01066796290185,0
Amph,0,2.60191040927954,7.37399614213124,0
Anapc13,0,2.11466686112179,7.21626083716506,2.53054523492493
Anapc4,2.07563531043439,3.29563487347376,6.55434326566276,0
Ank,6.30202653370515,0,5.19668572296163,0
Ankrd46,7.3290338736608,5.20355356320048,7.6046644151637,6.19207577735372
Ano6,0,6.47380314346546,4.05900910004046,0
Anp32a,0,4.17368712896174,7.23457795978457,3.76617108910985
Ap1ar,7.48534631738809,6.82030662889382,5.18185789889591,0
Ap2a2,7.20906339534927,0,5.04636009064731,6.19207577735372
Ap3b2,6.68636045290369,5.0866139474095,6.64515403137037,0
Aplp1,3.86601776143616,3.34016344331109,6.79856900355688,7.70646148275757
Aqp1,6.01281446491624,6.0015095313634,0,6.87860274151905
Arpc2,6.12250707268573,7.25691629667084,6.60395267610591,0
Asap1,7.08926508388432,8.06371864015225,6.78214642355464,0
Asns,7.56147889150101,5.59818652495918,7.99123838108984,6.72587745912023
Ass1,6.74859540599096,7.45335295377561,0.57757626242456,6.17338731910047
Atp11a,0,6.57322302581669,6.84724530714181,0
Atp1a3,7.47800105583793,6.23697088625934,8.87952198737617,0
Atp2a2,6.16218989130323,3.59347329337305,7.93026424523502,6.35448742351976
Atp2b2,0,6.42805862002151,7.52512925120397,0
Atp6v0e,6.81198471935167,4.33920866255804,5.39296992295715,0
Atp6v1g2,0,6.33517594445264,7.61691636257881,3.9667995846272
Azin1,5.90573597766703,6.98732086592925,7.13154832972926,2.06253621989539
B230208H11Rik,8.55259225418735,8.46638240881356,8.71719658720868,6.35642555908681
Bag3,6.77030048949942,5.46978831761895,7.89554498925339,4.64143042389167
Basp1,7.02436400911417,0,0,6.63539164076898
BC024659,0,1.20407809844905,6.15139207289003,0
Brix1,0,0,5.80012335282653,0
C630004H02Rik,0,0,5.61591649235675,0
Cacnb4,5.88376742418589,5.98748004480962,6.63488363677538,0
Camk2a,7.86666075081999,0,0,0
Camk2d,6.57913488213587,6.64524051264527,6.26671159355128,2.82156736686971
Camk2g,6.03937970045046,0.492868396294791,7.86542397831313,7.33851355532181
Capn2,5.72658602521296,0,6.46985342412381,0
Car2,0,0,7.9979697822671,0
Carhsp1,7.74409380412046,0,0,0
Casz1,1.77749336078496,7.1623913287569,1.73504553263769,0
Cbfb,0,5.90388184573618,7.69724560931936,5.01104830540555
Cbx6,3.62351574149055,6.71561885907482,7.40964550691874,4.60383401878455
Cby1,6.65393419971205,5.89229387146097,7.36325870170799,0.685841499258555
Ccdc115,4.0232553523003,2.27306824165357,5.61350218580652,0
Ccdc141,2.70783396980955,7.33261843365355,3.91762270172628,0
Ccdc28a,4.46015278588095,6.21525147080713,8.37825149853489,0
Ccdc47,7.28438457507067,7.13729858092114,8.0068590127634,4.42001072394195
Ccdc68,2.23456263226579,6.26164363891101,0,0
Ccni,5.94258487899067,5.8481471794618,7.06361079526034,3.36826548293749
Cd44,8.40535423432483,0,0,0
Cd55,9.36616919302051,0,4.82079165850631,0
Cd81,0,7.15694262090889,7.11540785541406,0
Cd99l2,5.78970317205399,5.85706036150608,7.4271871135984,0
Cdadc1,0,4.61694576003866,5.9952357569076,0
Cdk10,0,0,5.88803694681553,0
Cdkn1a,0,8.71613352524624,1.00575926928868,0
Cebpz,1.59239723519794,0,5.61028665708102,0
Chchd3,3.93809756107409,6.2327758608453,6.9246937583865,0
Chd5,0,7.34340782229781,4.25882039687641,0
Chgb,0,0,7.59827586790765,0
Chn1,7.08012465449412,0,7.62519741747553,0.703774036448741
Cir1,7.03858981979453,7.0759604132434,7.42080238163181,0
