d0	d2	d4	d7
Col4a1	0.775060429947011	0	0	1.83093381888351
Cox6a1	2.51702151125288	2.91193032444889	2.53109437909829	2.50703103010641
Cox8a	2.46716821981845	2.6942363201435	2.45621958077618	1.90830816615436
Cp	1.91014598993009	0	0	2.66405847074348
Cpm	2.49323577663577	2.26965361927754	0	2.2001107072019
Cse1l	1.90199698794673	1.66565840209445	0	1.66216270224103
Csrp1	0.942965123874473	0	2.28095619173285	2.67557786415956
Ctbp2	2.05810739164189	2.00102129234644	2.12793810076078	1.04747867176911
Ctla2a	2.26137784313964	2.66823794316081	2.06941309402294	2.00322090881623
Ctnna1	2.01020294671286	2.07539629992814	2.58621738876126	2.51746252496216
Ctsd	2.10984804327801	1.55392822903647	2.32062683060568	2.58369190801953
Ctsl	0.895722295667527	0	2.43013500559757	2.31780988006105
Cux1	1.95569355577518	0	0	1.65952311230393
Cwc22	2.0636441848754	0	0	1.29184352433539
Cxcr2	2.5589722897455	3.17634825551325	2.61407871509708	2.35092149605269
Cyb5r3	1.48107960413767	0	1.94505026766107	1.9782194472808
Cyr61	0.519637686775266	0	1.90353846545231	1.79000818617336
D130017N08Rik	1.84576686579389	0	0	2.10260187201961
D3Ertd254e	2.5842664676179	1.73858365546716	0	2.4768749444553
D430019H16Rik	1.69074956660607	0	0	1.64754523560981
Dcaf17	1.93603114639328	1.65777149228211	0	1.7686920786249
Dctpp1	1.90203549017256	3.25103723153936	2.50857158910757	1.01694481473466
Ddx17	1.94667279232989	1.78021912704491	0	1.94470213535169
Ddx5	2.11585017444033	2.32120233969779	2.50551349730393	2.51901184704333
Ddx55	1.99024673123096	1.94489831501879	0	1.27119554624079
Ddx56	1.54108144774991	0	0	1.67154850009263
Decr2	1.87639513177573	2.3712966036861	0	1.32579847505333
Denr	2.04158338742095	2.5483200804592	1.78808840514792	1.54858665911825
Dgke	2.11981736128194	2.16159751427671	0	1.8795275641815
Dido1	1.84486831000115	0	0	1.74592608572409
Dmd	1.71273517864925	0	0	2.10712732612686
Dnmt3b	1.5912340096914	2.12261809447128	2.45807134571627	1.10215349090574
Dnmt3l	1.85589890056394	3.39823016723337	2.67279869497191	0.899762081360052
Dppa5a	4.6561027814574	5.31455948271577	4.10805545536966	1.02999855321619
Dst	2.48145429059089	1.34865261585329	2.17915128914989	2.69853969748141
Dstn	1.60154143029885	1.77476911179353	2.95204374868097	3.18203693504115
Dus2	1.37821910574554	0	0	2.412191485382
Dusp1	0.550418286076491	0	0	1.64843089497496
Dusp9	0.79918158281063	2.04417034997236	0	2.11132266452974
Dut	1.76756858016003	2.97996243779506	2.82599521189584	0.940123590518587
Dync1h1	1.79404193393959	1.60795532265653	1.90571099877335	2.19749646457795
E130012A19Rik	2.36522886138385	1.96831247041169	0	1.11943101362169
