delta	alpha	gamma	ductal	acinar	beta	unclassified endocrine	co-expression	MHC class II	PSC	endothelial	epsilon	mast	unclassified
CSDE1	6.77600258653715	6.42444448032646	6.52932383246589	7.1999222895136	6.53800869314101	7.54281989786644	2.99221780950136	7.22899984796943	7.32337048597491	7.16666587548396	6.07231273204288	5.93790863290681	7.33068535466669	7.0795152094968
PHGDH	0	0	0	4.82814260091945	4.77985734291316	0	0	0.927387139244595	0	6.75356481099548	0	0	0	0
TXNIP	0	3.64787795568007	5.52470393006544	6.58035211787084	5.15146899248353	0	0	2.39473117360031	4.40825042140571	0.680475785972416	0	5.91453733688306	8.30349877792964	0.217669779702545
S100A10	3.71475710142997	4.99580973003025	5.94334620379529	8.25031285373662	5.24747435871758	0	0	3.76824771812684	5.96853579749563	4.17529295283802	1.72600131986246	5.86902340241667	0	7.97096133322983
S100A6	7.01832632998342	5.72815910392248	6.65016930190005	9.17148327433025	6.82713171241487	5.42723738266959	0	6.38689078291206	6.91354324154207	6.27114522048862	5.28747219282814	8.45201338712424	8.83725815377086	9.49786808450182
S100A16	0	0	0	6.25496868387818	4.47397745616414	0	0	0	0	5.84796926792753	7.43859768713252	0	0	7.56708898374046
JTB	6.40663048147729	6.36097939790314	6.23820865148126	6.31043413343318	6.26455629058848	6.14729714304028	0	6.3875277413838	6.6693266021588	6.5238048648545	4.90536926409558	5.88812279610442	6.3590440107721	5.94451957102301
C1orf43	6.40945664917307	6.28039235387162	5.99336620030937	6.48170081129711	6.11243980673862	7.08176496242398	0	6.80823722416199	6.30164248693591	6.57044028097251	6.88492822499233	7.02154337673432	3.99610122668342	6.77333350746613
MUC1	0	0	0	5.427512083124	7.81497766067271	0	0	0	0	0	0	0	0	0
EFNA1	0	0.384954295872536	0	5.90161590516011	4.90217869653895	0	0	1.31844040595474	0	0	8.68444511081439	0	0	0
SSR2	5.96355844021235	6.67828503757305	5.74730179809019	6.92886510324346	6.8654076076624	6.27795033602468	0	6.3125327968752	5.9997344164409	7.42762936836087	7.15292904090716	5.90519978556625	5.71990293802267	5.74864060870271
TAGLN2	6.2663958940741	6.43293013298494	5.51428449150209	8.66051335242572	8.29199193021458	5.9801078135106	0	6.26147710572037	7.56633346660484	7.60101228007244	6.99791225720544	6.40749836392433	7.16188020310059	6.66929554490117
RGS4	0	6.82078620537516	5.87591635334043	0	0	0	0	5.23055020580979	0.514512363888487	0.826822900531379	0	0.750195609383827	0	0.42988980658814
TMEM9	5.3953344143449	6.63849887003914	5.67094120834061	6.2920384369635	5.70243909413565	5.73026403603723	0	6.25919634350919	3.98882352405768	5.25673253049174	1.77693660147865	4.0257519439858	0	3.26631087119968
LAD1	0	0	0	6.87986384716415	5.11272986563301	0	0	0	0	0	0	0	0	0
BTG2	1.54885341240336	4.21992811829662	4.83609566773432	4.20622330471724	5.88615391510668	0	0	4.14709308076257	4.40102059304688	0	0	0	6.74767696049226	0
PIGR	0	0	0	7.24526584618123	4.98941445986687	0	0	0	0	0	0	0	0	0
CD46	6.78993858686899	7.48403344978909	6.58324593207585	7.14940495894632	5.80431614415107	7.40434684762966	0	7.32740286580861	6.08422906218108	6.15909273954709	7.30171141770176	7.21902282762199	2.54975027116788	4.40135566938382
LAMB3	0	0	0	5.95127560306013	2.30934468480378	0	0	0	0	0	0	0	0	0
NENF	5.65978171077463	6.44643196922192	5.99268918410687	5.16284778042928	4.5599963142089	6.05394370640415	0	6.48375109953525	4.55679330865686	5.05891161871415	0	2.34826790312685	0.917459484812929	0
ARF1	7.55503707214831	7.75764698335662	7.74853769198376	7.98029067474102	7.57304319648672	7.86301018081638	2.77285741657007	7.89287021501834	7.90101435845785	8.22485677998383	8.12327411108765	7.00860069345908	7.84046619122537	7.26952485823258
GUK1	6.54310353304837	6.98083777354507	6.68589993193001	6.62900021164957	6.7298533178604	6.91866282366982	3.0943616155036	7.21435362281525	5.83544831142514	6.70013352339893	6.56892154522099	7.17606431463225	7.29140592113933	4.03230882786296
AGT	0	3.52596186832088	0	6.13048163163862	2.93644543565156	0	0	3.88210157758492	0	2.29843601112542	0	1.16916701888942	0	3.52427853114136
ERO1LB	7.28676481386823	7.18591542327158	7.21311783779566	0.246377964713	4.78012420485492	8.73951354060415	3.31646260234792	8.35419837763988	1.19253105907491	0.598003580521086	0.315261615525287	0	0.871806429208249	5.41784013880629
TMBIM1	5.16489527147046	5.53060372639737	5.20868326226956	8.13805003977967	7.84574846993537	4.95698636266827	0	5.50031000271635	5.85849971706105	6.45262012083363	3.83048583960382	5.58674794136302	7.1736012893263	3.5375900417326
ITM2C	7.02415109770323	6.88839266291644	7.6574046449414	6.66605708365491	5.03046890158831	6.33066331631074	0	6.88042842022778	4.79030529312805	6.04690650224651	0	8.29383464677851	7.86837968281941	5.67647645343338
HDLBP	6.44047855847379	6.84117384000004	6.63368342630368	6.70602821693776	7.15518710410569	6.94909918283994	2.36035248450364	6.81123460380341	6.34490430632483	7.78059106472741	5.80133862960553	6.09668735876751	0.871806429208249	7.45996618411518
ANXA4	0.742020397551401	4.11781436337657	1.90075244476518	9.86647132565144	7.52141519796077	0	1.48152501786876	3.38745118779735	4.93444175507253	4.2885901848618	2.57739895297686	1.62267143420738	2.4446489180307	0.217669779702545
TMEM37	4.03118616711738	0	0	5.6886085268832	2.32356591213825	6.34785648522194	0	5.64096015762557	0	0	0	0	0	0
FAP	0	6.24887525963434	0	0	0	0	0	4.58031731934731	0	7.77887897678253	0	0	0	0
RAMP1	0	0	0	4.8294840227425	6.81000105735845	0	0	0	0	2.03822471656403	0	0	0	0
KIF1A	5.78110276770594	6.06201600389668	6.05605996604375	0	5.00241899961157	6.15659929600876	0	6.28556804171381	0	0	0	5.25279387298061	0	0
ID2	4.50967535225523	1.55545784969322	7.42393468528658	6.37460921692701	4.20854717972053	2.41077541952869	0	4.08711612064838	5.91900895870592	0	7.44385853007441	4.14041698146306	3.47098721818722	1.27895822210151
YWHAQ	6.41862985242861	6.50159928565341	6.46745112529196	7.20903632110059	6.29109377043786	7.71840937985976	2.36035248450364	7.09092922594282	5.86840287398788	7.05509603677587	7.24426270692928	7.85433512505241	5.86215242605196	7.74071512197984
QPCT	7.56483827025158	7.89494499053479	8.0192534910223	3.77252787449477	0	7.59361706839729	3.37074859354529	7.68284617707762	0	0	0.80429283961946	6.65554460332642	4.95017159460121	5.33172596178218
SLC3A1	0	0	0	6.82534892808964	0	0	0	0	0	0	0	0	0	0
CALM2	8.57910676992928	8.37385980665249	8.76844607985905	8.76927290758269	7.40931656957639	9.00124911893974	3.60979939651445	8.36878501117771	7.81392870312082	7.89144648127348	8.29232375558871	9.24086204482143	8.11744606529264	8.75398655772657
EPCAM	7.62010825787554	7.70022170142629	7.61080944969052	8.41237627130722	7.30010280011267	8.01872596867738	4.67030445840352	7.80245837878201	0.514512363888487	0	0	8.52594846824217	0	0.647559586290685
RTN4	7.80259150275849	6.84301373675549	7.46623952793361	7.22897522406501	5.84808762536637	7.54318596826723	2.68045986293578	7.66914874974694	6.53219598690978	7.28939644984687	6.72277930825928	7.98444511503816	2.28814097978984	2.56916078020776
PCBP1	6.48314676686435	6.62788572745439	6.35958214589701	7.73707383701465	7.66695785477144	7.08296478709711	0	6.95740536205435	7.7063248749679	7.62707191255755	6.33426123818119	7.33631873962447	4.95898372316849	1.95772041421741
REG1A	0	0.177878808495219	0.791125685172571	5.67989050119694	14.6943032101192	0.714859710453542	5.16162377402982	0	0.940874298674643	0.941104464862936	0	0.828136857108187	2.18749704622567	0
REG3A	0	0	0	1.42093235113049	12.4082419041775	0	2.52854189139459	0	0	0.466277873966297	0	0.762218536446506	0	0
REG1B	0	0	0	0	12.4456600766519	0	0	0	0	0	0	0	0	0
G6PC2	0	6.32286054652292	5.49697213183263	0	0	9.47949520320927	2.24370726055745	9.0175296653083	0	0	0	0	0.871806429208249	0.520161191679019
ATP5G3	6.47619073759409	6.78662303927265	6.27519267827716	7.65510204194497	6.62281550524437	7.07523213616981	0	7.03987295638288	7.17719690538705	7.28084990092815	4.84657754805307	6.83311835768437	7.2616937971555	7.1045693451624
NEUROD1	7.12817804314468	6.97421673441061	7.30675542456125	0	0	7.4507958729741	0	7.26462810982544	0	0	0	7.04445072514684	0	0.634192118358589
IGFBP2	0	5.58414278173476	0	0	7.58581129527532	0	0	3.46409675654538	0	0	0	4.02805017331962	0	0
FEV	0	4.88585881819459	4.65736300099104	0	0	0	0	3.46236379948222	0	0	0	0	0	0
CRYBA2	2.98708775743507	8.61532318212616	5.2362557436518	0	0	4.20273490323618	2.72097845960279	7.10116381895705	0	0	0	0	0.565989864314855	0.384656577935218
PTPRN	8.95546528483684	8.83535416804128	8.6910469817115	0	0.19901427442516	9.13091362600681	4.69881890583365	9.27794172619052	0	0.466277873966297	0	8.02978533217746	0.565989864314855	0.814546384523358
SCG2	6.48791583116126	9.28100393606059	10.1817583546588	0	0	8.15589557632324	2.84285366633375	8.80037648923687	0	7.35545909133454	1.25734194458715	7.48387580528249	1.96834792052984	4.17594258154302
SERPINE2	0	5.86027795371169	2.05810013052687	0	0	0	0	4.10686969737658	0	6.82059632061592	0	5.20740315494231	0	6.64913596114051
KCNMB2	3.6802323296882	5.11804646823018	5.99733262320378	0	0	3.93438619445569	0	4.91831792875583	0	0	0	0	0	0
RHOA	6.77090286765877	7.41488305116892	7.43557901976692	7.78680648092969	7.15388869419197	7.17424448371542	2.50388153096589	7.31383854599152	8.37979505321334	7.93592130061512	8.0488842461843	7.29423977888784	7.39120288871073	8.77948074610978
CD200	4.72385875390902	4.73223495789584	5.40399439476945	0	0	5.62951356083298	0	5.38509960917794	0	0	4.79663418381604	0	0	0.217669779702545
MUC13	0	5.49144257233891	0.359687602395035	4.97937488337439	1.012728913019	0	0	1.93022884675646	0	0	0	4.36850358215637	0	0
PFN2	7.11352377719083	6.99432233804114	5.37192707659861	4.90014998879126	3.67535485834808	8.05025432115437	2.42397737719072	7.58763471034084	0	5.3082656878591	0	6.68499986534998	0.565989864314855	3.17266470862495
TNFSF10	1.47431490451736	3.7784546874936	0	6.80363646674915	4.39806380808109	0	0	2.58092406143942	0	0	0	0	5.88908287520755	0
LAMB2	0	0	0	5.36033525344867	4.79970832813657	0	0	0	0	5.49636046919178	0	0	0	5.89395172454802
TKT	5.16216115298874	5.07508399969578	4.24717768122953	6.48088729512885	7.0524658109632	6.0637283473169	0	5.61092601537125	7.09923528838734	7.1540573714249	0.555877441158076	0	1.55686180754533	0
FSTL1	0	0	0	5.17056707469675	0	0	0	0	0	8.02802597341878	6.87626054441933	0	0	2.80906673207226
CASR	6.21774023614402	0	0	0	0	6.2863993787649	0	5.39305619091923	0	0	0	0	0	0
SEC61A1	5.61824946742904	5.57866238370468	5.63672983700869	6.20339753363949	6.71950956044724	6.5058262302906	0	6.26147710572037	4.74154006767413	7.52757105321142	0.779929173665764	5.99426111000103	0	7.03662273398858
RPN1	6.17575468971951	6.05551000069241	6.02935739747942	7.41835810847725	7.33747505390683	6.79542059759125	0	6.63925158954141	6.81584353245468	7.70978401947851	7.12781263038255	6.41814993497727	1.47382462449728	5.96996975262774
CNBP	6.92723443060179	6.79948559600369	7.24571020598518	7.12835045632077	7.09263186086626	7.94349666958808	2.7839119646187	7.572017976998	7.16543106980481	7.58678556863444	7.8604324451813	7.49277725026675	8.73606924113711	8.06849848843446
RBP1	6.41924164026717	4.96839572606933	6.54390187503369	7.92606656096902	5.92388804932511	5.91398694892501	0	5.8821281888038	1.45952591065589	6.44270230670548	4.98886198800532	7.78768449754762	0	0.42988980658814
CPB1	0	0	0	0	8.64395651429965	0	0	0	0	0	0	0	0	0
TM4SF1	0	0	0	8.01247418634013	7.67434499125956	0	0	0	0	0	7.29530831604553	0	0	0
TM4SF4	6.49097684428109	10.3976638539643	9.83761201221337	5.18682532714281	1.05403371850433	1.54493823506058	3.75735396225988	8.03845620674987	0	0.949794303729109	1.95304959408469	10.8107593714763	2.66062708780273	1.24912934031542
VWA5B2	3.75012434452122	4.79407516496683	5.37596349941372	0	0	0	0	4.10671758548184	0	0	0	4.70687677806644	0	0.217669779702545
CLDN1	0	0	0	7.64794739352021	5.90904972796733	0	0	0	0	0	0	0	0	0
MUC20	0	0	0	6.62488900913686	2.98200280490418	0	0	0	0	0	0	0	0	0
WFS1	5.98106802817721	6.96062499290293	6.60958331813468	2.27379396292598	3.109361979073	7.06704913404265	1.6170534739478	6.80764569713929	0	3.39583836525486	0.664753491679226	6.26656780073886	0	1.4024288684565
SLC4A4	1.35232594266092	0	2.00656617707767	7.57661387275165	3.35374814205043	0	0	0	0	0	0	0	0	0
SEL1L3	0	0	0	6.2947070339058	5.61854363939397	0	0	0	0	0	0	0	0	1.59669748129965
IGFBP7	1.90423732025469	6.73938749477138	6.06042337228785	8.76301629823947	0	3.98948272845546	0	5.62507984622392	0.906959743691396	10.0514343031684	8.69745420752512	0	0	3.76424375982063
