Vip	L4	L2/3	L2	Pvalb	Ndnf	L5a	SMC	Glia	L5	Endothelial	Sst	L6b	Sncg	Igtp	L5b	L6a	L6
4933433P14Rik	6.99821721722444	9.25657061065023	8.93468548252213	9.53074470559196	9.53312940429709	7.73232216265932	9.02391248294529	0	0	8.62720079280134	0	9.23227638089654	9.30518181231745	1.52205624389154	0.258713586487415	10.226645365511	9.43786466702407	8.91803695271725
5430417L22Rik	10.2935636008026	10.0271703621197	11.0974075942585	10.4929599462105	10.9633946916461	10.8463156980434	10.3843963294616	0	1.32977462787123	9.49011979024184	0	10.4406491590274	10.8071710543176	10.5781511211455	10.9277535912545	10.7810949409329	10.6934398607404	9.71582052576087
6330403K07Rik	9.72556597674882	10.0641561402929	9.44725500376745	9.92901646354828	0	8.57247418177852	10.1792220960405	0	0	9.76794108089951	0	10.7968044500426	9.58253389086391	8.32389510663946	5.11076008878837	7.71783985198926	9.10562560851392	9.803165858628
A030009H04Rik	10.1147800303272	10.0411337880411	9.49339273951321	9.46288398955413	10.5969625062248	10.1331011506443	9.77101065518131	0	0	10.4456144067075	0	10.3837275877785	9.42345425661458	10.3164955160168	9.46723914846367	9.95987659728842	9.35085801277653	8.95129878357427
A330076H08Rik	9.56728812409932	7.36723315338247	1.28833695400216	8.51335425914877	9.27001359897926	9.32700317993731	8.44010616630811	0	0	8.33823971909097	0	9.52085987774526	8.88240340158411	8.42040114354348	9.24266532562459	6.73571213263678	9.10011976835044	9.15875316894306
A830010M20Rik	7.45389101271066	11.2403640235217	11.1347767350188	10.3608975648427	10.3673141442496	9.51343587688862	10.3523751847895	0	0	11.2810758149658	0	9.27665907759407	11.3844515659953	6.55139786079296	8.20394316636111	10.2883285900445	11.1607459072749	10.8602248212736
AI593442	11.3794077916837	13.6783468106363	13.5099412595302	11.89140529943	13.0201197453967	11.9928498994313	11.7899215502016	0	0	13.0839713770341	0	11.500006762539	9.74707441334696	10.0570453320572	11.9786750104446	13.0189610853471	12.5020013555915	11.9111417238373
AW209491	9.48629359053826	8.28197176106881	8.99237826801772	6.10120436184543	9.84257392637054	9.55436779229478	9.0776598148279	0	0	9.43689536166845	0	9.57516566525878	9.34287812255607	8.66847862877939	7.67217191131941	9.45065839190587	9.20454138928288	8.93243965490094
Abat	9.45751370399376	0	1.91136698365606	6.58616060534914	11.1081898473775	10.3674995836857	3.24992337839942	0	0	0.372899086433722	0	10.5479640199979	9.02724908304695	11.9491472925487	10.5806896875106	9.523820723097	6.78609140817372	1.95640885263228
Abcf2	9.32055845813615	9.94350281907183	9.92232689922578	9.95232374417234	9.89155592354599	9.67283724530666	10.0408022804696	0	0	9.82622657959713	0	9.82509274298062	10.0331974559597	9.34971686408477	9.80610736784016	9.8665085375642	10.1315872696652	9.79161191885576
