A549	GM12878_B1	H1437	HCT116	IMR90	H1_B1	K562	GM12878_B2	H1_B2
OAT	9.94056473336711	0	6.2606722884072	10.025416468011	0	9.29896626871823	8.77444026968477	2.73097963363157	9.80789659263311
MCM10	0	0	7.50572190766566	8.19691898917379	0	7.65501324484065	7.52722673913335	5.49971410654872	7.19556452921099
FAM107B	9.03062279331242	0	0	3.82524322221417	0	2.28147793417179	0	8.39969063736214	4.09438857507439
ASPM	0	0	7.59696000811427	8.15385310474678	0	8.88049663697171	7.47028956017765	7.1245965226957	8.61069092106217
IDI1	3.72067336942773	6.38681282194442	4.98649229903535	8.39641424749455	0	9.20822993006516	8.65522147572668	8.78100336802387	8.96344281560997
PFN2	8.33164115950844	1.03118470262323	7.81067988632892	9.97840871498702	10.9783234645398	8.59206314868289	0	4.2954180057053	9.18789854546264
C16orf80	0	0	3.04877072725513	8.35944591808834	0	6.70933261251273	7.1344166428363	5.95060108022337	7.05574786445184
WDR1	0	2.25138837079643	0	8.29595076707529	7.69456911860473	7.80917954348153	6.70103753425712	8.62386961488847	8.19305899399214
RDH11	5.8110941853357	0	5.83641145386673	9.0439941180943	0	9.36490518878898	8.00659318698813	8.54441051767509	9.68147794502981
TFRC	0	7.65895024421048	6.51363844025404	10.730209852818	0	7.32108406451956	10.8462384632351	10.6822310165825	9.11358255864689
HMMR	0	0	1.96902599351685	8.14342888379038	0	7.48975501543326	7.52660987330336	7.06751267620887	7.98740060866671
ST6GAL1	0	8.38124053163499	0	0	0	6.10002821873508	5.10016381807523	9.26940337269367	6.87987556277415
PTPLAD1	8.84089972550209	0	7.53519293797254	9.14915040649476	0	8.99901330726061	8.62836343556803	8.12119139309178	9.62807160098881
SEMA3A	3.6323089471975	0	0	0	0	9.0838292943949	0	0	8.81538455870661
MCM6	0	0	5.64286793603646	8.45635490887018	0	8.24924067874864	7.67499572855409	7.76797375735174	8.21348902396065
REXO2	0	0	6.3954731848391	8.54899428727756	8.07003832023133	8.77418596086766	8.52096147676007	4.97534470313625	8.49795467154678
MLH1	2.62268859099465	0	0	4.3267699296278	0	6.06536201325045	8.10196544296057	8.89404906528342	7.79072158936807
SPAG5	0	0	4.15151495694676	8.40027069944702	0	7.23066039118196	5.71868960441464	7.93390204900431	8.22684630206857
UBE2T	0	0	7.65488876993048	9.09075023356311	0	7.71851172132637	8.18626161854946	6.93791614051179	8.35462716982659
C12orf5	3.88336718686232	0	0	7.60833678947581	0	5.25663882180875	0	8.62760197171021	7.43194980314692
ITM2A	0	0	0	0	0	6.21991480586834	3.69802944567964	7.33134114994794	7.071458599888
FDFT1	4.54637404008885	4.3105883149405	6.07782309427969	9.46969866688754	4.33928540309658	10.8598634912566	10.0459779885374	9.81239669402945	11.1356326478595
KIF22	0	0	3.84341093023929	8.61692530970573	0	7.53365416211667	7.57042304510688	6.74354701190007	8.00926431191424
LRRC16A	6.23281196926424	0	3.61084362901577	7.54005037083034	0	8.50759075390349	0	7.05462808173807	8.61968493422434
SMARCA2	0	7.54566175440866	0	0	2.09501525210481	0	4.13492548534119	9.40950282931884	1.0427618930323
CLDND1	5.27188554372737	4.90196444926777	3.61210533030376	9.84055205278802	0	5.93963037761629	6.04122304574707	8.07711565222211	8.67852045638564
MEF2C	0	9.23040220280944	0	0.996748749429224	0	0	8.19180862757205	9.9684634733824	0
FAT1	6.57866020346186	0	0	9.04961967432707	3.76075929422661	8.03035596481705	2.30592134986318	0	6.90951281432696
CTTN	9.4752525713973	2.07423233235468	5.33741298654984	11.5205992419188	11.392083331689	10.6935974859694	9.6585657389002	7.05188650103156	10.4530535283787
ORC1	0	0	3.49637721393289	7.60360416329798	0	6.66988389862398	7.4786090996367	6.25236714331086	8.21490312929757
SEPHS1	0	0	0	5.85414789330466	0	10.1627362339702	4.40111992113077	6.2645898889504	9.01722021335234
