bipolar	unknown	amacrine	muller	rods	cones
Lrtm1	1.45022222380822	0.958622502145517	0	0	0	0
Lsamp	0	0	0	0.700458733072636	0	0
Lyve1	0	0	0	0	0	0
Macf1	0.855126700616464	0	0	0	0	0
Map1b	0	0	0	0	1.36830563311977	1.54414175231497
Map4	1.30693058411649	0.560938309347273	0	0	0	0
Map7	0	0	0	0	0	0
Map7d2	0	0	0	0	0	0
Marcks	0	0	1.08354771190582	1.39268027794399	0	0
Meg3	1.9232005838567	1.46031726136718	2.88783291964963	0	0	0
Meis2	0	0	0	0	0	0
Mfge8	0	0	0	2.1850054734043	0	0
Mir124-2hg	1.48406302734769	1.06804573277786	0	0	1.36934633309438	1.03358452332465
Mphosph8	0	0	0	0	0	0
Mt1	0	0	0	1.06375544788393	0	0
Mt2	0	0	0	0	0	0
Mtdh	0	0	0	0	0	0
Mycbp2	0	0	0	0	0	0
Myo10	0	0	0	0	0	0
Myo5a	0	0	0	0	0	0
Nap1l5	1.14198280401252	0	1.02050698006559	0	0	0
Napb	0	0	0.336844329643451	0	0	0
Nars	0	0	0.543915112296097	0	0	0
Ncald	0	0	0	0	0	0
Ncam1	0	0.783786088766704	0.905245343384583	1.54762215750455	0	0
Ncl	1.25029062798425	1.08366817918547	1.30929601446351	0	0	1.48839712897468
Ncor1	0	0	0	0	0	0
Ndnf	0	0	0	0	0	0
Ndrg2	0	0	0	1.08557507779744	0	0
Neurod1	0.937960639713475	0.526430093178647	0	0	1.53018655266208	1.44728822701683
Neurod4	1.18391301399209	0	0	0	0	0
Nfia	0	0	0	0	0	0
Nipbl	0	0	0	0	0	0
Nktr	0	0	0	0	0	0
Nme1	1.59143314159203	0.878678753734474	0	0	0	0
Nnat	0	0	0	0	0	0
Nop58	0	0	0	0	0	0
Nrep	1.03527834773847	0.455204490648566	0.799545108453894	0	0	0
Nrsn1	0	0	0.546512934167544	0	0	0
Nrxn3	0.838390754532707	0	0.491119902358011	0	0	0
Nsd1	0	0	0	0	0	0
Nsf	1.14056820848313	0	0.774570085347646	0	0	0.454793186219997
Ntm	0	0	0	0	0	0
Ntng1	0	0	0	0	0	0
Nucks1	0	0	0.397308235612896	0	0	0
Nudt4	0	0	0	1.34083413353882	0	0
Ogfrl1	0	0	0	0	0	0
Otor	0	0	0	0	0	0
Otx2	1.3133259460352	0.86256811610915	0	0	0	0
Pafah1b1	0	0	0.717397131438846	0	0	0
Pak3	0	0	0	0.977683946276449	0	0
Pax6	0	0	1.23059640594452	0.821598896184304	0	0
Pbrm1	0	0	0	0	0	0
Pcdh17	0	0	0	0	0	0
Pcdh9	0	0	0	0	0	0
Pclo	0	0	0	0	0	0
Pcm1	0	0	0	0	0	0
Pcp2	3.32719961378803	1.95448184056597	0	0	0	0
Pcp4	2.20367776449316	0.382521319088365	0.357109860700094	0	0	0
Pcp4l1	0	0	0	0	0	0
Pdap1	0	0	0	0	0	0
Pdcd4	0	0	0	0.867736930544754	0	0
Pde1c	0	0	0	0	0	0
Pde6g	0	0	0	0	3.7633455395331	2.87292160438184
Pdpn	0	0	0	1.12696649765691	0	0
Pgm2l1	0	0	0	0	0	0
Phf14	0	0	0	0	0	0
Phf3	0	0	0	0	0	0
Phip	0	0	0	0	0	0
Phyhipl	0	0	0	0	0	0
Pik3r3	0	0	0	0	0	0
Platr17	0	0	0	0	0	0.458264360558797
Plcb4	0	0	0	0	0	0
Pnmal2	0	0	0.96327621950892	0	0	0
Pnn	1.34784226908775	1.24304518565716	1.1682797241979	0	0	1.3320415341137
Ppap2b	0	0	0	1.08748901467941	0	0
Ppig	0	0	0	0	0	0
Ppp2r5e	0	0	0	0	0	0
Ppp3ca	0	0	0	0.743792007230775	0	0
Prdm8	0	0	0	0	0	0
Prdx6	0	0	0	1.85932921056158	0	0
Prkca	0	0	0	0	0	0
Prkce	0	0	0	0	0	0
Prox1	1.13862917423877	0.625105820179552	0	0	0	0
Prpf38b	0	0	0	0	0	0
Prpf40a	0	0	0	0	0	0
Prpf4b	0	0	0	0	0	0
Prph2	0	0	0	0	3.64563063971702	2.04647779983646
Prrc2c	0	0	0.642725720376849	0	0	0
Ptn	0	0	0	2.04850592560906	0	0
