MPP	LTHSC	LMPP	STHSC	Unknown	ESLAM	GMP	MEP	CMP
Tubgcp2	1.68765871590227	1.76978630609236	1.77376691618973	2.16126407633281	1.67113845047616	2.31617080232936	3.38374646636715	5.36279114190765	1.74087575708495
Mau2	3.09977670272052	2.65671266742551	2.98407993109226	3.33508510420963	3.00488406879939	2.1644910478479	3.84951430663089	6.83890264899736	3.98132005193318
Tbc1d20	2.89241656921029	2.44481542954916	2.48100859396149	2.41885411402475	2.34704257935903	2.44343138192948	2.95525342883888	5.49098176383755	2.09076802821481
Mast3	3.54765752860318	2.76180108615296	4.84817143133817	2.68327566174883	2.29550682752785	2.58544545771083	5.18652967337927	3.43494268769259	4.17077831954362
Mfsd1	2.97757508415891	2.69033588622446	2.93528602030933	2.25713756489206	3.46060682871815	2.15987170344089	6.38096968870132	6.72184544675013	5.00647487847356
Zfp110	1.58030348054184	1.8566500957293	1.54352043461372	0.868359352886127	2.03670811604105	2.47752858792263	3.30558611331618	3.69414195866206	1.48640065796447
Ddhd2	5.33226423529775	4.1683400172027	4.16413156002915	3.38339406132797	3.66085875502052	7.74835944848503	5.84534697067984	6.53075732792201	4.7746734455007
Abtb1	1.31005392005914	1.20235225989479	1.42369408426235	1.06364801990077	1.46988635162321	5.14080557822817	2.05679378487541	3.90543008702099	1.44932061999183
Pwp2	1.35884606105253	1.30751003547369	0.934586405336061	1.35262916342651	0.876915340161958	0.52089606446165	1.56334304480244	6.00724217144258	1.39403957722273
Rnf14	2.69002420600952	2.86538991481194	2.80358500801003	2.98789623456101	3.98299921696121	2.82074839623087	1.81685367347343	5.6911988441165	2.00643239685838
Mfge8	5.81396760575636	3.17509895087455	6.4155296551231	2.46047709600589	4.95547040264612	2.40766300557897	2.68552945319684	1.11603043695303	4.83522610323068
Oas1a	3.53006614880386	3.42661297084117	5.69836434058242	2.11748843532554	3.56846339802579	2.24506454717249	3.62904636768341	2.79862442622056	2.25696646160384
Pacsin2	2.41152369530224	2.64231223248969	2.30537400250695	2.63104533532181	3.04709354456125	3.15843075349702	3.78650670437492	7.52971365733399	3.14943692890358
Dis3l2	1.6673687911455	1.83487029814843	1.49143100068963	1.03717927320921	1.37701215856967	0.87898117084115	1.38126240255443	4.23042296766034	1.33143992239802
Zfp367	1.86451205855059	1.41793452065604	1.92569644249705	1.86925947178556	1.46170311251998	1.43824629471488	4.02509531980928	4.93338828634754	2.24550243591837
Colgalt1	4.47614842624927	3.1607011125355	3.70530621558775	3.64196357558168	5.41117238354815	8.62001790571166	7.05269656497354	6.925944378677	5.89173762345195
Hmg20a	3.08857400387235	3.79059819980268	5.3952433439051	4.27548863800314	2.89233584086784	4.97651978221575	3.29691937581881	5.31088122015895	3.51559912900089
Rab32	3.12816612212028	2.32994213479061	2.64899617743801	2.13263684700443	3.31818903723313	6.70245223186302	6.87844919283308	1.26588066961543	3.01540703516313
Snhg5	6.55704185470509	5.82808049135621	6.87399974573318	4.2491749661223	3.85071076906847	4.08702636531573	7.27989199379539	8.84976649197284	7.43132617218751
Dusp2	6.71064287740265	4.46231934139858	7.43133318209357	7.37756931637111	6.21678790990173	5.07987397536038	5.74249176413953	1.67387064690105	4.61994462254346
Cln5	1.76432441005639	1.8035747606308	1.90470345006024	1.40305157598032	2.48545789620456	0.618036009568955	4.50865574773171	2.83599151436939	2.40476273580371
Igkc	3.17270907171217	4.34696984837558	3.32986823833483	4.3178694302265	5.25075363372352	2.33338218614186	2.50253512635704	2.91091653026549	3.14323041964148
Vps39	2.32097256288656	3.10923409416522	2.30529250992713	4.96545375088009	2.40507293148498	1.78962699601002	3.25093696213213	3.45468285976885	2.05844895426034
Tubgcp3	1.88604305695506	2.37804588068854	1.77832313779179	2.66255147061432	1.76821997332137	2.03415343209756	3.76476906770888	6.74983555990496	2.80914524206877
Sppl2b	1.76432441005639	1.94463403352079	1.61216812407163	1.78893703574332	1.60166893490032	1.45493233085591	2.02945540154148	7.95510141614371	2.30193536540361
Elp3	2.39162583610488	2.70953231166434	2.62815130126554	2.76284363385814	2.3646609426543	2.10566884274006	2.60710643786799	6.15416889891974	3.80550048456637
Atg12	2.90856172645246	2.27375255722258	3.05652485708976	2.44792341382687	2.06553326647524	2.47752858792263	5.48812693355553	5.4087714427582	3.13561408764145
Map2k5	2.11400556512616	1.94463403352079	2.25552257020062	1.94720542397848	2.15150824214927	4.07246726622783	3.47617615449288	2.01660330958731	3.37141012881483
Ppme1	2.30416688106119	2.39162970533885	2.54102720271952	1.95475052141118	2.33200867714829	5.96487066983715	2.48912762918598	4.17887006776207	1.99227297182018
Tcn2	2.11895160410063	1.45599986011329	2.26130084853533	2.06274612894488	1.44360690388505	0.83689632128695	5.78617484212447	0.908377099919262	2.04783562683191
Uba3	2.56615025053688	2.83912154756839	2.17672627853409	2.5048639485231	2.54352747280234	1.263585440971	4.37084858390662	6.92321860579271	2.85008769528659
Cnot10	3.10004047699484	3.45350185942675	2.82956806115142	3.24067996522656	2.89749037530858	5.24875528463942	4.66919790666896	6.63148678289671	3.91872501270379
Nup107	2.07348161343731	2.13922923452831	1.99786548425141	1.2068543154858	2.0769891984026	2.29470684119184	5.93852886075855	7.16477180047572	3.78256314878033
Mettl7a1	2.55605300284925	4.24857740533804	3.35932562759108	6.62879752911649	4.9614236344883	4.31476554174139	3.61787712418883	2.90929863248896	1.86957846583522
Atp13a1	2.68918712462522	2.7329629805251	3.04255807558688	2.47926995945978	2.24462663700787	5.59279136649085	6.60071426904376	7.15619145718803	4.77402426267044
Ctsl	2.28660467047501	2.86134118461516	1.8396801755842	2.38744151243034	6.64381276227822	4.77603428468367	1.07304139443999	5.39141474125423	1.12201936830568
Orc6	3.17607072995543	2.49158634307981	3.16422641517446	3.10229846096697	2.50806297346405	2.97057412037613	6.72042239379349	8.19905272355933	6.05860380121675
Heatr5a	3.29923783888998	3.04724014706829	2.14613702378578	2.90074319709575	2.80566711721923	6.76711099219431	4.98264368820442	6.74521275705191	5.67144476554215
Rfesd	1.40713826551073	1.6790118967536	1.24120308664383	1.45662639048534	1.57797750761448	1.51309926603199	1.46781296944804	7.19341965078855	1.31722594268201
Slc18a2	3.14068290016081	4.48785940381193	1.71783788724664	3.2642069024202	6.5892521680649	6.23207242970215	2.41526105778463	2.67421681526625	3.97930057287049
E2f6	1.97429207255262	2.27827918523242	1.97670946258761	1.42625333150851	1.34689198207953	3.15843075349702	2.69511814730974	5.93803722631493	1.68486062379701
Ybx3	4.57896620047356	3.23006524288463	4.74946703270417	4.03928269965394	2.75479643382763	0.87898117084115	7.62655257273538	8.5085049972594	6.88590944635966
Abcf3	1.68051177312854	2.88238341890485	1.58468058091368	2.00480448567616	1.82838725102757	6.31383224246969	1.45850144805976	5.05944548017833	1.64647559030064
Zfp869	1.02458218769045	1.43190294461854	1.39348509772487	0.719614647444202	1.56376152376437	7.64841575214487	1.05481933134388	1.31598248502184	0.870018456508668
Rprd1b	3.11515252537235	2.81723467283494	3.14031819126795	3.22050771680146	2.91377863924378	4.66860602279595	5.85159420535892	7.09166667152085	5.27715245105429
Casp3	1.77205786077787	1.87864920094632	1.96403658433328	2.43188839630078	1.37348065931115	0.82021028514592	1.91110117903734	7.66420143425204	2.14597122642227
Gclc	1.77804213808641	1.58121560926545	1.69090947005831	1.79499763696274	1.3563632283184	2.07833197030557	2.7239805114675	6.39789330899869	1.84614885381963
Ctnna1	2.09206840926672	2.60553282034344	2.32981691854031	2.34923730660512	2.88243170757447	7.25680632823348	3.07862935065303	6.68900402165275	3.54349405857586
Cd84	4.70794903006068	3.84136034522542	5.38621510094159	4.80012921693852	4.54677252683486	7.01769765344352	5.70783764713828	1.75336602568361	5.65115616968622
Emilin1	4.93566891302854	1.8566500957293	2.53909122976264	2.2183170399885	2.51013195575	5.59150224876736	7.58337379294655	1.53930329874374	6.72751589454695
Tespa1	3.40202649660502	1.28535783173449	6.64854952853439	2.04659232432227	0.999288245287496	0.52089606446165	5.79454335725132	1.0442902346553	5.67219292950334
Wfdc17	3.66695010135947	1.81224355291811	8.16141147797763	3.11224497549467	1.50434780096975	2.15987170344089	1.10628992960507	0.911183763375626	1.69850014912852
Tmx3	2.56654282333386	1.96455126556056	2.28467062363861	2.04106431134394	1.91682918235864	5.67526936539687	4.5397475791059	5.35994072835197	2.57454941383562
Vwa5a	2.0861645382292	1.58121560926545	2.28094033743588	2.00660052533218	2.93312518463452	7.55110546859368	1.82442223322371	1.17147024999815	1.12176571679021
Me2	2.9076108938747	2.39892540841496	2.76699025056203	2.30581934715849	2.16662774619725	2.99853084836272	5.95034862851704	8.07152002743134	5.76300905150628
Cdk17	3.76108766571121	4.15106386815781	3.0220334477557	3.69569263887746	5.43637520904337	8.26474512149122	4.63150382530446	6.08891058678315	4.8142677075148
Il15	4.41751584519585	2.44481542954916	2.83385305578972	7.25092383927784	2.69074947558404	3.74458304949543	3.28383561821181	0.556924630247421	1.46716007074768
Gskip	2.15677493124661	2.27375255722258	2.04292653517467	1.45344493203281	1.9012857040971	2.28050624588254	3.66083999485581	4.920513525327	1.85949365244576
Uap1	2.27438798710334	2.57952782006804	2.38884598998632	2.38066331051589	2.2982104416479	2.49141736095747	5.45050897299147	7.49853003734582	2.74023910239412
Tmem263	2.13752908582504	2.17227839663157	1.86624573725279	1.95455878408915	2.14224133274961	0	1.85683325109266	4.03101158922919	2.32208541511801
Ap3s1	2.311381669902	2.60553282034344	2.15390667597681	2.47533908273262	1.79286713839399	3.19416019114661	8.80968190765505	7.10538815674088	7.01641588437804
Nup93	2.20884937369147	2.2063467929113	2.24839225786095	1.85454583250145	1.79611869628438	2.24506454717249	3.86902461507843	7.57273432961078	2.94987515475334
Txnrd2	1.77826308401726	2.2063467929113	2.10953025460078	1.77899212076058	1.9570455508675	2.9733952267686	1.93621748554433	7.40179830551351	1.81530165090591
Dph6	2.46171739149522	2.21199198520053	2.57151070019137	2.4625801819167	1.84657431862379	2.21903085722206	2.61459083736561	4.93501408013653	2.27231670079933
Zfp36	6.76667778127809	7.50693576198318	7.09554482882664	7.26348284075755	7.79592570491701	6.35512816833324	3.3438164115159	1.50964680266584	4.20757944333198
Lztr1	1.67390878178451	2.09910560344277	1.75173640929361	1.41051861401187	1.36215770285594	2.43410715025399	2.96644243708824	3.60714260049156	1.66377590934224
D10Wsu102e	1.94540091233082	1.73801023059881	1.74751191680049	2.2335065661538	1.8544711755718	1.45493233085591	1.6465143457957	5.32071127095764	2.1058678110449
Sgta	5.99506623486966	5.60743412972541	5.12141380522087	6.56800417014938	4.69694038461314	7.47516304435629	5.94379204116419	7.45694277964516	6.09625157205989
Hars2	1.7236824666019	1.81224355291811	1.66863813232534	1.93238899156656	1.36215770285594	0	1.46141908711492	3.60701443200799	1.68486062379701
Adssl1	4.431835416708	2.11904195685981	6.47426585719768	3.94558789771505	2.01877925144496	2.59273179064138	7.36061417751818	1.1655599641864	5.37504323130088
Il21r	4.84318416182825	3.15312889905407	6.854162789384	3.7022491315625	3.8667003707536	1.263585440971	1.56411653684441	0.684788685837539	1.37162739748969
Zfp35	2.15969221600646	1.85149229660814	2.07122202053497	2.67140910333729	1.53503741821569	2.72704241298363	5.58691879721624	6.43627681328157	4.51423497228851
