,Vip,L4,L2/3,L2,Pvalb,Ndnf,L5a,SMC,Glia,L5,Endothelial,Sst,L6b,Sncg,Igtp,L5b,L6a,L6
Brcc3,2.25088197691669,6.03869955130559,6.12453492852952,5.93498820178348,6.63546419816788,6.34091827027212,6.58631439372112,0,0,6.32785177946893,0,6.41519984583929,6.71177020386319,6.36579750245938,7.20941772549146,6.15845821621677,6.69125497865014,6.27705487614873
Bre,3.12728946335124,5.15340002773506,5.81659970653491,6.00225245173138,5.82959589917751,6.10977842907866,6.06995989045977,0,0.150559676575381,5.60527443084553,0,5.47748991792313,5.4643415327611,4.27127625917593,6.85168942345491,6.2240016741981,6.06458110919057,5.80683958179819
Bud31,5.624441491222,5.8923910259134,5.97223312380739,4.49761236561836,6.34020617991171,6.12453492852952,5.92813340782985,0,0,6.30633651924364,0,5.74846113316829,5.23304440126558,5.93262815702213,5.98609623853,6.08193608171943,6.22013644739608,6.35878304818473
C1galt1c1,3.54480733509928,1.52606881166759,5.90255600534463,4.35543919724869,5.39059890555246,6.24507727535967,5.4995270242151,0,0,5.43603671981431,0,6.13349994226357,5.34305243492297,6.11831819221838,3.01494727483167,5.35684807923652,5.8444860877578,5.70791125418517
Cacng3,0.411385465133388,7.45401134285304,9.12716895103025,8.54716445775724,5.25889575507544,5.68706068833989,7.68699068008847,0,0,6.90550192818406,0,7.59648062928735,5.45450493755737,5.99932357815082,0.131517202916897,8.28678875913321,6.89832929772746,8.01547080763938
Calm2,11.7448272449424,12.4830221775064,12.6445548259979,12.5953157662704,11.6833411749786,11.8520222532417,12.4784182546693,9.65178720635177,8.31546660325107,12.640662289505,8.61834266027911,11.7878659588612,12.3622835782907,11.1179157722523,11.9080745681782,12.7655388901272,12.7491193996802,12.4962845743383
Caly,8.02262217762893,7.23543987061826,7.66569121703696,8.02125762056052,6.74469931420784,7.62658515107332,6.95826269732954,0,0,7.16947645491837,0,8.13120592696753,7.93333657591232,7.29112464287911,7.95544188694993,7.3339603508193,7.03826057517535,7.32750773458721
Ccdc56,8.29625081950243,8.05815411831392,8.17552460108987,8.38201872416336,8.62186872471143,8.32458561472005,8.46646398383497,1.07724299893246,1.56559717585423,8.40827154571036,0,8.66277480259441,8.64089562932857,8.60459029205937,8.33666150261043,8.44136727845972,8.25280732990205,8.51636978696088
Ccl27a,6.49508134592041,8.53469195878948,7.13000418418862,6.55197736018086,6.611172380044,6.59768014371589,7.38793115172674,0,0,8.6199541760521,0,7.17460668898822,8.09876903815488,6.08236196955747,7.25775953563218,7.99937995875309,9.11894107272351,7.01178633120661
Ccndbp1,4.25715149017078,5.41312014640349,5.89893387178018,6.64082334458567,5.88874324889826,6.2553118863596,5.75622271284729,0,0.124328135002202,5.57734653503173,0,6.06810960235283,6.25606712524133,6.22245682592747,2.51077539719064,6.14791719108402,5.69821847822441,6.02635744696384
Cdkn2d,0.678043726924761,6.17751920259781,6.08001802908917,6.01413208650321,6.29443695437697,5.96416756068177,6.35208757799023,0,0,6.61199235548606,0,6.67053983282196,6.64241277290506,5.70348834965682,5.59493241266004,6.28336621294992,5.97154355395077,6.28595699488942
Cend1,6.97926404667318,6.53309607856156,6.61264737765832,6.10370744048039,8.25143506956323,7.17272751801285,7.2460279805281,0,0,6.93845980857548,0,7.80257831023049,7.44145028021683,7.53597516673224,6.66366487646739,7.41032414280632,6.87713072876566,6.49601487343776
Chchd1,6.5407865730184,6.19179950106508,6.15623479785027,6.0360636887437,6.90159099190337,6.56939994847322,6.3271484082987,0,0,6.09664766204454,0.756997989683506,6.57411498414634,6.42256941086083,6.65592421308382,7.37757694595626,6.59678609594453,6.59021276140836,6.28577209324984
Chchd6,3.9120555037946,5.84849775538515,6.60806996772166,6.56651075585788,6.14036967065153,6.16711703022744,6.64645070648318,0,0,6.47386974674412,0,6.03749194090488,6.48026512205446,6.25417828621676,3.98670346641019,6.85760783608573,6.79727243202997,6.48784003382305
Chn1,7.76349856376363,9.27447134006577,9.91258999085263,9.81413380690909,8.04242546536971,5.7599547420113,9.41671309528668,0.0840642647884745,0.238786859587116,9.46884237326419,0,7.57897057939786,8.80325933136001,7.3876727200125,7.11357024582388,9.95634711427911,9.51187122656919,9.29842921089031
Ckmt1,7.75962190352893,7.37721053038855,7.69285956238577,7.60436789989375,7.67708535055984,7.92392167613636,7.61043431534234,0,0,7.95729834038547,0,8.04701481539264,8.34429590791582,7.1906148602095,7.27949764853631,9.36791704057231,8.00101403849448,7.36885563438793
Clu,9.04574244670124,7.58330846484768,8.07953811722328,8.02497340740865,7.71218305120923,9.00447330210476,7.70452618513852,0.214124805352847,8.43800168793774,8.37798590485094,0,9.40976901720392,9.26671627786182,8.97269265400426,8.93543096894262,8.02220133861157,8.28443084718257,8.14067642036902
Cnih,6.65627388097893,6.51412226017071,6.81224149518948,7.09634619899318,7.35349973524566,6.93251005337989,6.44012167872693,0,0.443606651475615,7.04745522576005,0,7.12664204958889,6.89129766091913,6.5552026338783,7.41594474485271,6.1377084374696,6.83743871485637,6.21839371107679
Cnr1,10.2407483314536,0.0840642647884745,6.40036714591488,6.95163441683292,5.0746766862945,10.0980320829605,6.97933944567821,0,0.0840642647884745,5.00048491500493,0,7.0919335707455,0.070389327891398,13.0140030295054,5.22228156544311,7.34731131636529,5.15785216914174,7.7733370484736
Commd1,0.49205768065654,2.70487196445635,4.8703647195834,4.99004721957379,4.9759052735237,0.344828496997441,4.86145916636151,0,0,4.85552113634017,0,4.8457391659937,5.11935617703968,5.44161626940656,5.41159284873018,5.52763338729093,5.22265002245148,5.48155728070859
Commd3,6.59518520349106,7.09180559969097,6.97716541934962,7.14995030168105,7.21003812347289,6.68355610749568,7.56886816334905,4.9759052735237,0.879705766282288,7.45168012139959,0.189255811626865,7.04088610309048,7.30715526161706,7.3389591754152,7.89265621092777,7.48534631738809,7.37721053038855,7.48171871919596
Commd4,6.38655218775948,6.66959375118833,6.83111719461642,6.93097382556291,6.93887385492602,6.67129337248158,6.61087719947195,0,0.333423733725192,6.8954729184983,0,6.80649344876415,6.63284983011771,6.86307118557015,6.62008369779942,6.81378119121704,6.87639415878324,6.46874621375412
Commd9,0.263034405833794,4.25927248703759,1.66902676550963,5.55274593674845,5.84599177066457,5.611172380044,5.17552460108987,0,0,5.39724668019377,0,5.32210020590525,5.03782146543497,5.91910167955939,6.27936838522544,5.37330019660839,5.36632221424582,2.82171021503467
Cops3,6.5227664842375,6.64875303298957,6.53387477725855,6.51254295509686,7.06328721220618,6.84561549723295,6.84184735550986,0,0.432959407276106,6.84691094609704,0,7.23433096485502,6.90568784852686,7.29278174922785,7.76913882729208,7.14852742516046,6.93085558640856,6.77056479197169
Cops4,6.83819477256568,6.61397358738023,6.77873424411784,7.20623295394578,7.03551394402764,7.11613599020628,7.13545278418517,0,0.238786859587116,7.16064821970829,0,7.26500343213147,7.40113551326553,7.23754459850479,6.91427955644316,7.14465824283188,6.87110437355546,7.23390722850783
Cops5,5.96177875169719,6.52512925120397,6.59305492166988,6.14852742516046,6.95930648975966,6.51112010085101,6.95977015521147,0,0,6.98768899740132,0,6.82771864912395,7.229107200654,6.38956681176273,6.68450033998117,6.91564040334394,6.63023071585969,6.89953819258694
Cops6,7.4839760629063,7.077029313819,7.48333211126848,8.17057607102209,7.88300978961909,7.52989901233001,7.75755668893945,0,0.321928094887362,7.64341176774737,0,7.89672452475061,7.83415498140132,7.33422858453596,7.58113084404826,8.00095772171723,7.7900552031272,7.61816522665838
Cops7a,6.65806682396268,6.95116812883891,7.26865895502767,7.1873520732005,7.05419729438881,7.11301282177437,6.85299758761332,0,0,7.13196927928818,0,6.66518828219165,7.09771612974375,7.05028401430171,6.69175422314405,6.84071499114108,6.84849775538515,6.90098753054815
Coq7,6.64815111421635,6.15765009686171,6.27332938656167,5.89965902637744,7.228626318332,6.50112063427539,5.77214959078454,0,0,6.295985501789,0,6.65756558020824,5.7771566660045,6.25568955522063,6.44040694854787,6.59529478400598,5.69655030107857,5.66817586897014
Coro1a,0,6.71287086768991,7.13082793414513,5.87135084063403,0,5.44989147301094,6.44609077372322,0,0,5.48216050537102,0,5.41571922115971,6.70984201927331,4.45220004940622,4.46182032721413,6.48333211126848,6.63197732023875,6.43829285157915
Cox19,0.194673268081249,5.51317488460363,5.44989147301094,6.51270096342525,5.44526320814044,2.77399632511117,5.44625622988956,0,0,4.43513550150778,0,5.44261146044109,5.32696871158789,5.49345520092618,3.21606213632078,5.45877569908024,5.43362716708478,5.54194842533373
Cox7a2l,7.27439807290864,7.54210324585659,7.52888382727464,7.47386806904363,8.30974917816886,7.5581145385984,7.56924802986718,0.250961573533219,0.632268215499513,7.78495255260487,0.131517202916897,7.87559289428755,7.55527933829605,8.07521171134824,8.28801122595181,7.71403940365179,7.35631990971172,7.08417059157784
Cplx1,6.04220654351053,6.30158764660319,5.21334728173344,0.903038270112912,9.00213991262754,7.09032417587205,7.33467552993465,0,0,6.48506743683803,0,7.48263636576831,6.58466190794147,7.10590850857116,7.103271493612,7.52997707390733,6.57924050057297,5.40905143853856
Crip2,0.344649580267946,6.06673502873203,8.11405462933039,8.70680679859753,0,0,6.63299519714296,8.68720069465189,0,6.77443560867657,9.7689716761157,5.67832633952401,8.42584530563943,0.189033824390017,0,7.850811922162,8.09249288685906,8.08214904135387
Cript,6.64260096349101,6.6779310100453,6.92303029826377,7.03869955130559,7.03298241669943,6.76738996206572,6.88484209379946,6.11603199344711,0,6.79839193006533,0,6.7918695363282,6.73009646559547,7.1056990276588,6.46046800644543,6.92303029826377,6.79103261675567,6.52434581646254
Cryab,0.238786859587116,0,0,0,0,8.03281716269025,6.78122855346812,4.51222688651396,1.43829285157915,4.60059833700945,0,0,7.87927691241217,5.82527683005487,8.75276375311254,0,7.48486316432233,8.26851860821683
Cstb,6.81918745520678,6.43662826729284,6.54287709935414,6.37781785308364,7.23582277687514,6.52763338729093,6.35878304818473,7.01691968840789,0.622930350920177,6.68746501503376,0,7.11831621549353,6.27220986112457,6.60599798023252,7.4269969272036,6.3797249188483,6.80413102118332,6.4093909361377
Cuta,5.80472318925119,6.2710894662656,5.48349335128439,0,6.30833903013941,5.96716860753263,6.22091032164872,0,0,6.05613577048793,0.221803325737807,5.68733848693623,5.77505054148317,6.06307144984268,6.76460642615849,6.19927972133662,5.89651405396884,5.80451826988807
Cxx1c,8.01713897188413,7.76646265242577,8.08001802908917,7.76778719809436,7.91587937883577,7.75915583380027,8.06107411676981,0.475084882948783,0.27500704749987,7.44393285914427,2.46460434514482,8.58955733793821,8.38982490443897,7.8382584817133,8.06927813337741,8.04832338653781,7.83263688756687,7.53099149023663
Cyb5,6.69515813429539,7.55243855525354,7.51254295509686,7.78881619449558,6.12845838414693,6.64371191305668,8.12515513132229,7.89378689864037,8.00303997974924,8.02784330360926,0,6.94028384160675,8.79915208079804,7.08640164588003,6.60975105256056,6.46221595459776,8.08230874045271,7.76234881564413
D0H4S114,0.188978316905057,8.04995742798658,6.38750040648098,4.29939120612683,6.0923343111862,5.57682443127748,5.8040019151793,0,0,7.5458998666055,0,6.44385506352343,0,6.00741978357191,0.0282917641831838,5.55949181320504,0.0976107966264223,5.86021792474585
D16H22S680E,6.60828605907745,6.83200387670116,6.65692533979425,6.58210433746144,7.59111089074275,6.40718277234268,7.51971487168418,0,0.124328135002202,7.08846991844844,0,7.29805783117266,7.56491161099706,6.96370530657948,6.49168011248455,6.73917303130949,7.40139154480353,7.47435491776846
Dbi,5.05825801729999,5.65391987311942,5.5795422249369,5.0360636887437,5.5465858290081,5.62087961135541,5.15825622881134,7.34731131636529,9.3487945343776,6.09175653176783,0.27790807753082,5.3552627211693,5.5465858290081,4.77610398807316,6.44541254680653,5.31469652565629,5.00180224263399,5.53915881110803
Dctn3,6.46760399359715,7.3039633562453,6.79714271076559,6.63095872467611,6.84574093261458,6.48171871919596,7.2027115594609,0,0,7.20088871324485,0,6.98618336288137,7.20662368996032,6.90881290773955,6.61367654995108,7.36745843552234,7.19760987837947,6.66419836929191
Dctn6,7.07821968771707,7.52002930421219,7.38266725274504,7.92142442890398,7.13422093976063,7.26247074298588,7.39343336223473,0,0.298658315564515,7.45300138223417,0.143440573894081,7.43794662452143,7.23764019503539,7.42265350114972,6.69554971678635,7.50239425611126,7.48437984939623,7.39188798534714
Ddit3,6.45923948211016,0,3.5981269599196,0,7.06974512379903,5.23955079661364,0.214124805352847,0,0,0.0621640675011009,0,5.5469742948543,5.36106648879432,6.42122329922514,5.65403308329203,4.57167680997093,3.4032677223393,0.070389327891398
