,alpha,ductal,endothelial,delta,acinar,beta,unclear,gamma,mesenchymal,epsilon
HSPB1,2.00637582948719,3.61392337716269,3.01747376435913,1.58873426750377,4.297494697513,1.58873426750377,2.97096183392741,2.00637582948719,2.91973795995578,2.82200215555242
IAPP,1.58873426750377,1.00141187054396,1.00141187054396,1.58873426750377,1.58873426750377,5.87030160221745,2.16869357714335,1.58873426750377,1.00141187054396,1.58873426750377
ID1,0,2.00637582948719,4.297494697513,0,0,2.00637582948719,2.17326299147325,2.00637582948719,0,0
ID2,1.00141187054396,3.73230829087369,3.61392337716269,2.00637582948719,2.00637582948719,1.58873426750377,4.35812010269118,3.61392337716269,0,2.00637582948719
ID3,0,1.00141187054396,3.73230829087369,0,1.00141187054396,0,1.41100107777621,0,3.10385994362821,0
IER2,0,2.82200215555242,2.82200215555242,1.58873426750377,2.82200215555242,1.00141187054396,4.3705051632133,1.00141187054396,1.58873426750377,0
IER3,0,3.61392337716269,0,1.00141187054396,2.3310113247995,1.58873426750377,1.80696168858134,0,4.0858748075301,0
IFITM2,0,3.01747376435913,3.01747376435913,0,2.00637582948719,0,0,0,3.48549800542213,0
IFITM3,0,4.37448516703409,4.297494697513,0,4.71153117401635,0,1.0031879147436,0,5.51355677030713,0
IGFBP7,3.1902461228973,4.82868858074601,5.97543230476667,1.00141187054396,1.00141187054396,2.00637582948719,1.00141187054396,2.5968095554523,7.1600194684436,0
IL32,0,1.00141187054396,0,0,3.94461184479151,0,1.29840477772615,0,0,0
IMPA2,1.00141187054396,2.00637582948719,0,0,3.73230829087369,0,2.09582899672063,0,0.500705935271981,0
INA,2.3310113247995,0,0,2.3310113247995,0,2.5968095554523,0,2.3310113247995,0,2.00637582948719
INS,1.00141187054396,0,0,1.00141187054396,0,6.510463090192,0,0,0,0
INSIG1,1.00141187054396,1.58873426750377,2.00637582948719,1.00141187054396,1.58873426750377,1.58873426750377,1.29840477772615,1.00141187054396,2.16869357714335,0
INSM1,2.3310113247995,0,0,2.82200215555242,0,3.01747376435913,0,2.00637582948719,0,1.00141187054396
INSR,1.00141187054396,2.3310113247995,2.82200215555242,0,3.84214376653737,1.00141187054396,1.79911071299813,1.00141187054396,1.00141187054396,1.58873426750377
IQGAP2,0,2.3310113247995,0,0,2.3310113247995,0,0.794367133751885,0,0,0
IRX2,3.01747376435913,0,0,0,0,0,0,0,0,0
ISL1,2.82200215555242,0,0,3.61392337716269,0,2.00637582948719,0.500705935271981,3.01747376435913,0,2.00637582948719
ITGA2,0,2.00637582948719,1.58873426750377,0,1.58873426750377,0,0,0,2.00637582948719,0
ITGAV,1.00141187054396,3.01747376435913,3.01747376435913,1.00141187054396,2.82200215555242,1.58873426750377,2.41418899251981,1.00141187054396,3.99263865956497,0
ITGB5,1.00141187054396,2.3310113247995,2.00637582948719,0,1.00141187054396,0,1.79755504849548,0,3.54971069129241,0
ITPR3,0,1.58873426750377,0,1.00141187054396,1.58873426750377,2.3310113247995,1.29507306902387,0,0,0
ITPRIPL2,0,1.58873426750377,2.82200215555242,0,2.00637582948719,1.00141187054396,1.29840477772615,1.00141187054396,4.0858748075301,1.00141187054396
IVNS1ABP,1.58873426750377,2.00637582948719,2.00637582948719,1.00141187054396,2.00637582948719,0,1.58873426750377,0,1.58873426750377,1.00141187054396
JUN,1.00141187054396,2.5968095554523,1.00141187054396,2.00637582948719,3.1902461228973,1.58873426750377,4.8143769550907,1.58873426750377,1.29507306902387,1.58873426750377
