,A549,GM12878_B1,H1437,HCT116,IMR90,H1_B1,K562,GM12878_B2,H1_B2
GLRX3,4.1427991050099,0,5.33741298654984,7.84587929169184,2.72000811729474,8.22859035657901,8.51372594349806,8.36154875008223,8.63783786395663
GLUL,0,0,6.6222249779198,8.79495085814182,0,8.6679013437289,10.8674571229827,0,9.75262668310677
GMFB,0,0,3.878586953512,8.96543077636162,4.1100719296074,7.35451619444879,3.8010253267232,8.14160070840727,8.78691025404506
GMNN,0,2.8965533917118,8.70362579058598,8.40336001406253,0,8.61424799210439,9.266695293745,8.41124218425824,8.67290581282723
GMPR2,3.2676573206414,0,0,7.48338206204604,0,3.94642127635727,4.05375618496476,6.6240609729444,7.88143638458006
GNAI3,4.64411705022311,0,4.76270360215339,9.64579218053587,0,7.61177365342412,8.52267726532817,8.74919227150966,9.11693334473899
GNPDA1,0,0,3.82210619455428,7.53296549539014,0,7.88522104226238,5.91836440924983,0,8.40743530674707
GOT1,6.055205043428,0,4.53756868008418,9.77220937837665,0,5.09565169462841,7.57464704065342,8.10217654280753,8.14817308172314
GPR176,0,0,0,0,0,7.91249435658004,0,0,8.92245966409908
GSKIP,0,0,0,7.16098071706345,0,5.97433258839587,0,5.92672127218468,7.91017253337548
HADHB,9.02074197221352,0,4.56024651268726,8.19696409313331,0,6.72093235295235,8.31220542928665,9.1348975540758,8.20464609399873
HDAC2,3.5029008853123,0,8.01631226757632,8.09680312659693,0,10.3374560186973,8.79840409262292,8.40048288333845,10.1255837140403
HDAC3,0,0,0,7.5939100385816,0,7.06277420520418,6.8588895892486,6.55974560064628,7.66691084269345
HDHD1,0,0,0,7.28951358713863,0,2.87524412621653,3.8069304267092,7.79418812718453,7.32633965889707
HLA-DPA1,0,11.1218852031822,0,0,0,0,0,10.5324219464432,0
HLA-DRA,0,13.5636767952503,1.99226579877185,0,3.43521791362834,0,0,12.8971169916798,0
HLA-DRB1,0,10.4455965701628,0,0,0,0,0,9.78406356151994,0.843431275885713
HMBS,0,0,0,7.65379591324693,0,7.22805468522704,8.82919931056679,6.04142110931462,6.55487440976005
HMGB2,0,4.59072404262213,8.67463839195401,10.7448860027026,0,9.01501197739734,10.1588327642784,10.0484996763467,9.47158028900673
HMGCR,0,1.76530349227349,3.2304922979404,8.07431713419515,0,9.43515890854886,6.57567064934354,7.48031316269108,9.28050038057991
HMGCS1,4.93363479254627,7.04922786290666,2.75686110350829,6.07295916316256,0,10.8643072336239,9.89654660647057,7.80858425326653,9.93347333497248
HMMR,0,0,1.96902599351686,8.14342888379038,0,7.48975501543326,7.52660987330337,7.06751267620887,7.98740060866671
HNRNPF,6.98806832426804,4.85682288803508,7.08079518357312,10.796771597565,2.09501525210481,9.89987479231444,9.84056155961184,10.4499665212014,10.3825506122597
HSPA8P1,7.10586219293349,5.4760544036121,4.14051599173486,8.24782438294216,6.03110090117502,0,6.82102089316538,8.19133312574102,8.24083004910844
ID2,7.47133797434026,8.02443499151602,4.90286265964881,5.9422796347974,3.43521791362834,3.15599923807567,0,9.97011730337054,6.34891840292461
IDH1,11.420262602074,0.880538778126301,3.94468050868513,8.34393426677312,3.9408490471257,11.1397069168947,6.72662890263957,8.00221107640406,11.6977913543528
IDI1,3.72067336942773,6.38681282194442,4.98649229903536,8.39641424749455,0,9.20822993006516,8.65522147572669,8.78100336802387,8.96344281560997
IFI30,0,10.1828979874237,1.98663965814547,8.07103290906147,0,0,8.16651076306676,9.96961824992029,6.38150014660009
IGF1R,9.34400158248605,0,4.00243488522778,0,0,9.38861164455333,0,0,8.88478281999259
IGHM,0,9.12058782651868,0,0,0,0,0,10.6319465592549,0
IGLC2,0,9.92020229651121,3.14004557078732,0,0,0,0,12.1231245515727,0
IGLC3,0,9.43148467222005,3.82210619455428,0,0,0,0,11.7031909838307,0
IGLV6-57,0,9.82827212836141,0,0,0,0,0,12.4642593716962,0
ILF2,6.933009198145,5.07242571923748,9.87171514607988,11.3425511070608,6.30088065775544,10.7715308474873,10.4075890474047,10.877883506489,11.3024577489394
IMPDH2,6.65155416423934,0,7.97116619967962,10.2090207483269,0,9.49310933148121,8.76551136043184,9.32748710556626,10.2104396719259
INSR,4.58611080686261,10.2974909181964,5.53268524002616,4.45916181988877,0,8.70791398997967,0,9.22188694978107,8.8190547783587
